run_id,phase,concurrency_per_endpoint,group_service_wall_s,total_tokens,tokens_per_s,throughput_vs_formal_c256,mfu,gpu_util_mean_pct,power_sum_mean_w,estimated_gpu_energy_j,running_mean,running_max,waiting_mean,waiting_max,kv_mean,kv_max,ttft_mean_s,queue_mean_s
001_warmup_01_bounded_c64,warmup,64,120.853097,1700382,14069.825565,0.774847,0.449938,97.629338,809.906751,97879.739469,119.823276,128,0.275862,21,0.315633,0.428986,0.314209,0.006742
002_warmup_01_bounded_c128,warmup,128,95.089350,1699809,17875.913462,0.984455,0.572168,98.159919,860.094291,81785.807515,231.234973,256,3.792350,142,0.599970,0.794700,0.851778,0.140587
003_warmup_01_bounded_c32,warmup,32,179.910133,1700338,9451.040740,0.520484,0.302454,97.934783,786.536913,141505.960920,61.197101,64,0.011594,2,0.162655,0.238723,0.150046,0.000154
004_warmup_01_bounded_c256,warmup,256,94.078410,1699914,18069.119124,0.995095,0.685080,97.389558,858.904618,80804.380975,337.309392,512,116.093923,361,0.840513,0.999479,6.166480,4.239610
005_formal_01_bounded_c128,formal,128,95.305254,1699687,17834.137413,0.982154,0.570826,97.791165,855.811406,81563.323578,231.803279,256,3.693989,136,0.601224,0.802814,0.829161,0.132306
006_formal_01_bounded_c32,formal,32,179.769349,1699698,9454.882120,0.520695,0.302536,97.970652,785.989870,141296.886875,61.255814,64,0.002907,1,0.162742,0.239541,0.153224,0.000255
007_formal_01_bounded_c64,formal,64,120.949239,1700296,14057.930588,0.774192,0.449895,97.757188,820.381278,99224.490880,120.224138,128,0.250000,34,0.316512,0.433229,0.317544,0.008545
008_formal_01_bounded_c256,formal,256,93.636107,1700262,18158.187592,1.000000,0.686408,97.848790,862.658387,80775.973217,339.272222,512,116.800000,369,0.846219,0.999628,6.180768,4.245935
