schema_version,experiment_id,scenario_id,phase,repeat_index,order_index,policy,experiment_identity,ready_observation_contract,job_count,static_partition_count,rows_per_job,rows_per_jobs,request_limit_per_endpoint,work_limit_per_endpoint,request_envelope_owner,work_envelope_applied,http_keepalive_expiry_s,credit_quantum,runtime_state_mode,runtime_state_calibration_signature,adaptive_capacity_increases,adaptive_capacity_decreases,adaptive_capacity_fallbacks,weights,arrival_offsets_s,source_row_offsets,request_manifests,request_manifest_sha256,ray_address,scheduler_owner,coordinator_name,run_instance_id,execution_mode,start_epoch_s,end_epoch_s,metrics_status,prompt_tokens_delta,generation_tokens_delta,request_success_delta,estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_prefix_cache_hit_rate,vllm_ttft_histogram_status,vllm_itl_histogram_status,vllm_time_to_first_token_p50_s,vllm_time_to_first_token_p95_s,vllm_time_to_first_token_p99_s,vllm_inter_token_latency_p50_s,vllm_inter_token_latency_p95_s,vllm_inter_token_latency_p99_s,tokens_per_s,duration_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p95,gpu_utilization_pct_max,vllm_running_mean,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p95,vllm_waiting_max,vllm_kv_usage_mean,vllm_kv_usage_p95,vllm_kv_usage_max,host_cpu_busy_cores_mean,host_cpu_busy_cores_p95,host_cpu_busy_cores_max,host_cpu_per_core_max_pct_mean,host_cpu_per_core_max_pct_p95,host_cpu_per_core_max_pct_max,host_memory_used_pct_mean,host_memory_used_pct_p95,host_memory_used_pct_max,host_memory_available_mib_mean,host_memory_available_mib_p95,host_memory_available_mib_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,jain_fairness,service_disparity_status,service_disparity_bound_status,normalized_cumulative_service_min,normalized_cumulative_service_max,normalized_cumulative_service_disparity,normalized_cumulative_service_disparity_ratio,overlap_service_disparity_samples,max_overlap_normalized_service_disparity,max_overlap_normalized_service_disparity_ratio,completion_service_lag_status,completion_service_lag_samples,completion_service_lag_p95_work,completion_service_lag_max_work,completion_service_lag_job_max_work,completion_longest_no_service_s,completion_longest_no_service_by_job_s,completion_service_lag_p95_work_envelopes,completion_service_lag_max_work_envelopes,credit_trace_status,credit_endpoint_idle_sample_fraction,credit_idle_capacity_fraction_mean,credit_borrowed_work_mean,credit_borrowed_work_max,active_set_contract_status,active_set_contract_passed,active_set_lifecycle_status,active_set_lifecycle_passed,active_set_mechanism_applicable,active_set_mechanism_status,active_set_mechanism_passed,active_set_bulk_job_index,active_set_foreground_job_index,active_set_overlap_s,active_set_foreground_drained_first,active_set_first_drained_job_index,active_set_remaining_job_index,active_set_bulk_only_pre_samples,active_set_overlap_samples,active_set_overlap_reclaim_observed,active_set_overlap_reclaim_competition_samples,active_set_overlap_bulk_fraction_min,active_set_overlap_foreground_fraction_max,active_set_overlap_bulk_dominant_share_min,active_set_overlap_foreground_dominant_share_max,active_set_bulk_only_post_samples,active_set_bulk_borrow_fraction_max,active_set_pre_bulk_dominant_share_max,active_set_bulk_reborrow_fraction_max,active_set_post_remaining_fraction_max,active_set_post_remaining_dominant_share_max,active_set_post_remaining_waiting_work_max,active_set_post_fit_violation_samples,active_set_post_drain_duration_s,active_set_post_drain_observation_interval_s,active_set_post_drain_observed_samples,active_set_post_drain_applicable,active_set_post_drain_status,active_set_post_work_conserving_passed,bounded_saor_event_status,bounded_saor_event_sequence_complete,bounded_saor_event_count,bounded_saor_slo_priority_grants,bounded_saor_debt_recovery_grants,bounded_saor_fallback_grants,bounded_saor_hold_count,bounded_saor_hold_completed_count,bounded_saor_hold_duration_total_s,bounded_saor_hold_duration_p95_s,bounded_saor_hold_duration_max_s,bounded_saor_reclaim_debt_max,bounded_saor_constraint_conflicts,bounded_saor_recovery_inflight_max,bounded_saor_avoidable_idle_events,bounded_saor_foreign_grant_over_debt_critical_events,bounded_ready_event_status,bounded_ready_lifecycle_complete,bounded_ready_intervals,bounded_ready_jobs_with_intervals,bounded_ready_max_ready_requests_seen,bounded_ready_max_ready_work_seen,bounded_ready_max_ready_payload_bytes_seen,bounded_ready_requests_transition_mean_max,bounded_ready_requests_transition_p95_max,bounded_ready_work_transition_mean_max,bounded_ready_work_transition_p95_max,bounded_ready_payload_bytes_transition_mean_max,bounded_ready_payload_bytes_transition_p95_max,bounded_ready_foreground_intervals,bounded_ready_foreign_fallback_events,bounded_ready_foreground_max_ready_requests_seen,bounded_ready_foreground_max_ready_work_seen,job_jct_s,job_priorities,job_p99_s,job_completion_lag_s,job_slo_violation_ratio,job_slo_goodput_per_s,job_slo_token_goodput_per_s,job_predicted_work,job_actual_work,job_actual_prompt_work,job_actual_output_work,job_arrived_rows,job_completed_rows,job_failed_rows,job_normalized_service_rate,replay_configured_start_epoch_s,replay_observed_start_epoch_s,replay_actual_submit_start_epoch_s,endpoint_counts,actor_worker_failures,shared_credit_final,release_event_trace_schema_version,release_event_trace_path,release_event_trace_count,incidents
2,saor_ready_observation_bridge,active_set_project_frozen_static,warmup,1,0,static_partition,project_frozen_static_reference,single_head,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,unavailable,,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,,saor_ready_observation_bridge_rehearsal_3cfc5eb2_r1-242ae1e4d6e8,rehearsal,1786619180.281321,1786619271.2904778,ok,636378,233798,1024,5414036759326720.0,6.6797764108050615,0.00013422372285276651,6.615537094765386,0.22561095557648514,6.389926139188901,0.13046334097030382,ok,ok,0.22870662460567823,0.8217391304347824,0.9701449275362318,0.018421472812873846,0.05391058394160563,0.20969057211925943,9561.4115273111,91.00915670394897,ok,98.35390946502058,100.0,100.0,74.11111111111111,167.0,173.0,0.00823045267489712,0.0,1.0,0.27042985949905374,0.3948191156766414,0.42414768497841293,9.832275720164608,19.703,36.019,90.02716049382715,100.0,100.0,12.496707818930041,13.5,13.7,902727.0949556327,907846.38671875,907885.0625,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.3605389301942159,0.9117712508208444,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147695.0,692785.0,545090.0,1.2970921378260043,724,136562.0,2.0,unavailable:requires_complete_registered_ready_ledger,0,0.0,0.0,[],0.0,[],0.0,0.0,unavailable:not_a_shared_policy,0.0,0.0,0.0,0.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,False,not_applicable:no_credit_trace,False,0,1,36.26978421211243,True,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.12745904922485,0.25,0,True,active_set_post_drain_not_observed,False,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,not_applicable,False,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"[89.39724326133728, 36.26978421211243]","[0, 0]","[82.52373600006104, 29.5130033493042]","[82.72854328155518, 29.582284212112427]","[0.673828125, 0.0]","[1.8680665522515563, 14.11643358575637]","[2493.410220138209, 4072.1223797818107]","[650772, 114555]","[692785, 147695]","[568041, 38641]","[124744, 109054]","[512, 512]","[512, 512]","[0, 0]","[7749.511894620326, 4072.1223797818107]","[1786619180.281321, 1786619185.281321]","[1786619180.2814503, 1786619185.2814574]","[1786619180.3696606, 1786619185.3719018]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,[],2,traces/000_warmup_1_active_set_project_frozen_static.release_events.csv,0,0
2,saor_ready_observation_bridge,active_set_project_single_head_shared_fifo,warmup,1,1,shared_fifo,project_policy,single_head,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,observe_only,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_ready_observation_bridge-saor_ready_observation_bridge_rehearsal_3cfc5eb2_r1-242ae1e4d6e8-001_warmup_1_active_set_project_single_head_shared_fifo,saor_ready_observation_bridge_rehearsal_3cfc5eb2_r1-242ae1e4d6e8,rehearsal,1786619292.6031358,1786619365.3002853,ok,636378,234128,1024,5436772665425920.0,7.197981921490282,0.0218091392180213,7.082104193121268,0.3766340136571671,6.7054701794641005,0.1255354521997932,ok,ok,0.22,2.1254335260115607,2.4805780346820807,0.018305289260909637,0.049293830448291144,0.23750604982206347,11974.417233767383,72.69714951515198,ok,97.41494845360825,100.0,100.0,98.47938144329896,228.0,252.0,0.8969072164948454,7.0,22.0,0.4076331941266121,0.5375911865416109,0.5517344052404347,12.620701030927837,21.908,34.17,99.6319587628866,100.0,100.0,12.868556701030927,13.7,13.9,899107.9280162693,904147.8984375,904157.6015625,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.45325212317093716,0.6937629285321261,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147974.0,692836.0,544862.0,1.2960407226365054,649,658491.0,2.0,unavailable:requires_complete_registered_ready_ledger,0,0.0,0.0,[],0.0,[],0.0,0.0,ok:sampled_endpoint_credit,0.20588235294117646,0.3829526821104418,14592.80462184874,32756.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,57.138078451156616,False,0,1,12,152,True,86,0.21077728271484375,0.49089813232421875,0.21077728271484375,0.76171875,0,0.9501800537109375,0.9501800537109375,0.0,0.6396865844726562,0.98828125,0.0,0,8.678240060806274,0.25,24,True,ok:observed_work_conserving_drain,True,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,not_applicable,False,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"[62.138078451156616, 65.81631851196289]","[0, 0]","[55.69179821014404, 58.767024993896484]","[55.46937847137451, 59.12881851196289]","[0.4609375, 0.96875]","[4.441720871960157, 0.24310080481167923]","[5951.648477361569, 56.93116972683512]","[650910, 114815]","[692836, 147974]","[568041, 38641]","[124795, 109333]","[512, 512]","[512, 512]","[0, 0]","[11149.94247117894, 2248.2874057002136]","[1786619292.6031358, 1786619297.6031358]","[1786619292.603226, 1786619297.603232]","[1786619292.701502, 1786619297.6974392]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3623\"", 256], [\""3624\"", 256]]"", ""granted_work_by_job"": ""[[\""3623\"", 84857], [\""3624\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65536, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3623\"", 256], [\""3624\"", 256]]"", ""granted_work_by_job"": ""[[\""3623\"", 84856], [\""3624\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65532, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/001_warmup_1_active_set_project_single_head_shared_fifo.release_events.csv,0,0
2,saor_ready_observation_bridge,active_set_project_bounded_ready_fifo,warmup,1,2,shared_fifo,project_internal_selector_ablation,bounded_concrete_pre_registration,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,observe_only,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_ready_observation_bridge-saor_ready_observation_bridge_rehearsal_3cfc5eb2_r1-242ae1e4d6e8-002_warmup_1_active_set_project_bounded_ready_fifo,saor_ready_observation_bridge_rehearsal_3cfc5eb2_r1-242ae1e4d6e8,rehearsal,1786619384.756226,1786619452.1378484,ok,636378,233976,1024,5390340641509376.0,8.459644105518237,0.022347575564708677,8.338091530808015,0.3963783252547728,7.941713205553242,0.1362712098784056,ok,ok,0.34362549800796816,2.0852348993288583,2.4975838926174494,0.018325938916237378,0.11780604768882373,0.33463045032165906,12916.786062797304,67.38162231445312,ok,96.89664804469274,100.0,100.0,124.18994413407822,242.0,254.0,0.7318435754189944,7.0,16.0,0.42858901328489457,0.5375911865416109,0.5508411493226142,20.970162011173183,29.052999999999997,37.59,98.98938547486033,100.0,100.0,13.673743016759776,13.7,13.7,890701.0445618017,891806.94140625,893333.23046875,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.4848314724184899,0.780325257546205,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147633.0,693025.0,545392.0,1.2975359777697946,840,299975.0,2.0,ok:registered_backlog_completion_accounted_empirical,1680,145825.5,149987.5,"[0.0, 149987.5]",11.656991243362427,"[7.013188123703003, 11.656991243362427]",2.2251205444335938,2.2886276245117188,ok:sampled_endpoint_credit,0.21846846846846846,0.2954661395098712,14380.240990990991,32764.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,45.676300287246704,True,1,0,13,98,True,98,0.370941162109375,0.5575180053710938,0.370941162109375,0.86328125,41,0.995513916015625,0.995513916015625,0.9995803833007812,0.9995803833007812,0.9995803833007812,126548.0,0,15.083415746688843,0.25,41,True,ok:observed_work_conserving_drain,True,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ok:actor_event_join,True,1024,2,256,131071,491032,186.62243902439025,255.0,91920.97170731708,130449.0,334811.6058536585,482223.0,512,0,99,131071,"[65.75971603393555, 45.676300287246704]","[0, 0]","[58.368046283721924, 38.98914122581482]","[59.09101605415344, 38.988800287246704]","[0.53125, 0.400390625]","[3.6496507964868203, 6.721209863087742]","[4888.6160006241835, 1806.3634637903695]","[651120, 114505]","[693025, 147633]","[568041, 38641]","[124984, 108992]","[512, 512]","[512, 512]","[0, 0]","[10538.746846813661, 3232.1575756261645]","[1786619384.756226, 1786619389.756226]","[1786619384.7563396, 1786619389.7563362]","[1786619384.8571053, 1786619398.4206364]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3625\"", 256], [\""3626\"", 256]]"", ""granted_work_by_job"": ""[[\""3625\"", 84857], [\""3626\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65535, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3625\"", 256], [\""3626\"", 256]]"", ""granted_work_by_job"": ""[[\""3625\"", 84856], [\""3626\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65536, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/002_warmup_1_active_set_project_bounded_ready_fifo.release_events.csv,2048,0
