status,experiment_id,phase,repeat_index,scenario_id,random_seed,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,source_row_offset,source_max_prompt_tokens,request_manifest_path,request_manifest_sha256,request_manifest_rows,request_manifest_validated_rows,request_manifest_validation_status,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,token_budget_policy,token_budget_candidates,token_budget_target_service_ms,token_budget_arrival_ewma_alpha,embedding_dim,embedding_vector_dim,completion_max_tokens,completion_return_token_ids,completion_prompt_format,completion_protocol,completion_http_transport,completion_temperature,output_cost_mode,output_cost_source,packing_cost_unit,cost_model_id,cost_tokenizer_id,packing_algorithm,packing_scope,packing_budget_utilization_mean,packing_budget_utilization_p95,packing_oversized_rows,packing_input_rows,packing_batch_count,batch_estimated_cost_units_p50,batch_estimated_cost_units_p95,batch_estimated_cost_units_p99,batch_estimated_cost_units_max,organization_batch_count,organization_batch_rows_mean,organization_batch_rows_max,organization_batch_cost_units_mean,organization_batch_cost_units_p95,organization_row_cap_hit_ratio,service_quantum_tokens,service_quantum_count,service_quantum_rows_mean,service_quantum_work_mean,service_quantum_work_p95,service_quantum_oversized_rows,model_workers,ray_version,actor_workers_per_endpoint,ray_actor_max_concurrency,ray_worker_num_cpus,ray_worker_num_gpus,endpoint_count,actor_worker_count,actor_worker_submission_counts,actor_worker_routing,actor_ready_s,actor_pool_slots_per_endpoint,actor_worker_max_running,actor_worker_max_active_work,actor_worker_failures,actor_worker_slot_held_utilization,max_inflight_limit,admission_scope,per_endpoint_inflight_limit,max_active_work_per_endpoint,max_active_work_per_endpoint_seen,shared_credit_coordinator_name,shared_credit_request_limit,shared_credit_work_limit,shared_credit_quantum,shared_credit_job_weight,effective_global_inflight_limit,endpoint_routing,pool_routing,endpoint_pool_ids,endpoint_gpu_ids,long_request_token_threshold,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,controller_min_window,controller_max_window,adaptive_sample_interval_s,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,control_trace_path,control_trace_events,arrival_replay,arrival_time_scale,arrival_replay_preload,arrival_replay_start_epoch_s,arrival_replay_observed_start_epoch_s,submission_granularity,flush_policy,flush_timeout_ms,flush_max_wait_ms,flush_ewma_alpha,flush_deadband_ratio,flush_service_capacity_tokens_s_per_endpoint,flush_trace_output,flush_trace_path,flush_trace_events,submission_trace_path,submission_trace_events,resource_trace_path,resource_trace_events,resource_sample_interval_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p50,gpu_utilization_pct_p95,gpu_utilization_pct_max,gpu_utilization_below_10pct_ratio,gpu_memory_used_mib_mean,gpu_memory_used_mib_max,gpu_memory_utilization_pct_mean,gpu_memory_utilization_pct_max,gpu_power_w_mean,gpu_power_w_max,gpu_energy_j,energy_j_per_1k_observed_tokens,vllm_running_mean,vllm_running_p50,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p50,vllm_waiting_p95,vllm_waiting_max,vllm_kv_cache_usage_mean,vllm_kv_cache_usage_p50,vllm_kv_cache_usage_p95,vllm_kv_cache_usage_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,request_trace_path,request_trace_events,request_e2e_s_p50,request_e2e_s_p95,request_e2e_s_p99,request_slo_target_ms,request_slo_violation_ratio,request_slo_goodput_per_s,request_actual_output_tokens_observed,request_actual_output_tokens_p50,request_actual_output_tokens_p95,request_actual_output_tokens_p99,request_finish_reason_observed,request_finish_reason_stop_ratio,request_finish_reason_length_ratio,latency_granularity,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,http_headers_wait_s_p50,http_headers_wait_s_p95,http_headers_wait_s_p99,http_body_read_s_p50,http_body_read_s_p95,http_body_read_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s,tokens_per_s,model_request_tokens_per_s,operator_tokens_per_s
ok,workload_KW_sweep_short,warmup,1,k64,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,47484.0,49128.0,38.849999999999994,job_table,925,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,short_prompt_lt50,doc_id,0,1500,/root/autodl-tmp/gates/workload_short_lt50_512.jsonl,8b212c12be75b23e556e9da271683d4d587e41770f6a6539418961960f456c3f,512,512,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions,qwen2.5-7b,300.0,512,0,512,512,fixed_rows,0,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,False,raw,completions,urllib,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-7b,qwen2.5-7b,fixed_rows,organizer_input,0.0,0.0,0,512,1,98633.0,98633.0,98633.0,98633,1,512.0,512,98633.0,98633,1.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,2,2,256;256,round_robin,3.967756,256,64;64,13285;13693,0;0,0.222736,64,per_endpoint,64,0,13693,,0,0,0,1,128,manifest_pinned,none,default;default,0;1,0,static,0,0,0,0,0,0,0,128.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/kw_sweep_short_20260730_f203257/000_warmup_1_k64.flush.csv,,0,experiments/results/kw_sweep_short_20260730_f203257/000_warmup_1_k64.submissions.csv,512,experiments/results/kw_sweep_short_20260730_f203257/000_warmup_1_k64.resources.csv,75,0.25,ok,77.44666666666667,100.0,100.0,100.0,0.18666666666666668,47484.0,47484.0,96.65363947239864,96.65363947239864,576.5165333333333,797.19,16012.485004581209,123.44168462561737,83.74666666666667,117.0,127.0,128.0,0.0,0.0,0.0,0.0,0.06079301275370949,0.06952508560369208,0.11910078904272736,0.13026648801548313,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.195841281724669,experiments/results/kw_sweep_short_20260730_f203257/000_warmup_1_k64.requests.csv,512,20.776177,29.589649,29.638463,30000.0,0.005859,16.634474,0,0.0,0.0,0.0,512,0.146484,0.853516,request,none,0,512,512,128,129717,1,1,1.0,28,305,253.353516,268.0,297.0,4.899299,12.542649,12.7469,4.898801,12.540635,12.746154,0.000387,0.002026,0.002869,ok,8680,121037,512,913075102507008.0,4.55494,2.6e-05,4.538151,0.051246,4.486906,0,0,0.0,1.500423,0.0,1.500423,0.001048,9.5e-05,0.008905,none,48.0,0.023438,,3218.620507,28.245657,28.256497,0.728512,22.572515,0.057146,0.109367,3.7e-05,30.599104,16.733,4239.242,4592.458,4590.697
ok,workload_KW_sweep_short,warmup,1,k128,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,47484.0,49128.0,159.98,job_table,926,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,short_prompt_lt50,doc_id,0,1500,/root/autodl-tmp/gates/workload_short_lt50_512.jsonl,8b212c12be75b23e556e9da271683d4d587e41770f6a6539418961960f456c3f,512,512,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions,qwen2.5-7b,300.0,512,0,512,512,fixed_rows,0,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,False,raw,completions,urllib,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-7b,qwen2.5-7b,fixed_rows,organizer_input,0.0,0.0,0,512,1,98633.0,98633.0,98633.0,98633,1,512.0,512,98633.0,98633,1.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,2,2,256;256,round_robin,4.505809,256,126;128,24200;26322,0;0,0.456654,128,per_endpoint,128,0,26322,,0,0,0,1,256,manifest_pinned,none,default;default,0;1,0,static,0,0,0,0,0,0,0,256.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/kw_sweep_short_20260730_f203257/001_warmup_1_k128.flush.csv,,0,experiments/results/kw_sweep_short_20260730_f203257/001_warmup_1_k128.submissions.csv,512,experiments/results/kw_sweep_short_20260730_f203257/001_warmup_1_k128.resources.csv,64,0.25,ok,52.9921875,50.0,100.0,100.0,0.390625,47484.0,47484.0,96.65363947239864,96.65363947239864,492.2628125,897.75,13071.80000769496,100.6870735268356,109.375,62.0,250.0,252.0,0.0,0.0,0.0,0.0,0.08024415661753759,0.019651630192050074,0.22748250707160933,0.2340330504689594,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.17315232879629097,experiments/results/kw_sweep_short_20260730_f203257/001_warmup_1_k128.requests.csv,512,28.857292,34.008673,34.040023,30000.0,0.4375,8.405052,0,0.0,0.0,0.0,512,0.140625,0.859375,request,none,0,512,512,254,129826,1,1,1.0,28,305,253.566406,268.0,298.0,5.812562,25.993755,26.492427,5.811979,25.993459,26.492049,0.000499,0.003612,0.006959,ok,8680,121146,512,913833836769280.0,5.467678,4e-05,5.432082,0.080622,5.35146,0,0,0.0,1.44157,0.0,1.44157,0.001098,0.000105,0.010021,none,48.0,0.023438,,7399.638694,31.974473,31.985633,2.184364,24.264107,0.093684,0.094455,2.6e-05,34.265108,14.942,3788.869,4060.301,4058.885
ok,workload_KW_sweep_short,warmup,1,k256,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,47484.0,49128.0,207.62,job_table,927,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,short_prompt_lt50,doc_id,0,1500,/root/autodl-tmp/gates/workload_short_lt50_512.jsonl,8b212c12be75b23e556e9da271683d4d587e41770f6a6539418961960f456c3f,512,512,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions,qwen2.5-7b,300.0,512,0,512,512,fixed_rows,0,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,False,raw,completions,urllib,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-7b,qwen2.5-7b,fixed_rows,organizer_input,0.0,0.0,0,512,1,98633.0,98633.0,98633.0,98633,1,512.0,512,98633.0,98633,1.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,2,2,256;256,round_robin,4.292723,256,256;256,49315;49318,0;0,0.766778,256,per_endpoint,256,0,49318,,0,0,0,1,512,manifest_pinned,none,default;default,0;1,0,static,0,0,0,0,0,0,0,512.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/kw_sweep_short_20260730_f203257/002_warmup_1_k256.flush.csv,,0,experiments/results/kw_sweep_short_20260730_f203257/002_warmup_1_k256.submissions.csv,512,experiments/results/kw_sweep_short_20260730_f203257/002_warmup_1_k256.resources.csv,62,0.25,ok,34.29032258064516,45.0,53.5,62.5,0.24193548387096775,47484.0,47484.0,96.65363947239864,96.65363947239864,368.3775806451613,555.0799999999999,13292.135484304425,102.51215051444058,136.69354838709677,156.0,292.0,299.0,0.0,0.0,0.0,0.0,0.17213905977610974,0.14783385439928542,0.45958016971862437,0.5177906803632575,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.1531322284132262,experiments/results/kw_sweep_short_20260730_f203257/002_warmup_1_k256.requests.csv,512,31.028965,37.296653,37.335229,30000.0,0.789062,2.88013,0,0.0,0.0,0.0,512,0.148438,0.851562,request,none,0,512,512,512,129664,1,1,1.0,28,305,253.25,268.0,298.0,28.380776,34.717314,35.489286,28.380398,34.716862,35.487864,0.000455,0.003678,0.012626,ok,8680,120984,512,912710819872768.0,11.133553,0.000306,11.010921,0.135848,10.875073,0,0,0.0,0.553019,0.0,0.553019,0.001117,9.3e-05,0.009428,none,48.0,0.023438,,12185.157196,36.113764,36.122904,4.253059,0.0,0.0,0.115897,1.4e-05,37.498306,13.654,3457.863,3590.432,3589.523
ok,workload_KW_sweep_short,warmup,1,w32768,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,47484.0,49128.0,180.42,job_table,928,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,short_prompt_lt50,doc_id,0,1500,/root/autodl-tmp/gates/workload_short_lt50_512.jsonl,8b212c12be75b23e556e9da271683d4d587e41770f6a6539418961960f456c3f,512,512,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions,qwen2.5-7b,300.0,512,0,512,512,fixed_rows,0,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,False,raw,completions,urllib,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-7b,qwen2.5-7b,fixed_rows,organizer_input,0.0,0.0,0,512,1,98633.0,98633.0,98633.0,98633,1,512.0,512,98633.0,98633,1.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,2,2,256;256,round_robin,4.253915,256,169;180,32017;32767,0;0,0.534083,256,per_endpoint,256,32768,32767,,0,0,0,1,512,manifest_pinned,none,default;default,0;1,0,static,0,0,0,0,0,0,0,512.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/kw_sweep_short_20260730_f203257/003_warmup_1_w32768.flush.csv,,0,experiments/results/kw_sweep_short_20260730_f203257/003_warmup_1_w32768.submissions.csv,512,experiments/results/kw_sweep_short_20260730_f203257/003_warmup_1_w32768.resources.csv,69,0.25,ok,52.130434782608695,41.5,100.0,100.0,0.2608695652173913,47484.0,47484.0,96.65363947239864,96.65363947239864,465.85014492753623,862.91,15109.010948206189,116.48300784986654,111.40579710144928,120.0,224.0,232.0,0.0,0.0,0.0,0.0,0.1210232311267323,0.09379187137114786,0.2977519726068185,0.318296858716689,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.15707015248948164,experiments/results/kw_sweep_short_20260730_f203257/003_warmup_1_w32768.requests.csv,512,31.318457,36.383557,36.814671,30000.0,0.556641,6.11808,0,0.0,0.0,0.0,512,0.158203,0.841797,request,none,0,512,512,349,129710,1,1,1.0,28,305,253.339844,268.0,298.0,21.186608,29.41736,30.628265,21.186008,29.41669,30.62732,0.000242,0.002486,0.009147,ok,8680,121030,512,913062976200704.0,8.066379,3.2e-05,8.017407,0.100123,7.917284,0,0,0.0,1.032031,0.0,1.032031,0.00164,0.000104,0.01031,none,48.0,0.023438,,8851.550372,35.220217,35.23085,2.204041,27.337319,0.096941,0.165979,2e-05,37.103146,13.799,3495.93,3682.828,3681.716
ok,workload_KW_sweep_short,warmup,1,w65536,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,47484.0,49128.0,177.96,job_table,929,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,short_prompt_lt50,doc_id,0,1500,/root/autodl-tmp/gates/workload_short_lt50_512.jsonl,8b212c12be75b23e556e9da271683d4d587e41770f6a6539418961960f456c3f,512,512,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions,qwen2.5-7b,300.0,512,0,512,512,fixed_rows,0,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,False,raw,completions,urllib,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-7b,qwen2.5-7b,fixed_rows,organizer_input,0.0,0.0,0,512,1,98633.0,98633.0,98633.0,98633,1,512.0,512,98633.0,98633,1.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,2,2,256;256,round_robin,4.261153,256,256;256,49315;49318,0;0,0.813007,256,per_endpoint,256,65536,49318,,0,0,0,1,512,manifest_pinned,none,default;default,0;1,0,static,0,0,0,0,0,0,0,512.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/kw_sweep_short_20260730_f203257/004_warmup_1_w65536.flush.csv,,0,experiments/results/kw_sweep_short_20260730_f203257/004_warmup_1_w65536.submissions.csv,512,experiments/results/kw_sweep_short_20260730_f203257/004_warmup_1_w65536.resources.csv,56,0.25,ok,36.17857142857143,40.0,100.0,100.0,0.3392857142857143,47484.0,47484.0,96.65363947239864,96.65363947239864,411.72517857142856,894.99,11639.903375753163,89.89244770326877,166.73214285714286,128.0,417.0,463.0,0.0,0.0,0.0,0.0,0.1630431315000319,0.14530296263212739,0.4714902486228971,0.48697335119845164,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.1840144520845471,experiments/results/kw_sweep_short_20260730_f203257/004_warmup_1_w65536.requests.csv,512,26.89562,31.072745,31.145716,30000.0,0.195312,13.119133,0,0.0,0.0,0.0,512,0.15625,0.84375,request,none,0,512,512,512,129487,1,1,1.0,28,305,252.904297,268.0,297.0,15.55683,28.155808,28.968685,15.554571,28.154165,28.966264,0.00086,0.003186,0.005198,ok,8680,120807,512,911471310991360.0,10.60427,0.000342,10.474948,0.151235,10.323714,0,0,0.0,0.401763,0.0,0.401763,0.001002,9.1e-05,0.01018,none,48.0,0.023438,,9567.116761,30.009964,30.019754,3.152876,0.0,0.0,0.199278,1.5e-05,31.404515,16.303,4123.197,4314.8,4313.393
ok,workload_KW_sweep_short,warmup,1,w98304,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,47484.0,49128.0,159.92000000000002,job_table,930,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,short_prompt_lt50,doc_id,0,1500,/root/autodl-tmp/gates/workload_short_lt50_512.jsonl,8b212c12be75b23e556e9da271683d4d587e41770f6a6539418961960f456c3f,512,512,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions,qwen2.5-7b,300.0,512,0,512,512,fixed_rows,0,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,False,raw,completions,urllib,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-7b,qwen2.5-7b,fixed_rows,organizer_input,0.0,0.0,0,512,1,98633.0,98633.0,98633.0,98633,1,512.0,512,98633.0,98633,1.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,2,2,256;256,round_robin,3.912124,256,256;256,49315;49318,0;0,0.68925,256,per_endpoint,256,98304,49318,,0,0,0,1,512,manifest_pinned,none,default;default,0;1,0,static,0,0,0,0,0,0,0,512.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/kw_sweep_short_20260730_f203257/005_warmup_1_w98304.flush.csv,,0,experiments/results/kw_sweep_short_20260730_f203257/005_warmup_1_w98304.submissions.csv,512,experiments/results/kw_sweep_short_20260730_f203257/005_warmup_1_w98304.resources.csv,75,0.25,ok,28.793333333333333,29.0,54.0,72.5,0.22666666666666666,47484.0,47484.0,96.65363947239864,96.65363947239864,325.9044,504.09,13690.192713205817,105.88666429377,125.66666666666667,121.0,244.0,254.0,0.0,0.0,0.0,0.0,0.16652275321324003,0.14708947446776832,0.4637486973351198,0.523447967842787,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.13016538519080598,experiments/results/kw_sweep_short_20260730_f203257/005_warmup_1_w98304.requests.csv,512,25.512821,43.37454,43.415147,30000.0,0.476562,6.147545,0,0.0,0.0,0.0,512,0.15625,0.84375,request,none,0,512,512,512,129291,1,1,1.0,28,305,252.521484,268.0,298.0,24.330839,38.285386,39.553879,24.320287,38.284903,39.553271,0.000211,0.083917,0.206928,ok,8680,120611,512,910075335393280.0,11.263561,4.3e-05,11.163198,0.127064,11.036134,0,0,0.0,0.523467,0.0,0.523467,0.001194,0.000114,0.006604,none,48.0,0.023438,,13012.720857,42.363111,42.373847,3.492426,0.0,0.0,0.206485,1.7e-05,43.59464,11.745,2965.755,3051.971,3051.198
ok,workload_KW_sweep_short,formal,1,k128,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,47484.0,49128.0,155.51,job_table,931,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,short_prompt_lt50,doc_id,0,1500,/root/autodl-tmp/gates/workload_short_lt50_512.jsonl,8b212c12be75b23e556e9da271683d4d587e41770f6a6539418961960f456c3f,512,512,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions,qwen2.5-7b,300.0,512,0,512,512,fixed_rows,0,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,False,raw,completions,urllib,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-7b,qwen2.5-7b,fixed_rows,organizer_input,0.0,0.0,0,512,1,98633.0,98633.0,98633.0,98633,1,512.0,512,98633.0,98633,1.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,2,2,256;256,round_robin,3.763002,256,126;128,24128;26269,0;0,0.446093,128,per_endpoint,128,0,26269,,0,0,0,1,256,manifest_pinned,none,default;default,0;1,0,static,0,0,0,0,0,0,0,256.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/kw_sweep_short_20260730_f203257/006_formal_1_k128.flush.csv,,0,experiments/results/kw_sweep_short_20260730_f203257/006_formal_1_k128.submissions.csv,512,experiments/results/kw_sweep_short_20260730_f203257/006_formal_1_k128.resources.csv,60,0.25,ok,60.225,71.5,100.0,100.0,0.26666666666666666,47484.0,47484.0,96.65363947239864,96.65363947239864,542.59,897.54,13389.560285950898,102.96335250112193,117.73333333333333,117.0,251.0,253.0,0.0,0.0,0.0,0.0,0.08928837278546971,0.08500818817924671,0.2188476998660116,0.23313979455113887,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.20499506976728316,experiments/results/kw_sweep_short_20260730_f203257/006_formal_1_k128.requests.csv,512,23.921677,29.033803,29.081872,30000.0,0.0,17.493881,0,0.0,0.0,0.0,512,0.142578,0.857422,request,none,0,512,512,254,130042,1,1,1.0,28,305,253.988281,269.0,297.0,5.872038,20.878679,21.567659,5.870303,20.874835,21.566131,0.000381,0.00267,0.006421,ok,8680,121362,512,915374757584896.0,5.518386,2.5e-05,5.491465,0.071552,5.419913,0,0,0.0,1.379679,0.0,1.379679,0.001427,0.000116,0.008959,none,48.0,0.023438,,6014.887896,27.053015,27.062728,2.10025,19.49556,0.074411,0.095022,5e-05,29.267377,17.494,4443.241,4806.932,4805.207
ok,workload_KW_sweep_short,formal,1,k64,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,47484.0,49128.0,224.07999999999998,job_table,932,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,short_prompt_lt50,doc_id,0,1500,/root/autodl-tmp/gates/workload_short_lt50_512.jsonl,8b212c12be75b23e556e9da271683d4d587e41770f6a6539418961960f456c3f,512,512,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions,qwen2.5-7b,300.0,512,0,512,512,fixed_rows,0,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,False,raw,completions,urllib,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-7b,qwen2.5-7b,fixed_rows,organizer_input,0.0,0.0,0,512,1,98633.0,98633.0,98633.0,98633,1,512.0,512,98633.0,98633,1.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,2,2,256;256,round_robin,4.053592,256,64;64,13292;13795,0;0,0.221911,64,per_endpoint,64,0,13795,,0,0,0,1,128,manifest_pinned,none,default;default,0;1,0,static,0,0,0,0,0,0,0,128.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/kw_sweep_short_20260730_f203257/007_formal_1_k64.flush.csv,,0,experiments/results/kw_sweep_short_20260730_f203257/007_formal_1_k64.submissions.csv,512,experiments/results/kw_sweep_short_20260730_f203257/007_formal_1_k64.resources.csv,74,0.25,ok,77.77027027027027,100.0,100.0,100.0,0.17567567567567569,47484.0,47484.0,96.65363947239864,96.65363947239864,621.3052702702703,809.9200000000001,17346.673171877865,134.01323525863614,83.78378378378379,113.0,127.0,128.0,0.0,0.0,0.0,0.0,0.062043061373119435,0.0696739615899955,0.12609796039898769,0.1339883876730683,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.1890668374614669,experiments/results/kw_sweep_short_20260730_f203257/007_formal_1_k64.requests.csv,512,20.988335,29.834665,29.905348,30000.0,0.007812,16.470559,0,0.0,0.0,0.0,512,0.15625,0.84375,request,none,0,512,512,128,129440,1,1,1.0,28,305,252.8125,268.0,297.0,4.893314,13.603943,13.792187,4.892652,13.603339,13.791095,0.000431,0.001537,0.002833,ok,8680,120760,512,911135002710016.0,4.524957,2.1e-05,4.510387,0.047749,4.462638,0,0,0.0,0.709363,0.0,0.709363,0.001111,0.000106,0.009259,none,48.0,0.023438,,3315.007699,29.193858,29.206763,0.75948,23.41617,0.060041,0.115572,1.6e-05,30.842913,16.6,4196.75,4433.809,4431.85
