system,scenario,policy,repeat,run_stem,job,job_index,job_jct_s,request_p95_s,request_p99_s,request_tail_status,actual_work,work_per_s,start_epoch_s,end_epoch_s,replay_barrier_lateness_ms,arrival_to_first_submit_ms,first_submit_to_completion_s,submit_timing_status,overlap_with_any_s,pairwise_overlap_s,manifest_sha256,completed_rows,exactly_once
project,single_long2_full_pool,single_full,1,010_formal_1_single_long2_full_pool,long2,0,39.72542476654053,39.21762737035751,39.248891584873206,observed:request_timestamp,495685.0,12477.777214795193,1786261861.8266664,1786261901.5520911,0.1239776611328125,39.023637771606445,39.68640112876892,observed:project_request_timestamp,0.0,{},2df8d11091d09a505b43f043fce4ad689c2c0d118617b81217574655d26473b9,512,True
project,staggered_fourjob_shared_work,shared_work,1,011_formal_1_staggered_fourjob_shared_work,short,0,16.575843572616577,16.523770081996915,16.568207058906555,observed:request_timestamp,147809.0,8917.132895980125,1786261937.354611,1786261953.9304545,0.10323524475097656,48.63882064819336,16.527204751968384,observed:project_request_timestamp,11.575843572616577,"{""long1"": 11.575843572616577, ""long2"": 11.575843572616577, ""long3"": 11.575843572616577}",9ab22f36bec72e4958a8690ac5fea6710e8555dc77a6a2f76eb385256df8f81c,512,True
project,staggered_fourjob_shared_work,shared_work,1,011_formal_1_staggered_fourjob_shared_work,long1,1,127.04231023788452,126.20837613344193,126.71543364048004,observed:request_timestamp,500087.0,3936.3815020649085,1786261942.354611,1786262069.3969212,0.09012222290039062,464.10441398620605,126.57820582389832,observed:project_request_timestamp,106.41260004043579,"{""long2"": 106.41260004043579, ""long3"": 66.315678358078, ""short"": 11.575843572616577}",d63ddb097a1e7f0e8d0cef8771ad48cb29ed330e450bc5435b2965b439a052ff,512,True
project,staggered_fourjob_shared_work,shared_work,1,011_formal_1_staggered_fourjob_shared_work,long2,2,106.41260004043579,101.16183414459229,105.12279298782349,observed:request_timestamp,496165.0,4662.652729201824,1786261942.354611,1786262048.767211,0.14734268188476562,421.3600158691406,105.99124002456665,observed:project_request_timestamp,106.41260004043579,"{""long1"": 106.41260004043579, ""long3"": 66.315678358078, ""short"": 11.575843572616577}",2df8d11091d09a505b43f043fce4ad689c2c0d118617b81217574655d26473b9,512,True
project,staggered_fourjob_shared_work,shared_work,1,011_formal_1_staggered_fourjob_shared_work,long3,3,66.315678358078,61.959395873546605,66.30410195112228,observed:request_timestamp,497118.0,7496.236369863589,1786261942.354611,1786262008.6702893,0.11134147644042969,48.73156547546387,66.26694679260254,observed:project_request_timestamp,66.315678358078,"{""long1"": 66.315678358078, ""long2"": 66.315678358078, ""short"": 11.575843572616577}",54f6ec75e2be9a498d3ada3cf14d2fb71f8326cb0b686b3dc20304c2c42948d9,512,True
project,single_short_quarter_pool,single_quarter,1,012_formal_1_single_short_quarter_pool,short,0,36.441251277923584,34.207781839370725,36.3614097905159,observed:request_timestamp,147406.0,4045.031244283859,1786262101.2530067,1786262137.694258,0.1285076141357422,39.41154479980469,36.40183973312378,observed:project_request_timestamp,0.0,{},9ab22f36bec72e4958a8690ac5fea6710e8555dc77a6a2f76eb385256df8f81c,512,True
project,staggered_fourjob_static_partition,static_partition,1,013_formal_1_staggered_fourjob_static_partition,short,0,59.0016930103302,54.80260342359543,58.02022524356841,observed:request_timestamp,147795.0,2504.9281208612706,1786262169.6150317,1786262228.6167247,0.11587142944335938,39.278507232666016,58.962414503097534,observed:project_request_timestamp,54.0016930103302,"{""long1"": 54.0016930103302, ""long2"": 54.0016930103302, ""long3"": 54.0016930103302}",9ab22f36bec72e4958a8690ac5fea6710e8555dc77a6a2f76eb385256df8f81c,512,True
project,staggered_fourjob_static_partition,static_partition,1,013_formal_1_staggered_fourjob_static_partition,long1,1,136.52800273895264,131.62499811649323,135.7588828921318,observed:request_timestamp,500220.0,3663.8637493030787,1786262174.6150317,1786262311.1430345,0.09870529174804688,39.836883544921875,136.48816585540771,observed:project_request_timestamp,135.7565414905548,"{""long2"": 135.7565414905548, ""long3"": 135.30998158454895, ""short"": 54.0016930103302}",d63ddb097a1e7f0e8d0cef8771ad48cb29ed330e450bc5435b2965b439a052ff,512,True
project,staggered_fourjob_static_partition,static_partition,1,013_formal_1_staggered_fourjob_static_partition,long2,2,135.7565414905548,130.06139985322952,135.37359885215758,observed:request_timestamp,495982.0,3653.4666731658576,1786262174.6150317,1786262310.3715732,0.1049041748046875,39.7334098815918,135.71680808067322,observed:project_request_timestamp,135.7565414905548,"{""long1"": 135.7565414905548, ""long3"": 135.30998158454895, ""short"": 54.0016930103302}",2df8d11091d09a505b43f043fce4ad689c2c0d118617b81217574655d26473b9,512,True
project,staggered_fourjob_static_partition,static_partition,1,013_formal_1_staggered_fourjob_static_partition,long3,3,135.30998158454895,130.05012658834454,135.16476461172104,observed:request_timestamp,497093.0,3673.7348876911165,1786262174.6150317,1786262309.9250133,0.09489059448242188,38.19680213928223,135.27178478240967,observed:project_request_timestamp,135.30998158454895,"{""long1"": 135.30998158454895, ""long2"": 135.30998158454895, ""short"": 54.0016930103302}",54f6ec75e2be9a498d3ada3cf14d2fb71f8326cb0b686b3dc20304c2c42948d9,512,True
