system,scenario,policy,phase,formal_repeats,duration_s_mean,duration_s_cv,gpu_util_pct_mean_mean,gpu_util_pct_mean_cv,running_total_mean_mean,running_total_mean_cv,waiting_total_mean_mean,waiting_total_mean_cv,kv_per_endpoint_mean_mean,kv_per_endpoint_mean_cv,gpu_power_total_w_mean_mean,gpu_power_total_w_mean_cv,energy_j_estimate_mean,energy_j_estimate_cv,total_completed_work_per_s_mean,total_completed_work_per_s_cv,short_completed_work_per_s_mean,short_completed_work_per_s_cv,long1_completed_work_per_s_mean,long1_completed_work_per_s_cv,long2_completed_work_per_s_mean,long2_completed_work_per_s_cv,long3_completed_work_per_s_mean,long3_completed_work_per_s_cv,active_work_total_mean_mean,active_work_total_mean_cv,waiting_work_total_mean_mean,waiting_work_total_mean_cv,active_requests_total_mean_mean,active_requests_total_mean_cv,waiting_requests_total_mean_mean,waiting_requests_total_mean_cv
project,staggered_fourjob_shared_work,shared_work,four_job_overlap,3,11.325076580047607,0.02431627945468468,100.0,0.0,201.38850574712643,0.03634346681923214,2.017871709306637,0.13474460910154168,0.29914337335247176,0.015317474088311068,1789.8329034729948,7.55859191041367e-05,20270.014780639078,0.02437764113482045,12771.090706479792,0.017409307714597942,12061.940118865996,0.01779694959383596,111.03665318693245,0.024461031526312526,125.34686624682351,0.024461031526312446,472.7670681800415,0.009271446459754348,97427.52988505748,0.020107634424464154,687.2904214559387,0.194281857259215,213.39157088122604,0.038624319576429686,0.728735632183908,0.1693803628852846
project,staggered_fourjob_shared_work,shared_work,long_only_drain,3,113.77585832277934,0.018159405280422865,99.83248050682262,5.284348194070873e-05,109.62993421052632,0.006310222690142206,0.24853801169590645,0.2961254994401616,0.4076012563479066,0.01686851282881467,1746.5118676900586,0.0009195968995316769,198709.11009132565,0.017431263760732493,13047.055073541245,0.01822712050657107,3.1505365306249176,0.23829180781895773,4376.218206685037,0.01969476154296864,4344.847061406022,0.016827309335544036,4322.83926891956,0.018041198148187408,113522.64257122201,0.003401692870867278,1202.4530004713515,0.2644163269359318,113.48341262422906,0.00356777465365675,1.110996069408494,0.2536889283074425
project,staggered_fourjob_shared_work,shared_work,short_only,3,5.0,0.0,99.83333333333333,0.0028915706303320153,233.08119658119656,0.03686787976761324,0.0,0.0,0.18134510726069455,0.11607797310383856,1545.6185042735042,0.02118704444460949,7728.092521367521,0.02118704444460952,2182.733333333333,0.13820120775868353,2182.733333333333,0.13820120775868353,0.0,0.0,0.0,0.0,0.0,0.0,78124.0583028083,0.024045325973829586,0.0,0.0,235.03113553113553,0.024804320913256437,0.0,0.0
project,staggered_fourjob_static_partition,static_partition,four_job_overlap,3,53.78503187497457,0.0076350061395960385,100.0,0.0,134.2852516366224,0.001397115319740152,1.064220281116415,0.265811055115186,0.3318964669713458,0.004994267531342926,1778.4236550963744,0.0013079058185653004,95653.07811770623,0.008705356174685886,12603.479742680733,0.004709740419664797,2445.117408824092,0.01718032039884584,3404.1804926920418,0.00707579305105153,3459.7060940223796,0.006769807538991203,3294.475747142219,0.004604654784573239,,,,,,,,
project,staggered_fourjob_static_partition,static_partition,long_only_drain,3,82.60124293963115,0.003890310298233068,99.69136116710318,0.0007511453867549053,75.41024471960544,0.0016033872789676083,0.012012012012012012,1.7320508075688774,0.2641742850549069,0.0030806507050904312,1712.61963645152,0.00033473712310727306,141464.63332271145,0.004225080319375679,11448.97991893346,0.0018294888252538587,3.2203229754704594,0.00388533060459016,3821.8825585293084,0.004050925325813087,3751.012456323826,0.005190147591220089,3872.8645811048564,0.002558880336977138,,,,,,,,
project,staggered_fourjob_static_partition,static_partition,short_only,3,5.0,0.0,99.87728937728937,0.0002699728946571112,59.739926739926744,0.01827510293373781,0.0,0.0,0.055217585253315486,0.03194893459502897,1317.9332967032967,0.01430012273488556,6589.666483516483,0.014300122734885552,3194.3333333333335,0.16603289646207361,3194.3333333333335,0.16603289646207361,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
