"schema_version","experiment_id","phase","repeat_index","job_id","sample_index","sample_epoch_s","gpu_metrics_status","gpu_name","gpu_utilization_pct","gpu_memory_used_mib","gpu_memory_total_mib","vllm_metrics_status","vllm_num_requests_running","vllm_num_requests_waiting","vllm_kv_cache_usage_perc","server_version","pgvector_version"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","26","1784983461.5543349","snapshot","NVIDIA GeForce RTX 5070","24","11335","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","27","1784983461.875089","snapshot","NVIDIA GeForce RTX 5070","24","11335","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","28","1784983462.2031353","snapshot","NVIDIA GeForce RTX 5070","22","11335","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","29","1784983462.5278983","snapshot","NVIDIA GeForce RTX 5070","22","11335","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","30","1784983462.8733437","snapshot","NVIDIA GeForce RTX 5070","22","11335","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","31","1784983463.214091","snapshot","NVIDIA GeForce RTX 5070","22","11348","12227","ok","2","0","0.0004768338234125702","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","32","1784983463.534306","snapshot","NVIDIA GeForce RTX 5070","22","11348","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","33","1784983463.8609288","snapshot","NVIDIA GeForce RTX 5070","22","11341","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","34","1784983464.1844916","snapshot","NVIDIA GeForce RTX 5070","72","11337","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","35","1784983464.5308576","snapshot","NVIDIA GeForce RTX 5070","72","11334","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","36","1784983464.8506808","snapshot","NVIDIA GeForce RTX 5070","72","11340","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","37","1784983465.199889","snapshot","NVIDIA GeForce RTX 5070","22","11332","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
