status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,sharegpt_burstgpt_arrival_token6144_k1,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11302,12227,job_table,528,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,1,none,0,13,13,1,70580,1,71,39.384615,1159,6141,5429.230769,5808.0,6141.0,0.286359,0.320434,0.320434,ok,62396,8184,512,0.27337,5e-05,0.240949,0.039045,0.201904,0,0,0.0,0.471324,0.0,0.471324,0.000724,2.6e-05,0.002997,,3.487684,3.54924,5.240669,0.333636,4.749932,0.395828,0.00311,5e-06,5.919149,86.499
ok,sharegpt_burstgpt_arrival_token6144_k1,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,94,11302,12227,job_table,529,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,1,none,0,13,13,1,70578,1,71,39.384615,1159,6141,5429.076923,5808.0,6141.0,0.25141,0.336226,0.336226,ok,62396,8182,512,0.269352,5.2e-05,0.237881,0.036941,0.20094,0,0,0.0,0.068709,0.0,0.068709,0.000423,1.6e-05,0.002651,,3.433305,3.49237,3.498288,0.016831,3.293349,0.274446,0.002919,7e-06,3.584344,142.843
ok,sharegpt_burstgpt_arrival_token6144_k1,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,72,11306,12227,job_table,530,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,1,none,0,13,13,1,70588,1,71,39.384615,1159,6141,5429.846154,5816.0,6141.0,0.279223,0.340008,0.340008,ok,62396,8192,512,0.270614,5.5e-05,0.239607,0.037975,0.201632,0,0,0.0,0.066865,0.0,0.066865,0.000608,2.1e-05,0.003933,,3.440742,3.497504,3.504943,0.016423,3.304911,0.275409,0.002642,9e-06,3.616412,141.577
ok,sharegpt_burstgpt_arrival_token6144_k1,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,94,11303,12227,job_table,531,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,1,none,0,13,13,1,70578,1,71,39.384615,1159,6141,5429.076923,5806.0,6141.0,0.263106,0.359782,0.359782,ok,62396,8182,512,0.277485,4.4e-05,0.247154,0.037769,0.209385,0,0,0.0,0.06376,0.0,0.06376,0.000453,1.6e-05,0.002557,,3.577666,3.641139,3.647826,0.020273,3.432395,0.286033,0.003656,8e-06,3.739755,136.907
ok,sharegpt_burstgpt_arrival_token6144_k2,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11304,12227,job_table,532,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,2,none,0,13,13,2,70578,1,71,39.384615,1159,6135,5429.076923,5816.0,6135.0,0.340719,0.534013,0.534013,ok,62396,8182,512,0.384214,7.5e-05,0.342988,0.06322,0.279767,0,0,0.0,0.441549,0.0,0.441549,0.00074,1.7e-05,0.003107,,4.678195,2.476444,4.008211,0.023098,3.782635,0.343876,0.003842,5e-06,4.620033,110.822
ok,sharegpt_burstgpt_arrival_token6144_k2,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,62,11301,12227,job_table,533,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,2,none,0,13,13,2,70580,1,71,39.384615,1159,6141,5429.230769,5808.0,6141.0,0.326874,0.504708,0.504708,ok,62396,8184,512,0.380023,8.7e-05,0.340746,0.061426,0.27932,0,0,0.0,0.064119,0.0,0.064119,0.000412,1.5e-05,0.00262,,4.586883,2.519362,2.526225,0.015475,2.331343,0.21194,0.00243,6e-06,2.608955,196.247
ok,sharegpt_burstgpt_arrival_token6144_k2,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,61,11309,12227,job_table,534,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,2,none,0,13,13,2,70588,1,71,39.384615,1159,6141,5429.846154,5816.0,6141.0,0.342448,0.506756,0.506756,ok,62396,8192,512,0.3817,0.000103,0.342178,0.058934,0.283244,0,0,0.0,0.072648,0.0,0.072648,0.00047,1.6e-05,0.002809,,4.581338,2.418864,2.426105,0.017057,2.21239,0.201126,0.00299,9e-06,2.542218,201.399
ok,sharegpt_burstgpt_arrival_token6144_k2,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,80,11306,12227,job_table,535,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,2,none,0,13,13,2,70586,1,71,39.384615,1159,6141,5429.692308,5816.0,6141.0,0.336322,0.483726,0.483726,ok,62396,8190,512,0.372959,6.6e-05,0.332838,0.053024,0.279814,0,0,0.0,0.065252,0.0,0.065252,0.00053,1.7e-05,0.002677,,4.5164,2.360909,2.368538,0.018596,2.187206,0.198837,0.002664,9e-06,2.475331,206.841
ok,sharegpt_burstgpt_arrival_token6144_k4,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11307,12227,job_table,536,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,4,none,0,13,13,4,70580,1,71,39.384615,1159,6141,5429.230769,5808.0,6141.0,0.521742,0.677126,0.677126,ok,62396,8184,512,0.537938,6.6e-05,0.495362,0.070263,0.425099,0,0,0.0,0.457549,0.0,0.457549,0.001164,1.5e-05,0.002626,,6.435976,1.79958,3.446207,0.024196,3.219743,0.357749,0.003381,8e-06,4.090189,125.178
ok,sharegpt_burstgpt_arrival_token6144_k4,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11306,12227,job_table,537,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,4,none,0,13,13,4,70572,1,71,39.384615,1159,6141,5428.615385,5808.0,6141.0,0.58779,0.68473,0.68473,ok,62396,8176,512,0.567274,0.000126,0.510119,0.086469,0.423651,0,0,0.0,0.064564,0.0,0.064564,0.000397,1.5e-05,0.003054,,6.702149,1.805628,1.81211,0.014973,1.62658,0.180731,0.002541,6e-06,1.895584,270.101
