repeat_index,d0_tokens_per_s,d1_tokens_per_s,p0_tokens_per_s,d1_over_d0,p0_over_d1,p0_over_d0
1,13366.778926625628,12516.580995397915,12539.62548732796,0.9363947039227093,1.0018411171500043,0.9381187162712746
2,13913.950720287348,12718.969921950113,12427.681339081939,0.9141163554219806,0.9770980995587171,0.8931813536583579
3,13278.68060036581,12227.875790543112,12419.914313103485,0.9208652695664847,1.0157049781867178,0.9353274385379323
