status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,executor,strategy,model_backend,embedding_endpoint_url,embedding_model,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,model_service_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,gpu_real_embed_20260712_python_coalesced,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,7,1680,12227,job_table,172,python,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,1,167268,0.02365,0.003624,1.964109,0.0,0.0,0.0,1.554672,3.554435,1152.363
ok,gpu_real_embed_20260712_python_coalesced,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,7,1756,12227,job_table,173,python,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,1,167268,0.020454,0.001817,1.844745,0.0,0.0,0.0,1.58818,3.464018,1182.442
ok,gpu_real_embed_20260712_python_coalesced,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,8,1773,12227,job_table,174,python,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,1,167268,0.021917,0.001904,1.771831,0.0,0.0,0.0,1.602543,3.407185,1202.165
ok,gpu_real_embed_20260712_task_coalesced,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1739,12227,job_table,175,ray_task,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,2,167268,0.02183,0.003242,2.708383,0.0,0.0,0.006696,1.596265,3.257275,1257.493
ok,gpu_real_embed_20260712_task_coalesced,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1813,12227,job_table,176,ray_task,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,2,167268,0.019251,0.001941,2.830438,0.0,0.0,0.00638,1.613802,3.241247,1263.711
ok,gpu_real_embed_20260712_task_coalesced,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,7,1815,12227,job_table,177,ray_task,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,2,167268,0.025923,0.001821,2.579053,0.0,0.0,0.006646,1.574901,3.109424,1317.286
ok,gpu_real_embed_20260712_actor_coalesced,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1811,12227,job_table,178,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,2,167268,0.020444,0.003062,2.677902,0.0,0.0,0.006435,1.511885,3.161059,1295.768
ok,gpu_real_embed_20260712_actor_coalesced,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1811,12227,job_table,179,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,2,167268,0.021005,0.00171,2.503341,0.0,0.0,0.006837,1.552157,3.151057,1299.881
ok,gpu_real_embed_20260712_actor_coalesced,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1813,12227,job_table,180,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,4096,4096,512,256,384,2,8,json_text,256,16,16,2,167268,0.024024,0.001879,2.619559,0.0,0.0,0.006687,1.55521,3.179044,1288.438
ok,gpu_real_embed_20260712_actor_fine_1024,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1812,12227,job_table,181,ray_actor,fine,http_openai,http://localhost:8000/v1/embeddings,all-MiniLM-L6-v2,1024,1024,256,256,384,2,8,json_text,256,1024,1024,8,41537,0.011798,0.002131,24.873933,12.109528,0.048829,0.17018,0.399953,13.599021,75.3
