status,experiment_id,phase,repeat_index,server_version,pgvector_version,database_trigger,job_id,executor,strategy,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,model_workers,max_inflight_limit,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,model_service_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,pg18_4_fake_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,5,python,fine,4096,4096,512,256,128,2,8,4096,4096,1,155648,0.023668,0.003199,63.575218,0.0,0.0,0.0,0.428914,64.249142,63.752
ok,pg18_4_fake_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,6,python,fine,4096,4096,512,256,128,2,8,4096,4096,1,155648,0.020249,0.002035,63.536071,0.0,0.0,0.0,0.469328,64.249093,63.752
ok,pg18_4_fake_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,7,python,fine,4096,4096,512,256,128,2,8,4096,4096,1,155648,0.023787,0.002112,63.545985,0.0,0.0,0.0,0.478312,64.269347,63.732
ok,pg18_4_fake_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,8,python,fine,4096,4096,512,256,128,2,8,4096,4096,1,155648,0.020377,0.003151,63.602335,0.0,0.0,0.0,0.48842,64.346328,63.656
ok,pg18_4_fake_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,9,python,coalesced,4096,4096,512,256,128,2,8,16,16,1,155648,0.022831,0.003359,3.270617,0.0,0.0,0.0,0.478886,3.784593,1082.283
ok,pg18_4_fake_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,10,python,coalesced,4096,4096,512,256,128,2,8,16,16,1,155648,0.02082,0.001667,3.273026,0.0,0.0,0.0,0.522692,3.826803,1070.345
ok,pg18_4_fake_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,11,python,coalesced,4096,4096,512,256,128,2,8,16,16,1,155648,0.020907,0.001734,3.250398,0.0,0.0,0.0,0.513586,3.794946,1079.33
ok,pg18_4_fake_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,12,python,coalesced,4096,4096,512,256,128,2,8,16,16,1,155648,0.023653,0.001879,3.252417,0.0,0.0,0.0,0.485773,3.772154,1085.852
ok,pg18_4_fake_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,13,ray_actor,fine,4096,4096,512,256,128,2,8,4096,4096,8,155648,0.021476,0.002877,59.111947,28.335945,0.056222,0.576492,0.544199,33.108147,123.716
ok,pg18_4_fake_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,14,ray_actor,fine,4096,4096,512,256,128,2,8,4096,4096,8,155648,0.022487,0.00197,59.277432,28.146952,0.055847,0.572939,0.471724,32.507105,126.003
ok,pg18_4_fake_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,15,ray_actor,fine,4096,4096,512,256,128,2,8,4096,4096,8,155648,0.019587,0.001806,59.115322,28.276742,0.056105,0.604524,0.479275,32.689038,125.302
ok,pg18_4_fake_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,16,ray_actor,fine,4096,4096,512,256,128,2,8,4096,4096,8,155648,0.021608,0.002006,58.254464,28.710862,0.056966,0.600528,0.479828,33.570935,122.01
ok,pg18_4_fake_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,17,ray_actor,coalesced,4096,4096,512,256,128,2,8,16,16,2,155648,0.021434,0.003581,3.340623,0.0,0.0,0.006015,0.502281,2.353221,1740.593
ok,pg18_4_fake_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,18,ray_actor,coalesced,4096,4096,512,256,128,2,8,16,16,2,155648,0.022044,0.002276,3.350527,0.0,0.0,0.005798,0.507647,2.365256,1731.736
ok,pg18_4_fake_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,19,ray_actor,coalesced,4096,4096,512,256,128,2,8,16,16,2,155648,0.023682,0.002234,3.352117,0.0,0.0,0.006163,0.471756,2.656498,1541.88
ok,pg18_4_fake_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,20,ray_actor,coalesced,4096,4096,512,256,128,2,8,16,16,2,155648,0.02183,0.001957,3.345075,0.0,0.0,0.006262,0.429274,2.281865,1795.023
