status,experiment_id,phase,repeat_index,server_version,pgvector_version,database_trigger,job_id,executor,strategy,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,model_service_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,pg18_4_vector_writeback_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,69,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,1,4,4,4,155648,0.011492,0.003236,3.249268,0.0,0.0,0.001526,3.122699,4.08147,1003.56
ok,pg18_4_vector_writeback_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,70,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,1,4,4,4,155648,0.010388,0.001013,3.293158,0.0,0.0,0.001751,3.11317,4.083545,1003.05
ok,pg18_4_vector_writeback_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,71,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,1,4,4,4,155648,0.013805,0.00167,3.276574,0.0,0.0,0.001545,3.083812,4.083384,1003.09
ok,pg18_4_vector_writeback_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,72,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,1,4,4,4,155648,0.014032,0.001423,3.29295,0.0,0.0,0.0017,3.183836,4.182221,979.384
ok,pg18_4_vector_writeback_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,73,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,64,4,4,4,155648,0.010795,0.002732,3.249454,0.0,0.0,0.001238,0.535806,1.499038,2732.419
ok,pg18_4_vector_writeback_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,74,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,64,4,4,4,155648,0.011473,0.001863,3.278508,0.0,0.0,0.001864,0.561293,1.535309,2667.867
ok,pg18_4_vector_writeback_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,75,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,64,4,4,4,155648,0.011266,0.00101,3.309984,0.0,0.0,0.001622,0.527766,1.507972,2716.231
ok,pg18_4_vector_writeback_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,76,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,64,4,4,4,155648,0.012952,0.001346,3.254701,0.0,0.0,0.00168,0.530112,1.51499,2703.648
ok,pg18_4_vector_writeback_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,77,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,256,4,4,4,155648,0.010287,0.002797,3.245457,0.0,0.0,0.001787,0.492221,1.456226,2812.75
ok,pg18_4_vector_writeback_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,78,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,256,4,4,4,155648,0.009555,0.001492,3.272689,0.0,0.0,0.001575,0.535819,1.508379,2715.497
ok,pg18_4_vector_writeback_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,79,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,256,4,4,4,155648,0.014498,0.001287,3.256548,0.0,0.0,0.001572,0.493788,1.45966,2806.133
ok,pg18_4_vector_writeback_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,80,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,256,4,4,4,155648,0.012082,0.001583,3.289357,0.0,0.0,0.001645,0.525559,1.531113,2675.178
ok,pg18_4_vector_writeback_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,81,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,1024,4,4,4,155648,0.009381,0.003412,3.25259,0.0,0.0,0.001372,0.5036,1.461518,2802.565
ok,pg18_4_vector_writeback_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,82,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,1024,4,4,4,155648,0.013812,0.001151,3.266159,0.0,0.0,0.001641,0.459822,1.433002,2858.336
ok,pg18_4_vector_writeback_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,83,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,1024,4,4,4,155648,0.012655,0.001444,3.280992,0.0,0.0,0.00166,0.467061,1.437583,2849.226
ok,pg18_4_vector_writeback_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,84,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,1024,4,4,4,155648,0.012772,0.029478,3.278288,0.0,0.0,0.001301,0.460409,1.448661,2827.439
ok,pg18_4_vector_writeback_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,85,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,0,4,4,4,155648,0.011167,0.002966,3.288457,0.0,0.0,0.001328,0.457031,1.439696,2845.045
ok,pg18_4_vector_writeback_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,86,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,0,4,4,4,155648,0.011161,0.001328,3.289189,0.0,0.0,0.001584,0.450716,1.416985,2890.645
ok,pg18_4_vector_writeback_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,87,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,0,4,4,4,155648,0.014053,0.001174,3.24389,0.0,0.0,0.001588,0.436634,1.403155,2919.136
ok,pg18_4_vector_writeback_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,88,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,json_text,0,4,4,4,155648,0.009584,0.023427,3.250857,0.0,0.0,0.0019,0.485646,1.545173,2650.837
ok,pg18_4_vector_writeback_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,89,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,pgvector,1,4,4,4,155648,0.01271,0.002859,3.258751,0.0,0.0,0.001634,3.156181,4.129094,991.985
ok,pg18_4_vector_writeback_4096,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,90,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,pgvector,1,4,4,4,155648,0.012245,0.001131,3.30489,0.0,0.0,0.00176,2.984681,3.965391,1032.937
ok,pg18_4_vector_writeback_4096,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,91,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,pgvector,1,4,4,4,155648,0.015742,0.001079,3.245486,0.0,0.0,0.001263,2.930791,3.901765,1049.781
ok,pg18_4_vector_writeback_4096,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,92,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,pgvector,1,4,4,4,155648,0.011748,0.025342,3.244945,0.0,0.0,0.001491,2.965007,3.936765,1040.448
ok,pg18_4_vector_writeback_4096,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,93,ray_actor,coalesced,4096,4096,4096,1024,128,4,8,pgvector,64,4,4,4,155648,0.013091,0.002463,3.258173,0.0,0.0,0.001546,0.418413,1.37511,2978.67
