policy,baseline,jct_s_baseline,jct_s_with_long,jct_s_delta_pct,post_last_arrival_drain_s_baseline,post_last_arrival_drain_s_with_long,post_last_arrival_drain_s_delta_pct,buffer_mean_s_baseline,buffer_mean_s_with_long,buffer_mean_s_delta_pct,buffer_p99_s_baseline,buffer_p99_s_with_long,buffer_p99_s_delta_pct,flush_to_submit_mean_s_baseline,flush_to_submit_mean_s_with_long,flush_to_submit_mean_s_delta_pct,flush_to_submit_p99_s_baseline,flush_to_submit_p99_s_with_long,flush_to_submit_p99_s_delta_pct,submit_to_service_mean_s_baseline,submit_to_service_mean_s_with_long,submit_to_service_mean_s_delta_pct,service_mean_s_baseline,service_mean_s_with_long,service_mean_s_delta_pct,service_p99_s_baseline,service_p99_s_with_long,service_p99_s_delta_pct,request_e2e_mean_s_baseline,request_e2e_mean_s_with_long,request_e2e_mean_s_delta_pct,request_e2e_p99_s_baseline,request_e2e_p99_s_with_long,request_e2e_p99_s_delta_pct,vllm_queue_mean_s_baseline,vllm_queue_mean_s_with_long,vllm_queue_mean_s_delta_pct,vllm_inference_mean_s_baseline,vllm_inference_mean_s_with_long,vllm_inference_mean_s_delta_pct,vllm_prefill_mean_s_baseline,vllm_prefill_mean_s_with_long,vllm_prefill_mean_s_delta_pct,vllm_decode_mean_s_baseline,vllm_decode_mean_s_with_long,vllm_decode_mean_s_delta_pct
staggered_static_partition,single_short_half_pool,71.2396895885,73.9362381299,3.78517727542,4.36468958855,7.06123812993,61.7809923634,0.0734411519952,0.129830917964,76.7822459714,0.085578324,0.917449301879,972.05803876,0.00311236161118,0.0346278916113,1012.59217075,0.00777039845785,0.698791713715,8892.9971739,0.00290188752115,0.00259161662931,-10.6920371508,3.84503519426,6.14211148877,59.7413594012,4.83653903802,8.43296481053,74.3594902106,3.92449059539,6.30916191498,60.7638433989,4.92168757439,9.38010613441,90.5871917436,2.26666666667e-05,2.6e-05,14.7058823529,3.82090266667,6.303484,64.9736868461,0.036504,0.133682,266.211921981,3.78439866667,6.169802,63.0325592899
staggered_shared_work,single_short_full_pool,71.2415831884,77.6161370277,8.94779924038,4.36658318837,10.7411370277,145.984939811,0.0751416776329,0.990823133538,1218.60661719,0.0872524126371,3.8351632913,4295.48108228,0.00329238564397,0.132981574318,3939.06433506,0.00923246542613,1.28462724845,13814.2383876,0.0029993293186,0.00238947663456,-20.3329684493,3.84701825601,7.23876120026,88.1655016572,4.83781206608,10.170222524,110.22359664,3.9284516486,8.36495538475,112.932629264,4.92213703314,13.4536891588,173.33024392,2.3e-05,6.2e-05,169.565217391,3.821936,7.530538,97.0346442222,0.0364866666667,0.162895,346.450758268,3.78544933333,7.36764333333,94.6306154056
