scenario,repeat,phase,duration_s,samples,gpu_util_pct_mean,running_total_mean,waiting_total_mean,kv_per_endpoint_mean,short_completed_requests,short_completed_work,short_completed_work_per_s,mfu_status
staggered_shared_work,1,pre_long,5.0,14,90.75,6.285714285714286,0.0,0.005747676471213765,6,1437.0,287.4,unavailable:no_interval_flops_counter
staggered_shared_work,1,overlap,72.46041679382324,195,95.0974358974359,87.28717948717949,0.020512820512820513,0.24120047487622298,505,145911.0,2013.6649284694415,unavailable:no_interval_flops_counter
staggered_shared_work,1,long_drain,24.813363075256348,67,93.8955223880597,66.26865671641791,0.08955223880597014,0.36629047704754475,1,406.0,16.362151263762364,unavailable:no_interval_flops_counter
staggered_static_partition,1,pre_long,5.0,14,85.71428571428571,6.214285714285714,0.0,0.005646653480507889,6,1430.0,286.0,unavailable:no_interval_flops_counter
staggered_static_partition,1,overlap,68.95451235771179,187,94.64171122994652,67.82352941176471,0.0,0.16502146759877365,505,145909.0,2116.018154737653,unavailable:no_interval_flops_counter
staggered_static_partition,1,long_drain,49.848891496658325,137,96.86861313868613,34.627737226277375,0.0,0.18716754199226496,1,432.0,8.66619070213346,unavailable:no_interval_flops_counter
staggered_static_partition,2,pre_long,5.0,14,85.21428571428571,6.071428571428571,0.0,0.005604117484421194,6,1437.0,287.4,unavailable:no_interval_flops_counter
staggered_static_partition,2,overlap,68.91000699996948,187,94.8903743315508,67.49197860962566,0.0,0.16500156439204858,505,146011.0,2118.8649712379897,unavailable:no_interval_flops_counter
staggered_static_partition,2,long_drain,49.911155462265015,137,97.08029197080292,34.35766423357664,0.0,0.18561140759528336,1,432.0,8.655379664103561,unavailable:no_interval_flops_counter
staggered_shared_work,2,pre_long,5.0,14,88.42857142857143,6.357142857142857,0.0,0.005816797464854627,6,1440.0,288.0,unavailable:no_interval_flops_counter
staggered_shared_work,2,overlap,72.59723711013794,198,95.20202020202021,86.4040404040404,0.030303030303030304,0.23821436036710714,505,145654.0,2006.3297970834203,unavailable:no_interval_flops_counter
staggered_shared_work,2,long_drain,24.93964672088623,68,93.80882352941177,65.6029411764706,0.17647058823529413,0.3609881424655615,1,406.0,16.279300366351492,unavailable:no_interval_flops_counter
staggered_shared_work,3,pre_long,5.0,14,89.71428571428571,6.285714285714286,0.0,0.0057210914736595874,6,1437.0,287.4,unavailable:no_interval_flops_counter
staggered_shared_work,3,overlap,72.79075717926025,198,95.27272727272727,86.51010101010101,0.050505050505050504,0.2400219253725283,505,145971.0,2005.3507568346943,unavailable:no_interval_flops_counter
staggered_shared_work,3,long_drain,24.276432037353516,67,94.02985074626865,66.28358208955224,0.029850746268656716,0.3644539695448617,1,266.0,10.957129103268253,unavailable:no_interval_flops_counter
staggered_static_partition,3,pre_long,5.0,14,92.5,6.428571428571429,0.0,0.005901869457028003,6,1445.0,289.0,unavailable:no_interval_flops_counter
staggered_static_partition,3,overlap,68.94419503211975,189,94.87830687830687,67.52380952380952,0.0,0.16488724416370687,505,146051.0,2118.3944483209602,unavailable:no_interval_flops_counter
staggered_static_partition,3,long_drain,49.9842574596405,138,97.10144927536231,34.20289855072464,0.021739130434782608,0.18492609062448082,1,432.0,8.64272116773598,unavailable:no_interval_flops_counter
