system,scenario,repeat,short_jct_s,short_p99_s,short_actual_work,short_work_per_s,group_service_tokens_per_s,group_gpu_util_pct,group_mfu_fraction,group_running_mean,group_waiting_mean,group_kv_mean,group_gpu_energy_j,short_long_overlap_s,short_manifest_sha256,request_p99_status,throughput_scope
project,single_short_half_pool,1,71.22731375694275,4.915391445159912,147690.0,2073.502315473805,2230.3730211744924,75.45128205128205,0.06668091781170941,26.307692307692307,0.0,0.03017601722380641,,0.0,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,single_short_full_pool,1,71.23794388771057,4.906116008758545,147667.0,2072.8700456706247,2215.6293057233015,75.75,0.06623668168365716,26.23469387755102,0.0,0.030043325950299727,,0.0,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,single_short_full_pool,2,71.25617480278015,4.942169904708862,147730.0,2073.223835111566,2215.750337321143,74.47448979591837,0.06625156306723658,25.70408163265306,0.0,0.029264765307641587,,0.0,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,single_short_half_pool,2,71.23740029335022,4.9135284423828125,147918.0,2076.4092933049897,2241.969789650492,75.87055837563452,0.06706941126560044,26.578680203045685,0.0,0.030444761341213936,,0.0,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,single_short_half_pool,3,71.25435471534729,4.9365434646606445,147628.0,2071.8453011013344,2214.195680207746,75.07853403141361,0.0661886909089615,25.963350785340314,0.0,0.029457179447007553,,0.0,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,single_short_full_pool,3,71.23063087463379,4.919148683547974,147867.0,2075.8906412080855,2223.55473576448,75.46683673469387,0.06650907372877977,26.357142857142858,0.0,0.03005623866339747,,0.0,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,staggered_shared_work,1,77.46041679382324,13.330990076065063,147754.0,1907.4774719232084,8509.346199133806,94.58514492753623,0.32019067573495213,78.07608695652173,0.036231884057971016,0.2917785933592679,,72.46041679382324,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,staggered_static_partition,1,73.95451235771179,9.412590980529785,147771.0,1998.1336539039569,7030.412516152126,95.17455621301775,0.26513721695238157,51.81656804733728,0.0,0.19281554441481605,,68.95451235771179,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,staggered_static_partition,2,73.91000699996948,9.343698978424072,147880.0,2000.8116086372588,7031.964348304076,95.37721893491124,0.26519991942155435,51.51775147928994,0.0,0.1926728348894838,,68.91000699996948,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
project,staggered_shared_work,2,77.59723711013794,13.57566213607788,147500.0,1900.8408738914932,8486.302367389866,94.525,0.319330617761972,77.35,0.06428571428571428,0.28921180799251367,,72.59723711013794,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,observed,group_all_active_jobs
