scenario,formal_repeats,jct_s_mean,arrival_span_s_mean,post_last_arrival_drain_s_mean,arrival_span_fraction_mean,buffer_s_mean_mean,buffer_s_p95_mean,buffer_s_p99_mean,flush_to_submit_s_mean_mean,flush_to_submit_s_p95_mean,flush_to_submit_s_p99_mean,submit_to_service_s_mean_mean,submit_to_service_s_p95_mean,submit_to_service_s_p99_mean,service_s_mean_mean,service_s_p95_mean,service_s_p99_mean,request_e2e_s_mean_mean,request_e2e_s_p95_mean,request_e2e_s_p99_mean,profiler_vllm_request_queue_time_mean_s_mean,profiler_vllm_request_inference_time_mean_s_mean,profiler_vllm_request_prefill_time_mean_s_mean,profiler_vllm_request_decode_time_mean_s_mean,profiler_source_fetch_s_mean,profiler_actor_ready_s_mean,profiler_operator_wall_s_mean,profiler_e2e_s_mean,profiler_bounded_wait_s_mean,profiler_stage_boundary
single_short_full_pool,3,71.24158318837483,66.875,4.366583188374837,0.9387074027150305,0.0751416776329279,0.08678083419799805,0.08725241263707478,0.0032923856439689794,0.0064576546351114905,0.00923246542612711,0.00299932931860288,0.004103012879689534,0.006395226319630937,3.847018256007383,4.811393805344899,4.837812066078186,3.928451648602883,4.893494975566864,4.922137033144633,2.3e-05,3.821936,0.03648666666666667,3.785449333333333,2.215767,4.388661333333333,71.24470366666667,79.39437133333334,0.038669,overlapping_fields_do_not_sum
single_short_half_pool,3,71.23968958854675,66.875,4.364689588546753,0.9387323558900365,0.07344115199521184,0.08504582643508911,0.08557832400004069,0.003112361611177524,0.005672295888264973,0.007770398457845051,0.002901887521147728,0.0036937554677327475,0.005405669212341303,3.845035194264104,4.808510490258534,4.83653903802236,3.924490595391641,4.890240621566773,4.921687574386596,2.2666666666666668e-05,3.8209026666666666,0.036504,3.7843986666666667,2.2076803333333332,4.696804333333334,71.24178133333334,79.02772533333334,0.037781666666666665,overlapping_fields_do_not_sum
staggered_shared_work,3,77.61613702774048,66.875,10.741137027740479,0.8616146895343456,0.9908231335381666,3.525703438123067,3.8351632912953693,0.13298157431806126,0.6343868772188822,1.2846272484461458,0.0023894766345620155,0.0030486702919006346,0.004320890903472899,7.2387612002591295,10.006351888179779,10.17022252400716,8.36495538474992,13.041355661551156,13.453689158757527,6.2e-05,7.530538,0.162895,7.3676433333333335,1.224408,5.039344666666667,77.618203,85.226404,16.040798,overlapping_fields_do_not_sum
staggered_static_partition,3,73.93623812993367,66.875,7.061238129933675,0.9044956318834203,0.12983091796437898,0.612787393728892,0.9174493018786108,0.03462789161130786,0.21429762045542397,0.6987917137145992,0.0025916166293124356,0.0034493923187255858,0.004904857476552326,6.142111488773177,8.371729902426402,8.432964810530345,6.309161914978176,8.896229612827302,9.380106134414671,2.6e-05,6.303484,0.133682,6.169802,1.2052496666666666,5.0104690000000005,73.93842,81.637013,4.345978666666666,overlapping_fields_do_not_sum
