status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,executor,strategy,data_source,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,vllm_qwen15b_ray_task_static_batch_1,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10535,12227,job_table,348,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,1,128,128,8,2,8,none,0,32,32,8,1634,0.448004,0.0,0.448004,0.00058,4.9e-05,0.013387,,3.747085,0.628735,2.625848,0.017871,2.515326,0.104805,0.005375,3e-06,3.227621,9.914
ok,vllm_qwen15b_ray_task_static_batch_1,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10534,12227,job_table,349,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,1,128,128,8,2,8,none,0,32,32,8,1634,0.060682,0.0,0.060682,0.000489,6.1e-05,0.014254,,4.250571,0.579001,0.586294,0.014587,0.435384,0.018141,0.006131,3e-06,0.665118,48.112
ok,vllm_qwen15b_ray_task_static_batch_1,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,67,10543,12227,job_table,350,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,1,128,128,8,2,8,none,0,32,32,8,1634,0.055364,0.0,0.055364,0.000568,0.000109,0.012906,,4.467212,0.626352,0.634127,0.013647,0.435575,0.018149,0.004498,3e-06,0.706531,45.292
ok,vllm_qwen15b_ray_task_static_batch_1,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,13,10543,12227,job_table,351,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,1,128,128,8,2,8,none,0,32,32,8,1634,0.059419,0.0,0.059419,0.00036,4.6e-05,0.013835,,3.747887,0.505904,0.512585,0.015398,0.384606,0.016025,0.004153,3e-06,0.589533,54.28
ok,vllm_qwen15b_ray_task_static_batch_2,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10537,12227,job_table,352,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,2,128,128,8,2,8,none,0,16,16,8,1634,0.438072,0.0,0.438072,0.000578,5e-05,0.009734,,2.052026,0.43267,2.363469,0.010505,2.227241,0.278405,0.002852,3e-06,2.954001,10.833
ok,vllm_qwen15b_ray_task_static_batch_2,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10533,12227,job_table,353,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,2,128,128,8,2,8,none,0,16,16,8,1634,0.064324,0.0,0.064324,0.000349,5.8e-05,0.00802,,2.115625,0.284116,0.290272,0.007313,0.152013,0.019002,0.002351,4e-06,0.36691,87.215
ok,vllm_qwen15b_ray_task_static_batch_2,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10533,12227,job_table,354,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,2,128,128,8,2,8,none,0,16,16,8,1634,0.090437,0.0,0.090437,0.000333,4.5e-05,0.007856,,2.369257,0.316056,0.322225,0.006325,0.203727,0.025466,0.002932,4e-06,0.424373,75.405
ok,vllm_qwen15b_ray_task_static_batch_2,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10534,12227,job_table,355,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,2,128,128,8,2,8,none,0,16,16,8,1634,0.054503,0.0,0.054503,0.000601,8.4e-05,0.008083,,1.761868,0.238667,0.245714,0.007485,0.113854,0.014232,0.002484,3e-06,0.312171,102.508
ok,vllm_qwen15b_ray_task_static_batch_4,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10535,12227,job_table,356,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,4,128,128,8,2,8,none,0,8,8,8,1634,0.43982,0.0,0.43982,0.000535,4.9e-05,0.007105,,0.943045,0.194028,2.320613,0.005754,0.0,0.0,0.001059,3e-06,2.910814,10.993
ok,vllm_qwen15b_ray_task_static_batch_4,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,10534,12227,job_table,357,ai_complete,ray_task,coalesced,daft_postgres,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,32,0,32,4,128,128,8,2,8,none,0,8,8,8,1634,0.056885,0.0,0.056885,0.000411,4.7e-05,0.005945,,1.1134,0.150383,0.15679,0.004005,0.0,0.0,0.000894,3e-06,0.223235,143.347
