arm,endpoint,phase,job_b_active,waiting_max,waiting_p95,kv_max,kv_p95,active_max,queued_work_max,service_rate_p50_tokens_s
lower,endpoint-0,0,false,0,0,0.5831,0.5441,128,0,6111.2090
lower,endpoint-0,1,true,0,0,0.6162,0.5916,128,2326,6290.7072
lower,endpoint-0,2,false,0,0,0.6911,0.6612,128,2311,6605.0140
lower,endpoint-0,3,true,0,0,0.7618,0.7313,128,2400,6574.5398
lower,endpoint-1,0,false,0,0,0.6098,0.5501,128,0,6611.8178
lower,endpoint-1,1,true,0,0,0.6205,0.6031,128,2297,6664.2249
lower,endpoint-1,2,false,0,0,0.6571,0.6300,128,2344,6329.6259
lower,endpoint-1,3,true,0,0,0.7727,0.7131,128,2392,6374.4499
upper,endpoint-0,0,false,0,0,0.6673,0.6527,160,0,6612.1323
upper,endpoint-0,1,true,0,0,0.7487,0.7073,160,2294,6822.5631
upper,endpoint-0,2,false,0,0,0.7776,0.7554,160,2350,7199.2781
upper,endpoint-0,3,true,0,0,0.8739,0.8411,160,2396,7018.7937
upper,endpoint-1,0,false,0,0,0.7005,0.6704,160,0,6861.1624
upper,endpoint-1,1,true,0,0,0.7343,0.6933,160,2327,7164.6556
upper,endpoint-1,2,false,0,0,0.7640,0.7240,160,2310,7008.6336
upper,endpoint-1,3,true,0,0,0.8368,0.7865,160,2377,6894.7994
