workload,phase,repeat,order,arm,status,scheduler_owner,database_e2e_boundary,manifest_sha256,server_version,pgvector_version,row_count,correct_rows,database_e2e_s,raw_rows_per_s,correct_rows_per_s,request_latency_s_p50,request_latency_s_p95,request_latency_s_p99,observed_tokens,service_prompt_tokens,service_generation_tokens,service_observed_tokens,service_tokens_per_s,failure_count,infrastructure_failure_count,cap_semantic_failure_count,finish_reason_length_count,null_output_count,exactly_once,sink_rows_written,sink_readback_matched,endpoint_row_skew,endpoint_observed_work_skew,gpu_utilization_pct_mean,gpu_power_w_mean,gpu_energy_j,energy_j_per_correct_row,mfu_fraction,mfu_source,mfu_status_original,vllm_running_mean,vllm_running_max,vllm_waiting_mean,vllm_waiting_max,vllm_kv_cache_usage_mean,vllm_kv_cache_usage_max,vllm_prefix_cache_hit_rate,ttft_p95_s,itl_p95_s,quality_squad_evaluated_rows,quality_squad_exact_match_percent,quality_squad_exact_match_rows,quality_squad_missing_prediction_rows,quality_squad_prediction_rows,quality_squad_quality_status,quality_squad_token_f1_percent,quality_nonempty_completion_rows,quality_quality_status,quality_successful_rows
squad_uniform,warmup,1,1,project_frozen_static,passed,project_frozen_static_ray_actor,profiler_opt_in_scan_to_unified_sink,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8487,62.54784,168.99064779854908,135.68813887098258,0.9842581748962402,1.9334160685539246,2.8316841721534702,2556623.0,2481860.0,60358.0,2542218.0,40644.37716794057,0,0,0,1,0,True,10570,True,0.0,0.012168999103516966,86.8061224489796,780.5292517006802,48565.59653400899,5.7223514238257325,0.7412241475971991,recovered_from_profiler,unavailable:missing_gpu_peak_tflops,131.96598639455783,244.0,0.1360544217687075,10.0,0.08506490284069561,0.16361470894744679,0.612644,0.908945,0.329156,10570,80.29328287606434,8487,0,10570,ok,89.3645860857873,,,
squad_uniform,warmup,1,2,direct_static_sharded,passed,project_bounded_http_static_control,postgres_scan_to_unified_sink_external_wall,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8494,62.03763091005385,170.38045852081402,136.91689826639492,28.75253200531006,57.3615416049957,60.14258878707885,2542222.0,2481860.0,60362.0,2542222.0,40978.70861132459,0,0,0,1,0,True,10570,True,0.0,0.008970597679580338,97.6055900621118,860.2721739130434,53369.247607407044,6.283170191594896,0.6601796256672532,recorded,ok,44.9059829059829,57.0,0.0,0.0,0.0289188422283554,0.06796188774750633,0.6126759768883016,0.24603757225433526,0.09832721587819464,10570,80.35950804162725,8494,0,10570,ok,89.39043108239161,,,
squad_uniform,warmup,1,3,duckdb_ai_static_sharded,passed,experiment_harness_static_shard + duckdb_ai_extension + vllm,postgres_scan_to_unified_sink_external_wall,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8476,62.583922965452075,168.89321568791573,135.4341434409436,61.629305720329285,61.682974100112915,61.682974100112915,2556623.0,2481860.0,60368.0,2542228.0,40621.1033048116,1,0,1,0,1,True,10570,True,0.0,0.012168999103516966,93.95398773006136,840.522208588957,52603.17715308293,6.20613227384178,0.6544199252429266,recorded,ok,44.33613445378151,57.0,0.0,0.0,0.028395279505281344,0.07361917522703587,0.6126759768883016,0.24448009891662742,0.08803183229813664,10570,80.18921475875118,8476,1,10569,partial:missing_predictions,89.38046074790334,,,
squad_uniform,formal,1,1,project_frozen_static,passed,project_frozen_static_ray_actor,profiler_opt_in_scan_to_unified_sink,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8485,61.153239,172.84448334780762,138.74980522290898,0.989332914352417,1.9258301019668553,2.862569932937622,2556623.0,2481860.0,60369.0,2542229.0,41571.45298550744,0,0,0,1,0,True,10570,True,0.0,0.012168999103516966,89.05555555555556,799.7186111111112,48774.871629563546,5.74836436412063,0.7398475217086876,recovered_from_profiler,unavailable:missing_gpu_peak_tflops,136.36111111111111,242.0,0.006944444444444444,1.0,0.08887482837907135,0.16361470894744679,0.612663,0.920606,0.314053,10570,80.27436140018922,8485,0,10570,ok,89.36169085506516,,,
squad_uniform,formal,1,2,duckdb_ai_static_sharded,passed,experiment_harness_static_shard + duckdb_ai_extension + vllm,postgres_scan_to_unified_sink_external_wall,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8483,62.09902532398701,170.2120112973355,136.6043984706998,61.05924713611603,61.062886476516724,61.062886476516724,2556623.0,2481860.0,60466.0,2542326.0,40939.86961528002,1,0,1,0,1,True,10570,True,0.0,0.012168999103516966,94.60802469135803,843.3670370370371,52372.27099037886,6.173791228383692,0.659598040383338,recorded,ok,44.728813559322035,59.0,0.0,0.0,0.028815704145565387,0.0642399880899211,0.6126759768883016,0.24404635527246993,0.08768559272300466,10570,80.2554399243141,8483,1,10569,partial:missing_predictions,89.37811273073528,,,
squad_uniform,formal,1,3,direct_static_sharded,passed,project_bounded_http_static_control,postgres_scan_to_unified_sink_external_wall,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8486,62.3815438374877,169.4411415584114,136.03382471756663,28.698299884796143,57.569635081291196,60.29281555175781,2542244.0,2481860.0,60384.0,2542244.0,40753.14337559338,0,0,0,1,0,True,10570,True,0.0,0.008917501752407358,97.5,860.3000625,53666.84606223716,6.324162863803577,0.6565652674132412,recorded,ok,44.68376068376068,60.0,0.0,0.0,0.028797323795090656,0.06989727556945063,0.6126695301104816,0.24535542582417583,0.09989974619289338,10570,80.28382213812678,8486,0,10570,ok,89.35968228491721,,,
squad_uniform,formal,2,1,duckdb_ai_static_sharded,passed,experiment_harness_static_shard + duckdb_ai_extension + vllm,postgres_scan_to_unified_sink_external_wall,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8484,62.05738206021488,170.32623112821335,136.71218021681761,61.28432786464691,61.31752014160156,61.31752014160156,2556623.0,2481860.0,60432.0,2542292.0,40966.79420883706,1,0,1,0,1,True,10570,True,0.0,0.012168999103516966,94.7037037037037,842.9951851851852,52314.07428195863,6.1662039464826295,0.6600171611988461,recorded,ok,45.24576271186441,59.0,0.0,0.0,0.02887058639475351,0.06632425189816882,0.6126759768883016,0.24396751034314917,0.08638333333333328,10570,80.26490066225166,8484,1,10569,partial:missing_predictions,89.34586527443382,,,
squad_uniform,formal,2,2,direct_static_sharded,passed,project_bounded_http_static_control,postgres_scan_to_unified_sink_external_wall,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8487,62.10651518031955,170.1914842478466,136.65232987809594,28.928245782852173,57.55194357633591,60.32180408000946,2542233.0,2481860.0,60373.0,2542233.0,40933.43496441398,0,0,0,0,0,True,10570,True,0.0,0.00896042329600411,97.23584905660377,861.4644025157232,53502.55199214767,6.304059384016457,0.659454732780146,recorded,ok,45.8974358974359,57.0,0.0,0.0,0.02911416243260817,0.05791275867202622,0.6126759768883016,0.2443394610641699,0.10042158516020237,10570,80.29328287606434,8487,0,10570,ok,89.39432276959242,,,
squad_uniform,formal,2,3,project_frozen_static,passed,project_frozen_static_ray_actor,profiler_opt_in_scan_to_unified_sink,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8482,62.818541,168.26242430558838,135.023829986755,0.9822536706924438,1.950059628486633,2.8505271625518778,2556623.0,2481860.0,60392.0,2542252.0,40469.771496284826,0,0,0,1,0,True,10570,True,0.0,0.012168999103516966,86.26510067114094,780.0802013422818,48862.87552711488,5.760772875160915,0.7409751458587525,recovered_from_profiler,unavailable:missing_gpu_peak_tflops,132.73154362416108,240.0,0.06711409395973154,5.0,0.0871004453290409,0.1637635849337502,0.612663,0.912557,0.294095,10570,80.24597918637653,8482,0,10570,ok,89.37881702953199,,,
squad_uniform,formal,3,1,project_frozen_static,passed,project_frozen_static_ray_actor,profiler_opt_in_scan_to_unified_sink,0543b29e9fed8df8ee2666433e2c54ee400a5dd05e25af31703e293f0cf6b19b,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10570,8488,60.830054,173.76279166216096,139.53628908499738,0.9918174743652344,1.9294601202011101,2.87892517805099,2556623.0,2481860.0,60387.0,2542247.0,41792.61455201075,0,0,0,0,0,True,10570,True,0.0,0.012168999103516966,89.84154929577464,798.7942253521127,48235.66408440709,5.68280679599518,0.7433787819652856,recovered_from_profiler,unavailable:missing_gpu_peak_tflops,134.44366197183098,246.0,0.323943661971831,23.0,0.08829184725743175,0.16361470894744679,0.61267,0.93651,0.29801,10570,80.3027436140019,8488,0,10570,ok,89.36226450848939,,,
