job_count,policy,repeats,tokens_per_s_mean,tokens_per_s_sd,duration_s_mean,gpu_utilization_pct_mean,mfu_pct_mean,jain_fairness_median,jain_fairness_min,job_jct_s_mean,job_jct_s_max,job_p99_s_mean,job_p99_s_max,slo_violation_ratio_mean,slo_violation_ratio_max,slo_goodput_per_s_mean,min_normalized_rate_over_mean,start_lateness_s_max,start_skew_s_max
8,external_vtc,3,14613.322,51.205,101.632,98.058,45.807,0.9697,0.9693,97.447,99.937,13.766,21.717,0.0,0.0,3.794,0.7489,0.0002,0.000081
8,shared_drr,3,14563.99,65.722,101.977,98.079,45.598,0.9686,0.9684,97.938,100.384,13.768,19.282,0.0,0.0,3.776,0.7471,0.0002,0.000062
8,shared_fifo,3,14624.922,90.654,101.553,97.961,45.754,0.9676,0.9673,97.68,100.333,13.54,18.279,0.0,0.0,3.789,0.7423,0.0001,0.000052
8,state_aware_adaptive,3,14781.642,131.864,100.479,97.143,46.191,0.9669,0.9668,96.176,97.613,12.284,14.522,0.0,0.0,3.849,0.7359,0.0002,0.000077
