"schema_version","experiment_id","phase","repeat_index","job_id","flush_policy","flush_timeout_ms","flush_max_wait_ms","arrival_time_scale","trace_index","elapsed_s","pending_rows","pending_tokens","oldest_age_s","action","reason","server_version","pgvector_version"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","0","0.0","1","50","0.0","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","1","0.01600000000325963","1","33","0.012000000002444722","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","2","0.01600000000325963","1","78","0.004700000004959293","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","3","0.03200000000288128","1","106","0.014000000002852175","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","4","0.03200000000288128","1","20","0.011100000003352761","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","5","0.03200000000288128","1","21","0.009200000004057074","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","6","0.03200000000288128","1","282","0.006400000002031447","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","7","0.03200000000288128","1","32","0.005800000002636807","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","8","0.0470000000022992","1","33","0.006500000003143214","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","776","immediate","25.0","50.0","0.0001","9","2.813000000001921","1","21","2.7600000000020373","flush","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
