arm,repeat,wall_s,tokens_per_s,mfu,gpu_util_mean_pct,energy_j,running_mean,running_max,waiting_mean,waiting_max,kv_mean,kv_max,ttft_mean_s,queue_mean_s
bounded_http,1,95.728778,17759.831778,0.568448,97.587649,81893.422207,230.141304,256,3.250000,144,0.597074,0.797082,0.861871,0.134656
bounded_http,2,95.564238,17785.628121,0.569197,97.619048,81844.349660,231.250000,256,3.407609,134,0.600391,0.797975,0.803062,0.119185
bounded_http,3,95.186723,17855.158270,0.548013,95.866935,80089.271804,228.109290,256,1.622951,49,0.595052,0.799017,0.685156,0.054278
daft_native,1,98.893791,17191.959046,0.650500,91.698113,81014.274767,321.062827,512,781.863874,1734,0.799012,0.999404,40.529742,37.525764
daft_native,2,98.053626,17338.797843,0.656118,91.698842,80295.114915,316.957895,508,791.994737,1763,0.791158,1.000000,41.019575,38.010239
daft_native,3,98.132087,17326.779162,0.646621,90.857143,79875.809495,320.042328,472,776.507937,1729,0.804972,0.999628,39.936332,36.930529
daft_ray,1,101.858126,16691.471364,0.636726,85.741135,78797.507988,298.872549,511,729.058824,1770,0.743363,0.999330,40.292968,37.145090
daft_ray,2,101.131219,16811.702799,0.641697,87.272727,79012.876404,305.920000,500,760.465000,1773,0.762630,0.999851,41.245083,38.266656
daft_ray,3,101.606088,16738.731220,0.633719,85.663082,78300.371958,297.788177,512,735.354680,1771,0.742881,0.999553,40.574855,37.509098
ray_data_http,1,481.780641,3528.182446,0.110592,94.044614,327125.244261,17.137045,32,0.000000,0,0.058593,0.123120,0.094586,0.000018
ray_data_http,2,478.273349,3554.266622,0.113855,94.627132,325142.962230,17.298813,32,0.000000,0,0.059247,0.129299,0.095287,0.000018
ray_data_http,3,475.912528,3570.244323,0.112872,94.228199,321498.433702,17.345987,32,0.000000,0,0.059296,0.120515,0.092392,0.000018
