job_count,policy,repeats,tokens_per_s_mean,tokens_per_s_sd,duration_s_mean,gpu_utilization_pct_mean,mfu_pct_mean,jain_fairness_median,jain_fairness_min,job_jct_s_mean,job_jct_s_max,job_p99_s_mean,job_p99_s_max,slo_violation_ratio_mean,slo_violation_ratio_max,slo_goodput_per_s_mean,min_normalized_rate_over_mean,start_lateness_s_max,start_skew_s_max,tokens_per_s_vs_independent_pct,p99_max_vs_independent_pct,jct_max_vs_independent_pct
1,independent_full,3,3040.484867,24.057895,56.708677,79.640521,12.773527,1.0,1.0,55.264967,55.723532,15.403159,15.814316,0.0,0.0,9.264818,1.0,0.159364,0.0,0.0,0.0,0.0
1,shared_drr,3,3029.107706,18.927288,56.870087,79.179685,12.725516,1.0,1.0,55.364127,55.554771,15.479193,15.631287,0.0,0.0,9.248002,1.0,0.187964,0.0,-0.374189,-1.157359,-0.302854
1,static_partition,3,3029.713815,20.204792,56.829727,78.8713,12.728031,1.0,1.0,55.222426,55.624595,15.325582,15.590804,0.0,0.0,9.271845,1.0,0.164355,0.0,-0.354254,-1.413352,-0.177551
2,independent_full,3,4972.098641,57.654279,69.212519,86.466137,20.887549,0.999903,0.999802,66.843617,68.517568,26.58827,28.2735,0.0,0.0,7.66111,0.985936,0.16447,0.01951,0.0,0.0,0.0
2,shared_drr,3,4970.132125,54.561412,69.232961,86.484745,20.879257,0.999869,0.999806,66.919044,68.322516,26.753241,28.261075,0.0,0.0,7.652094,0.986081,0.173037,0.017533,-0.039551,-0.043947,-0.284674
2,static_partition,3,4918.207572,29.519163,70.004295,85.746671,20.661223,0.999732,0.999601,67.534925,68.802035,27.278841,28.485003,0.0,0.0,7.583263,0.980013,0.16607,0.018404,-1.08387,0.748058,0.415174
4,independent_full,3,5985.977625,546.585053,115.723212,88.884136,25.147382,0.999551,0.993895,109.40755,126.996852,67.952037,86.514641,0.49707,0.583984,2.385283,0.914331,0.165908,0.022836,0.0,0.0,0.0
4,shared_drr,3,6558.80284,207.813959,105.048294,92.073249,27.553359,0.996109,0.995419,97.799442,106.813203,55.108837,67.035105,0.467611,0.585938,2.812107,0.919268,0.210804,0.023585,9.569451,-22.515883,-15.893031
4,static_partition,3,6078.007093,332.67054,113.497913,93.116857,25.533641,0.999332,0.99713,107.252576,119.385113,64.564969,78.660292,0.503255,0.59375,2.379904,0.926844,0.169634,0.024463,1.537418,-9.078636,-5.993644
