schema_version,experiment_id,scenario_id,phase,repeat_index,order_index,policy,job_count,rows_per_job,request_limit_per_endpoint,work_limit_per_endpoint,credit_quantum,weights,arrival_offsets_s,ray_address,coordinator_name,run_instance_id,start_epoch_s,end_epoch_s,metrics_status,prompt_tokens_delta,generation_tokens_delta,request_success_delta,estimated_flops_per_gpu_delta,tokens_per_s,duration_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p95,gpu_utilization_pct_max,vllm_running_mean,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p95,vllm_waiting_max,vllm_kv_usage_mean,vllm_kv_usage_p95,vllm_kv_usage_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,jain_fairness,job_jct_s,job_p99_s,job_completion_lag_s,job_slo_violation_ratio,job_slo_goodput_per_s,job_predicted_work,job_normalized_service_rate,replay_configured_start_epoch_s,replay_observed_start_epoch_s,replay_actual_submit_start_epoch_s,endpoint_counts,actor_worker_failures,shared_credit_final,incidents
1,dual_gpu_shared_vllm_formal,j1_independent,warmup,1,0,independent_full,1,512,256,65536,2048,[1],[0.0],127.0.0.1:6380,,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296086.6322284,1785296142.8218243,ok,63970,108672,512,1196759597006848.0,3072.490505027433,56.18959593772888,ok,79.96308724832215,100.0,100.0,39.241610738255034,133.0,151.0,0.0,0.0,0.0,0.054942233119811196,0.1582551734405241,0.2073842489206491,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.12908241010927138,1.0,[54.856022357940674],[14.982881546020508],[15.096022367477417],[0.0],[9.333523977716652],[132773],[2420.3905841667442],[1785296086.6322284],[1785296086.6323917],[1785296086.7813644],"[{""task-0"": 247, ""task-1"": 265}]",0,[],0
1,dual_gpu_shared_vllm_formal,j1_partition,warmup,1,1,static_partition,1,512,256,65536,2048,[1],[0.0],127.0.0.1:6380,,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296157.8860831,1785296214.408813,ok,63970,108261,512,1193868117987328.0,3047.110434775185,56.52272987365723,ok,80.05555555555556,100.0,100.0,38.529411764705884,130.0,146.0,0.0,0.0,0.0,0.051970368813497314,0.14798273038558885,0.1813309513175525,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.12801158697769358,1.0,[54.88320755958557],[14.977513074874878],[15.123207569122314],[0.0],[9.328900819875225],[132618],[2416.3675174418217],[1785296157.8860831],[1785296157.8861847],[1785296158.039826],"[{""task-0"": 249, ""task-1"": 263}]",0,[],0
1,dual_gpu_shared_vllm_formal,j1_shared_drr,warmup,1,2,shared_drr,1,512,256,65536,2048,[1],[0.0],127.0.0.1:6380,credit-dual_gpu_shared_vllm_formal-dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e-002_warmup_1_j1_shared_drr,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296234.7335281,1785296291.1333883,ok,63970,108177,512,1193265741574144.0,3052.259341805243,56.3998601436615,ok,78.74496644295301,100.0,100.0,38.76510067114094,131.0,146.0,0.0,0.0,0.0,0.05266013410828779,0.14857823433080242,0.16793211255024565,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.12822573614325888,1.0,[54.96816301345825],[15.194977760314941],[15.208163022994995],[0.0],[9.314482637424929],[132476],[2410.0496130380952],[1785296234.7335281],[1785296234.7336109],[1785296234.8980215],"[{""task-0"": 250, ""task-1"": 262}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""endpoint_id"": ""task-0"", ""granted_requests_by_job"": ""[[\""428\"", 250]]"", ""granted_work_by_job"": ""[[\""428\"", 94843]]"", ""max_active_requests_seen"": 173, ""max_active_work_seen"": 65475, ""waiting_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]""}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""endpoint_id"": ""task-1"", ""granted_requests_by_job"": ""[[\""428\"", 262]]"", ""granted_work_by_job"": ""[[\""428\"", 96103]]"", ""max_active_requests_seen"": 180, ""max_active_work_seen"": 65441, ""waiting_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]""}]",0
1,dual_gpu_shared_vllm_formal,j2_independent,warmup,1,3,independent_full,2,512,256,65536,2048,"[1, 1]","[0.0, 0.0]",127.0.0.1:6380,,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296306.2121987,1785296374.078168,ok,127940,216495,1024,2387565881229312.0,5075.224065261279,67.86596918106079,ok,86.31666666666666,100.0,100.0,73.66666666666667,204.0,221.0,0.0,0.0,0.0,0.10034572312374904,0.2463897573321423,0.28881941342861395,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.21321579024782802,0.9999650523582821,"[65.6751389503479, 66.30194306373596]","[25.52899718284607, 26.25581383705139]","[25.915138959884644, 26.541943073272705]","[0.0, 0.0]","[7.79594848496758, 7.72224728780294]","[132633, 132325]","[2019.5313191537207, 1995.7936960127424]","[1785296306.2121987, 1785296306.2121987]","[1785296306.2122874, 1785296306.212288]","[1785296306.3778734, 1785296306.3776746]","[{""task-0"": 259, ""task-1"": 253}, {""task-0"": 258, ""task-1"": 254}]",0,[],0
1,dual_gpu_shared_vllm_formal,j2_partition,warmup,1,4,static_partition,2,512,256,65536,2048,"[1, 1]","[0.0, 0.0]",127.0.0.1:6380,,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296389.1491635,1785296457.7494256,ok,127940,216183,1024,2385275475824640.0,5016.351091661327,68.60026216506958,ok,86.81868131868131,100.0,100.0,72.46153846153847,195.0,217.0,0.0,0.0,0.0,0.0989362728978629,0.2393925859758821,0.26678576745570937,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.21073119181691333,0.9998543092884753,"[65.69375729560852, 67.13145041465759]","[25.780678749084473, 27.09996795654297]","[25.933757305145264, 27.371450424194336]","[0.0, 0.0]","[7.793739026009797, 7.626827617122497]","[132447, 132117]","[2016.1276421443745, 1968.0343443190877]","[1785296389.1491635, 1785296389.1491635]","[1785296389.149271, 1785296389.1492705]","[1785296389.314416, 1785296389.2892785]","[{""task-0"": 266, ""task-1"": 246}, {""task-0"": 260, ""task-1"": 252}]",0,[],0
1,dual_gpu_shared_vllm_formal,j2_shared_drr,warmup,1,5,shared_drr,2,512,256,65536,2048,"[1, 1]","[0.0, 0.0]",127.0.0.1:6380,credit-dual_gpu_shared_vllm_formal-dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e-005_warmup_1_j2_shared_drr,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296476.7814069,1785296545.5421169,ok,127940,216414,1024,2386947919949824.0,5008.0052983023725,68.76071000099182,ok,85.63128491620111,100.0,100.0,72.72625698324022,199.0,215.0,0.0,0.0,0.0,0.09938927577238775,0.24519874944171505,0.2630638677981242,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.21038687689220004,0.999796043311453,"[65.45935487747192, 67.31416368484497]","[25.389082670211792, 27.24574112892151]","[25.699354887008667, 27.554163694381714]","[0.0, 0.0]","[7.821647508723107, 7.606125842951995]","[132570, 132487]","[2025.2261918582465, 1968.1890518655878]","[1785296476.7814069, 1785296476.7814069]","[1785296476.7815137, 1785296476.7815413]","[1785296476.9412892, 1785296476.937117]","[{""task-0"": 256, ""task-1"": 256}, {""task-0"": 255, ""task-1"": 257}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""endpoint_id"": ""task-0"", ""granted_requests_by_job"": ""[[\""433\"", 255], [\""434\"", 256]]"", ""granted_work_by_job"": ""[[\""433\"", 93256], [\""434\"", 90896]]"", ""max_active_requests_seen"": 194, ""max_active_work_seen"": 65484, ""waiting_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]""}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""endpoint_id"": ""task-1"", ""granted_requests_by_job"": ""[[\""433\"", 257], [\""434\"", 256]]"", ""granted_work_by_job"": ""[[\""433\"", 97690], [\""434\"", 100050]]"", ""max_active_requests_seen"": 188, ""max_active_work_seen"": 65533, ""waiting_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]""}]",0
1,dual_gpu_shared_vllm_formal,j4_independent,warmup,1,6,independent_full,4,512,256,65536,2048,"[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]",127.0.0.1:6380,,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296560.6303868,1785296670.2757294,ok,255880,433111,2048,4775920128716800.0,6283.81455823676,109.64534258842468,ok,91.81881533101046,100.0,100.0,93.78048780487805,197.0,227.0,0.0,0.0,0.0,0.13936452259309806,0.36608605032008334,0.456156022033646,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.2639872318674049,0.9997747005432177,"[105.29201483726501, 103.94103622436523, 108.00225925445557, 104.77763891220093]","[63.828635454177856, 62.82754349708557, 68.14038515090942, 62.7166051864624]","[65.53201484680176, 64.18103623390198, 68.24225926399231, 65.01763892173767]","[0.48828125, 0.556640625, 0.45703125, 0.5625]","[2.488317850170655, 2.183930507581259, 2.5740202280863977, 2.137860733698172]","[132430, 132835, 132463, 132460]","[1257.7402019011445, 1277.9841805046544, 1226.483602420894, 1264.2010392216957]","[1785296560.6303868, 1785296560.6303868, 1785296560.6303868, 1785296560.6303868]","[1785296560.6305017, 1785296560.6305008, 1785296560.6304896, 1785296560.630503]","[1785296560.7715337, 1785296560.7725618, 1785296560.785557, 1785296560.7714612]","[{""task-0"": 263, ""task-1"": 249}, {""task-0"": 261, ""task-1"": 251}, {""task-0"": 268, ""task-1"": 244}, {""task-0"": 265, ""task-1"": 247}]",0,[],0
1,dual_gpu_shared_vllm_formal,j4_partition,warmup,1,7,static_partition,4,512,256,65536,2048,"[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]",127.0.0.1:6380,,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296685.3776276,1785296798.6171515,ok,255880,432607,2048,4772329011781632.0,6079.917826952137,113.23952388763428,ok,87.25913621262458,100.0,100.0,89.17940199335548,183.0,210.0,0.0,0.0,0.0,0.12749422920076345,0.2855441417299389,0.36534167038856635,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.255416175722444,0.9989074189597,"[105.62814426422119, 109.00681066513062, 111.85893702507019, 102.30186200141907]","[63.46866488456726, 68.26188516616821, 71.53370952606201, 59.90463399887085]","[65.86814427375793, 69.24681067466736, 72.09893703460693, 62.54186201095581]","[0.494140625, 0.53125, 0.625, 0.5703125]","[2.451998014394063, 2.2016972933671184, 1.716447564283293, 2.1504984923632016]","[132635, 132229, 132633, 132280]","[1255.6785970623805, 1213.0342975193362, 1185.7166135082605, 1293.0360934991104]","[1785296685.3776276, 1785296685.3776276, 1785296685.3776276, 1785296685.3776276]","[1785296685.377751, 1785296685.3777323, 1785296685.3777442, 1785296685.3777328]","[1785296685.543552, 1785296685.539843, 1785296685.5379474, 1785296685.5374684]","[{""task-0"": 254, ""task-1"": 258}, {""task-0"": 255, ""task-1"": 257}, {""task-0"": 262, ""task-1"": 250}, {""task-0"": 252, ""task-1"": 260}]",0,[],0
1,dual_gpu_shared_vllm_formal,j4_shared_drr,warmup,1,8,shared_drr,4,512,256,65536,2048,"[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]",127.0.0.1:6380,credit-dual_gpu_shared_vllm_formal-dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e-008_warmup_1_j4_shared_drr,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296817.8234658,1785296927.8121006,ok,255880,432840,2048,4774016238559232.0,6261.737870438632,109.98863482475281,ok,92.18661971830986,100.0,100.0,90.08802816901408,182.0,202.0,0.0,0.0,0.0,0.12523510873189114,0.32410302218252196,0.4041983028137561,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.2630583768490633,0.9991470903615081,"[106.76328802108765, 108.14777159690857, 101.10372185707092, 108.2865207195282]","[65.1337468624115, 67.6977174282074, 46.1402645111084, 67.57667112350464]","[67.00328803062439, 68.38777160644531, 61.343721866607666, 68.52652072906494]","[0.53515625, 0.537109375, 0.37890625, 0.552734375]","[2.229230706654433, 2.191445986361634, 3.145284804149472, 2.1147599763882945]","[132479, 132321, 132709, 132627]","[1240.8666167515657, 1223.520355955096, 1312.6025191002273, 1224.7784776788224]","[1785296817.8234658, 1785296817.8234658, 1785296817.8234658, 1785296817.8234658]","[1785296817.8235788, 1785296817.8235753, 1785296817.8235722, 1785296817.8235736]","[1785296817.9788723, 1785296817.9977694, 1785296817.9985485, 1785296817.9980817]","[{""task-0"": 259, ""task-1"": 253}, {""task-0"": 258, ""task-1"": 254}, {""task-0"": 260, ""task-1"": 252}, {""task-0"": 254, ""task-1"": 258}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""endpoint_id"": ""task-0"", ""granted_requests_by_job"": ""[[\""443\"", 254], [\""444\"", 259], [\""445\"", 258], [\""446\"", 260]]"", ""granted_work_by_job"": ""[[\""443\"", 97762], [\""444\"", 95993], [\""445\"", 98957], [\""446\"", 92713]]"", ""max_active_requests_seen"": 191, ""max_active_work_seen"": 65536, ""waiting_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]""}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""endpoint_id"": ""task-1"", ""granted_requests_by_job"": ""[[\""443\"", 258], [\""444\"", 253], [\""445\"", 254], [\""446\"", 252]]"", ""granted_work_by_job"": ""[[\""443\"", 93184], [\""444\"", 94953], [\""445\"", 91989], [\""446\"", 98233]]"", ""max_active_requests_seen"": 195, ""max_active_work_seen"": 65536, ""waiting_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]""}]",0
1,dual_gpu_shared_vllm_formal,j2_partition,formal,1,9,static_partition,2,512,256,65536,2048,"[1, 1]","[0.0, 0.0]",127.0.0.1:6380,,dual_gpu_shared_vllm_formal_20260729_1135-6cf30933f19e,1785296942.9501626,1785297013.2265158,ok,127940,216134,1024,2384949170831360.0,4896.013875514325,70.27635312080383,ok,85.79234972677595,100.0,100.0,70.35519125683061,193.0,217.0,0.0,0.0,0.0,0.10042458129645765,0.2623194878666071,0.30489801994938215,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.2056771126716174,0.9997315905447833,"[68.8020350933075, 66.5379683971405]","[28.48063325881958, 25.955791473388672]","[29.04203510284424, 26.777968406677246]","[0.0, 0.0]","[7.441640342551484, 7.694854717295567]","[132536, 132445]","[1926.338368047663, 1990.517642641038]","[1785296942.9501626, 1785296942.9501626]","[1785296942.9502413, 1785296942.9502676]","[1785296943.0934517, 1785296943.108819]","[{""task-0"": 263, ""task-1"": 249}, {""task-0"": 261, ""task-1"": 251}]",0,[],0
