status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,endpoint_routing,pool_routing,endpoint_pool_ids,endpoint_gpu_ids,long_request_token_threshold,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,controller_min_window,controller_max_window,adaptive_sample_interval_s,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,control_trace_path,control_trace_events,arrival_replay,arrival_time_scale,arrival_replay_preload,flush_policy,flush_timeout_ms,flush_max_wait_ms,flush_trace_output,flush_trace_path,flush_trace_events,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,accelerated_arrival_gate_immediate,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,25,11344,12227,job_table,776,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0001,bounded_requested_workload,immediate,25.0,50.0,experiments\results\accelerated_arrival_flush_20260725\gate_immediate_flush_trace.csv,experiments\results\accelerated_arrival_flush_20260725\gate_immediate_flush_trace.csv,64,none,0,64,64,8,11226,1,1,1.0,19,1209,175.40625,40.0,1075.0,0.268088,0.497376,0.585616,ok,10202,1024,64,0.29153,1e-05,0.270327,0.056043,0.214283,0,0,0.0,0.819914,0.0,0.819914,0.0,0.0,0.0,none,0.0,0.0,,19.315108,2.618644,5.060092,0.049775,4.732519,0.084509,0.01142,1.1e-05,6.141658,10.421
ok,accelerated_arrival_gate_fixed_timeout,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,24,11356,12227,job_table,777,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0001,bounded_requested_workload,fixed_timeout,25.0,50.0,experiments\results\accelerated_arrival_flush_20260725\gate_fixed_timeout_flush_trace.csv,experiments\results\accelerated_arrival_flush_20260725\gate_fixed_timeout_flush_trace.csv,74,none,0,50,50,8,11226,1,5,1.28,20,1209,224.52,50.0,1091.0,0.236836,0.270426,0.325801,ok,10202,1024,64,0.239179,9e-06,0.226497,0.027673,0.198824,0,0,0.0,0.502516,0.0,0.502516,0.0,0.0,0.0,none,0.0,0.0,,12.037661,1.801437,4.279284,0.056241,3.812881,0.090783,0.011591,1.3e-05,5.082741,12.592
ok,accelerated_arrival_gate_queue_adaptive,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,24,11356,12227,job_table,778,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0001,bounded_requested_workload,queue_adaptive,25.0,50.0,experiments\results\accelerated_arrival_flush_20260725\gate_queue_adaptive_flush_trace.csv,experiments\results\accelerated_arrival_flush_20260725\gate_queue_adaptive_flush_trace.csv,65,none,0,64,64,8,11226,1,1,1.0,19,1209,175.40625,40.0,1075.0,0.219643,0.256857,0.318655,ok,10202,1024,64,0.21374,6e-06,0.204891,0.023751,0.18114,0,0,0.0,0.544868,0.0,0.544868,0.0,0.0,0.0,none,0.0,0.0,,14.318275,2.103078,4.601217,0.051473,4.268291,0.076219,0.015135,1.2e-05,5.403585,11.844
