schema_version,experiment_id,scenario_id,phase,repeat_index,order_index,policy,experiment_identity,ready_observation_contract,job_count,static_partition_count,rows_per_job,rows_per_jobs,request_limit_per_endpoint,work_limit_per_endpoint,request_envelope_owner,work_envelope_applied,http_keepalive_expiry_s,credit_quantum,runtime_state_mode,runtime_state_calibration_signature,adaptive_capacity_increases,adaptive_capacity_decreases,adaptive_capacity_fallbacks,weights,arrival_offsets_s,source_row_offsets,request_manifests,request_manifest_sha256,ray_address,scheduler_owner,coordinator_name,run_instance_id,execution_mode,start_epoch_s,end_epoch_s,metrics_status,prompt_tokens_delta,generation_tokens_delta,request_success_delta,estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_prefix_cache_hit_rate,vllm_ttft_histogram_status,vllm_itl_histogram_status,vllm_time_to_first_token_p50_s,vllm_time_to_first_token_p95_s,vllm_time_to_first_token_p99_s,vllm_inter_token_latency_p50_s,vllm_inter_token_latency_p95_s,vllm_inter_token_latency_p99_s,tokens_per_s,duration_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p95,gpu_utilization_pct_max,vllm_running_mean,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p95,vllm_waiting_max,vllm_kv_usage_mean,vllm_kv_usage_p95,vllm_kv_usage_max,host_cpu_busy_cores_mean,host_cpu_busy_cores_p95,host_cpu_busy_cores_max,host_cpu_per_core_max_pct_mean,host_cpu_per_core_max_pct_p95,host_cpu_per_core_max_pct_max,host_memory_used_pct_mean,host_memory_used_pct_p95,host_memory_used_pct_max,host_memory_available_mib_mean,host_memory_available_mib_p95,host_memory_available_mib_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,jain_fairness,service_disparity_status,service_disparity_bound_status,normalized_cumulative_service_min,normalized_cumulative_service_max,normalized_cumulative_service_disparity,normalized_cumulative_service_disparity_ratio,overlap_service_disparity_samples,max_overlap_normalized_service_disparity,max_overlap_normalized_service_disparity_ratio,completion_service_lag_status,completion_service_lag_samples,completion_service_lag_p95_work,completion_service_lag_max_work,completion_service_lag_job_max_work,completion_longest_no_service_s,completion_longest_no_service_by_job_s,completion_service_lag_p95_work_envelopes,completion_service_lag_max_work_envelopes,credit_trace_status,credit_endpoint_idle_sample_fraction,credit_idle_capacity_fraction_mean,credit_borrowed_work_mean,credit_borrowed_work_max,active_set_contract_status,active_set_contract_passed,active_set_lifecycle_status,active_set_lifecycle_passed,active_set_mechanism_applicable,active_set_mechanism_status,active_set_mechanism_passed,active_set_bulk_job_index,active_set_foreground_job_index,active_set_overlap_s,active_set_foreground_drained_first,active_set_first_drained_job_index,active_set_remaining_job_index,active_set_bulk_only_pre_samples,active_set_overlap_samples,active_set_overlap_reclaim_observed,active_set_overlap_reclaim_competition_samples,active_set_overlap_bulk_fraction_min,active_set_overlap_foreground_fraction_max,active_set_overlap_bulk_dominant_share_min,active_set_overlap_foreground_dominant_share_max,active_set_bulk_only_post_samples,active_set_bulk_borrow_fraction_max,active_set_pre_bulk_dominant_share_max,active_set_bulk_reborrow_fraction_max,active_set_post_remaining_fraction_max,active_set_post_remaining_dominant_share_max,active_set_post_remaining_waiting_work_max,active_set_post_fit_violation_samples,active_set_post_drain_duration_s,active_set_post_drain_observation_interval_s,active_set_post_drain_observed_samples,active_set_post_drain_applicable,active_set_post_drain_status,active_set_post_work_conserving_passed,bounded_saor_event_status,bounded_saor_event_sequence_complete,bounded_saor_event_count,bounded_saor_slo_priority_grants,bounded_saor_debt_recovery_grants,bounded_saor_fallback_grants,bounded_saor_hold_count,bounded_saor_hold_completed_count,bounded_saor_hold_duration_total_s,bounded_saor_hold_duration_p95_s,bounded_saor_hold_duration_max_s,bounded_saor_reclaim_debt_max,bounded_saor_constraint_conflicts,bounded_saor_recovery_inflight_max,bounded_saor_avoidable_idle_events,bounded_saor_foreign_grant_over_debt_critical_events,bounded_ready_event_status,bounded_ready_lifecycle_complete,bounded_ready_intervals,bounded_ready_jobs_with_intervals,bounded_ready_max_ready_requests_seen,bounded_ready_max_ready_work_seen,bounded_ready_max_ready_payload_bytes_seen,bounded_ready_requests_transition_mean_max,bounded_ready_requests_transition_p95_max,bounded_ready_work_transition_mean_max,bounded_ready_work_transition_p95_max,bounded_ready_payload_bytes_transition_mean_max,bounded_ready_payload_bytes_transition_p95_max,bounded_ready_foreground_intervals,bounded_ready_foreign_fallback_events,bounded_ready_foreground_max_ready_requests_seen,bounded_ready_foreground_max_ready_work_seen,job_jct_s,job_arrival_start_epoch_s,job_completion_end_epoch_s,job_priorities,job_p99_s,job_completion_lag_s,job_slo_violation_ratio,job_slo_goodput_per_s,job_slo_token_goodput_per_s,job_predicted_work,job_actual_work,job_expected_count,job_completed_count,job_exactly_once,job_actual_prompt_work,job_actual_output_work,job_arrived_rows,job_completed_rows,job_failed_rows,job_normalized_service_rate,replay_configured_start_epoch_s,replay_observed_start_epoch_s,replay_actual_submit_start_epoch_s,endpoint_counts,actor_worker_failures,shared_credit_final,release_event_trace_schema_version,release_event_trace_path,release_event_trace_count,incidents
2,saor_bounded_priority_development_gate,active_set_static_partition,warmup,1,0,static_partition,project_frozen_static_reference,single_head,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,unavailable,,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,,saor_bounded_priority_rehearsal_15201946_regression_20260814-2e5c6f7e0f4c,rehearsal,1786671428.8482473,1786671520.1211472,ok,636378,234006,1024,5413857742454784.0,6.680029956623912,3.2682450182619505e-05,6.609134188060125,0.20941443414631067,6.399719753913814,0.1308153330253403,ok,ok,0.2262686567164179,0.7754385964912278,0.9550877192982455,0.018438523204713383,0.0562640449438201,0.22264441747572775,9536.06164893237,91.27289986610413,ok,98.29303278688525,100.0,100.0,73.98770491803279,168.0,173.0,0.0,0.0,0.0,0.27137956786914536,0.3961589995533721,0.4217656691975584,6.0500122950819675,12.889000000000001,25.815,48.911475409836065,100.0,100.0,6.592213114754099,6.7,6.7,963752.3039510758,964441.4609375,965825.78515625,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.359485226100125,0.9120873425725472,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147964.0,692724.0,544760.0,1.2959861446814989,723,136244.0,2.0,unavailable:requires_complete_registered_ready_ledger,0,0.0,0.0,[],0.0,[],0.0,0.0,unavailable:not_a_shared_policy,0.0,0.0,0.0,0.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,False,not_applicable:no_credit_trace,False,0,1,36.3579421043396,True,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.206968784332275,0.25,0,True,active_set_post_drain_not_observed,False,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,not_applicable,False,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"[89.56491088867188, 36.3579421043396]","[1786671428.8482473, 1786671433.8482473]","[1786671518.4131582, 1786671470.2061894]","[0, 0]","[82.69606804847717, 29.212376832962036]","[82.89621090888977, 29.6704421043396]","[0.673828125, 0.0]","[1.8645694875706293, 14.082205162510803]","[2488.240068446125, 4069.6472747377898]","[650904, 114816]","[692724, 147964]","[512, 512]","[512, 512]","[true, true]","[568041, 38641]","[124683, 109323]","[512, 512]","[512, 512]","[0, 0]","[7734.323555136986, 4069.6472747377898]","[1786671428.8482473, 1786671433.8482473]","[1786671428.8483698, 1786671433.8483682]","[1786671428.9370456, 1786671433.943424]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,[],2,traces/000_warmup_1_active_set_static_partition.release_events.csv,0,0
2,saor_bounded_priority_development_gate,active_set_saor_release,warmup,1,1,saor_release,project_policy,single_head,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,actuated_saor_release,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_bounded_priority_development_gate-saor_bounded_priority_rehearsal_15201946_regression_20260814-2e5c6f7e0f4c-001_warmup_1_active_set_saor_release,saor_bounded_priority_rehearsal_15201946_regression_20260814-2e5c6f7e0f4c,rehearsal,1786671541.935474,1786671612.557329,ok,636378,233484,1024,5410248671944704.0,8.054014215711504,0.01868741675025376,7.931347479707256,0.38199449414787523,7.549352985559381,0.13068962157711297,ok,ok,0.24035369774919613,2.1341040462427743,2.4892485549132948,0.018556641832798378,0.08047199170124482,0.2894129486749411,12317.17858086868,70.62185502052307,ok,97.12041884816755,100.0,100.0,113.61780104712042,208.0,219.0,0.6963350785340314,7.0,20.0,0.42590613641872965,0.5323805270209916,0.5526276611582552,8.117314136125653,13.896,17.965999999999998,99.72931937172774,100.0,100.0,6.681151832460732,6.7,6.7,962766.5895983311,963981.36328125,965539.6875,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.4642951658667873,0.7547974930713295,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147547.0,692619.0,545072.0,1.2975340587455335,897,389121.0,2.0,unavailable:requires_complete_registered_ready_ledger,0,0.0,0.0,[],0.0,[],0.0,0.0,ok:sampled_endpoint_credit,0.2127659574468085,0.3500949291472739,11903.370212765958,32567.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,53.53220462799072,True,1,0,13,146,True,115,0.32735443115234375,0.47725677490234375,0.32735443115234375,0.74609375,27,0.9501800537109375,0.9501800537109375,0.8746871948242188,0.8746871948242188,0.8746871948242188,0.0,0,10.30046272277832,0.25,27,True,ok:observed_work_conserving_drain,True,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,not_applicable,False,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"[68.83266735076904, 53.53220462799072]","[1786671541.935474, 1786671546.935474]","[1786671610.7681413, 1786671600.4676785]","[0, 0]","[62.43160629272461, 46.87651348114014]","[62.16396737098694, 46.84470462799072]","[0.484375, 0.75]","[3.835388198087175, 2.39108403790775]","[5139.449241408012, 596.7996315865374]","[650894, 114182]","[692619, 147547]","[512, 512]","[512, 512]","[true, true]","[568041, 38641]","[124578, 108906]","[512, 512]","[512, 512]","[0, 0]","[10062.358857465686, 2756.228722977928]","[1786671541.935474, 1786671546.935474]","[1786671541.9355748, 1786671546.9355562]","[1786671542.032151, 1786671547.038472]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[[\""3637\"", 94478.0], [\""3638\"", 6884.0]]"", ""granted_requests_by_job"": ""[[\""3637\"", 256], [\""3638\"", 256]]"", ""granted_work_by_job"": ""[[\""3637\"", 84857], [\""3638\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 125, ""max_active_work_seen"": 65536, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[[\""3637\"", 52076.0], [\""3638\"", 17728.5]]"", ""granted_requests_by_job"": ""[[\""3637\"", 256], [\""3638\"", 256]]"", ""granted_work_by_job"": ""[[\""3637\"", 84856], [\""3638\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 110, ""max_active_work_seen"": 65535, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/001_warmup_1_active_set_saor_release.release_events.csv,0,0
2,saor_bounded_priority_development_gate,active_set_saor_bounded_priority_0125k,warmup,1,2,saor_bounded_priority,project_policy,single_head,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,actuated_saor_release,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_bounded_priority_development_gate-saor_bounded_priority_rehearsal_15201946_regression_20260814-2e5c6f7e0f4c-002_warmup_1_active_set_saor_bounded_priority_0125k,saor_bounded_priority_rehearsal_15201946_regression_20260814-2e5c6f7e0f4c,rehearsal,1786671631.5442667,1786671701.9475236,ok,636378,233696,1024,5414610875441152.0,8.016338194720447,0.015743377318358398,7.896592479433821,0.38458724628617347,7.512005233147647,0.13001077975668549,ok,ok,0.24362934362934363,2.131976744186046,2.4891860465116276,0.018553572566454096,0.0711924242424242,0.28836300174520063,12358.433947457861,70.40325689315796,ok,96.87894736842105,100.0,100.0,112.88421052631578,211.0,227.0,0.6789473684210526,7.0,16.0,0.42537160229739157,0.5292541313086199,0.552181033199345,7.79758947368421,14.386,25.721,97.05631578947369,100.0,100.0,6.684210526315789,6.7,6.7,962750.1867598684,964094.26953125,965630.19140625,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.46611229274978744,0.7453037419327051,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147848.0,692530.0,544682.0,1.2962785794011742,919,413526.0,2.0,unavailable:requires_complete_registered_ready_ledger,0,0.0,0.0,[],0.0,[],0.0,0.0,ok:sampled_endpoint_credit,0.21367521367521367,0.3521221845577925,11758.92094017094,32417.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,55.88119673728943,True,1,0,14,150,True,110,0.33977508544921875,0.49451446533203125,0.33977508544921875,0.765625,21,0.9501800537109375,0.9501800537109375,0.8873062133789062,0.8873062133789062,0.8873062133789062,0.0,0,7.74040675163269,0.25,21,True,ok:observed_work_conserving_drain,True,ok:lossless_ledger,True,1024,512,1,511,0,0,0,0.0,0.0,0,0,1,0,0,not_applicable,False,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"[68.62160348892212, 55.88119673728943]","[1786671631.5442667, 1786671636.5442667]","[1786671700.1658702, 1786671692.4254634]","[0, 1]","[62.188024044036865, 49.22364926338196]","[61.952903509140015, 49.19369673728943]","[0.47265625, 0.8046875]","[3.934620968797199, 1.7895107091232025]","[5267.175082237027, 461.6579727396038]","[650628, 114802]","[692530, 147848]","[512, 512]","[512, 512]","[true, true]","[568041, 38641]","[124489, 109207]","[512, 512]","[512, 512]","[0, 0]","[10092.01133155972, 2645.7557932244727]","[1786671631.5442667, 1786671636.5442667]","[1786671631.5443692, 1786671636.5443654]","[1786671631.652053, 1786671636.6409724]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[[\""3639\"", 102627.0], [\""3640\"", 6225.5]]"", ""granted_requests_by_job"": ""[[\""3639\"", 256], [\""3640\"", 256]]"", ""granted_work_by_job"": ""[[\""3639\"", 84857], [\""3640\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65534, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[[\""3639\"", 59500.0], [\""3640\"", 12362.0]]"", ""granted_requests_by_job"": ""[[\""3639\"", 256], [\""3640\"", 256]]"", ""granted_work_by_job"": ""[[\""3639\"", 84856], [\""3640\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 112, ""max_active_work_seen"": 65524, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/002_warmup_1_active_set_saor_bounded_priority_0125k.release_events.csv,1024,0
