schema_version,runtime_state_mode,observed_epoch_s,elapsed_s,endpoint_id,calibration_signature,request_limit,active_requests,organizer_queued_work,organizer_oldest_queue_age_s,model_active_work,model_queued_work_estimated,model_capacity_work,service_rate_tokens_s,vllm_running,vllm_waiting,vllm_kv_usage,control_policy,control_action,control_reason,control_arm_name,control_action_scores,control_observation_status,control_observed_goodput,control_observed_tail_risk,control_observed_energy,control_previous_request_limit,control_previous_work_limit,control_recommended_request_limit,control_applied_request_limit,control_applied_work_limit
1,actuated_saor_capacity,1786437686.6054454,5.54768967628479,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437686.6054454,5.54768967628479,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437686.9918046,5.934048891067505,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437686.9918046,5.934048891067505,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437687.3497121,6.291956424713135,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437687.3497121,6.291956424713135,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437687.7374027,6.679646968841553,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437687.7374027,6.679646968841553,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437688.115756,7.058000326156616,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437688.115756,7.058000326156616,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437688.4625583,7.404802560806274,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437688.4625583,7.404802560806274,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437688.8133142,7.755558490753174,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437688.8133142,7.755558490753174,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437689.1898007,8.132045030593872,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437689.1898007,8.132045030593872,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437689.5518024,8.494046688079834,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437689.5518024,8.494046688079834,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437689.889007,8.831251382827759,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437689.889007,8.831251382827759,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437690.2080925,9.150336742401123,endpoint-0,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
1,actuated_saor_capacity,1786437690.2080925,9.150336742401123,endpoint-1,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,128,0,0,0.0,0,0,131072,,0.0,0.0,0.0,saor_capacity,fallback,invalid_observation,lower,{},invalid:ValueError:runtime observation field service_rate_tokens_s is missing or invalid,,,,128,131072,128,128,131072
