system,scenario,policy,formal_repeats,group_jct_s_mean,group_jct_s_cv,group_tokens_per_s_mean,group_tokens_per_s_cv,jain_fairness_mean,jain_fairness_cv,gpu_util_pct_mean_mean,gpu_util_pct_mean_cv,mfu_fraction_mean,mfu_fraction_cv,running_mean_mean,running_mean_cv,waiting_mean_mean,waiting_mean_cv,kv_fraction_mean_mean,kv_fraction_mean_cv
daft_native,fourjob,native_independent_jobs,3,115.8975739479065,0.007218959532433069,10103.779649250824,0.007195161426548171,,,93.32848382665168,0.0006343179180863128,0.6057014109613791,0.004614622758549843,264.2129629855085,0.006263742988636949,613.7276269407,0.018403065536709052,0.8199455082099719,0.005973311520919882
daft_native,single_full,single_full,12,31.11342094341914,0.35347795092199863,8365.177559576856,0.3878932758136962,,,74.43306921802663,0.1701945020714679,0.513146746282033,0.16159979407911032,187.4782494164783,0.12822120914609833,99.49975882124224,0.6033441711804005,0.5285306323417543,0.3523083424512734
daft_ray,fourjob,native_independent_jobs,3,125.22404623031616,0.005532643229299685,9351.133926615668,0.005516692293669203,,,85.31414013595959,0.014020113651576654,0.5592696380319812,0.01596795913141212,241.09248221327098,0.009499301288804284,562.7288224105068,0.012009784534539863,0.7493706363274728,0.012511145646910622
daft_ray,single_full,single_full,12,41.28622098763784,0.24123401080799264,6440.46970878534,0.4570455144773756,,,57.265736211590664,0.22911970994803263,0.3946308139940001,0.21865542234750548,140.45235346084255,0.017346804850261216,79.78473799602868,0.5704716167957097,0.41007248123382634,0.41321635007661284
project,single_long1_full_pool,single_full,3,40.452162663141884,0.003553226384307328,12730.821202953657,0.003484023034338003,1.0,0.0,96.24147727272727,0.006763212183966981,0.47526938094373256,0.0046219809887706,104.99853896103896,0.0071233680663284745,2.8929112554112555,0.06166829932350785,0.41640359603177823,0.0044389738301844565
project,single_long1_quarter_pool,single_quarter,3,98.61979913711548,0.004120173806574556,5220.8825088923795,0.004052139891842713,1.0,0.0,98.22503249582961,0.004196543547063346,0.1954328571862269,0.004092199601930763,25.414734262275072,0.004062784486019696,0.0,0.0,0.11134948725025404,0.0037570524909568683
project,single_long2_full_pool,single_full,3,41.630417823791504,0.004165231904615694,12268.423006855694,0.0036972964259264773,1.0,0.0,95.1143789415156,0.006129596428996683,0.4583612636108941,0.003618215893516078,98.31659618883182,0.005920870959017781,4.4900301908510505,0.05290804845942568,0.4001485649884205,0.003765166239680059
project,single_long2_quarter_pool,single_quarter,3,96.09640781084697,0.003839339533991802,5316.045391651161,0.003723991164452743,1.0,0.0,97.45322701540525,0.0022929286068855215,0.19810751375664262,0.0038801577893296498,25.181105390851528,0.0012066633478554716,0.0025445292620865138,1.7320508075688776,0.1118224236413269,0.0016076622567472464
project,single_long3_full_pool,single_full,3,41.667946577072144,0.0014515003261067006,12279.739209004636,0.0017190536938378892,1.0,0.0,96.24043885525022,0.004592644663235224,0.4541303591046361,0.0017560829527648336,96.39560439043439,0.0036008564049698436,3.460607942489638,0.03813304833995813,0.3911890975768759,0.00888426047035536
project,single_long3_quarter_pool,single_quarter,3,95.3213730653127,0.0032317126851923584,5371.231892619817,0.0032024082682436924,1.0,0.0,98.21203610385595,0.0007187978043506291,0.19835255438965013,0.0014482409448413585,25.48226016194766,0.006304501878890785,0.0,0.0,0.1107811221198689,0.00423827616473955
project,single_short_full_pool,single_full,3,14.595763762791952,0.015257865888549674,11149.382888672862,0.014359220199293785,1.0,0.0,90.98632478632479,0.017971121326810252,0.432730387768846,0.012813896481729823,183.96730769230768,0.01647251605137056,0.0,0.0,0.18846077499494204,0.024104111206680896
project,single_short_quarter_pool,single_quarter,3,38.33963004748026,0.011463651401052004,4238.932168154316,0.010349489806652961,1.0,0.0,95.6173294562466,0.005801497554360213,0.16505170335929367,0.012199884757331575,53.533589669646574,0.008674104691087604,0.0,0.0,0.05812404689304012,0.008861452010361566
project,staggered_fourjob_shared_work,shared_work,3,131.9051489830017,0.014194581807852193,12892.380365806706,0.01410802418999658,0.9229162480252963,0.0065145441236483855,98.59205837694644,0.002211750515143415,0.4675544349682679,0.01171996334383781,120.7628224946695,0.0012897210935802759,0.39011807843897395,0.21438269416943792,0.4289438316380065,0.0165904775481512
project,staggered_fourjob_static_partition,static_partition,3,143.33125360806784,0.003231281430147446,11863.052656406617,0.0031511534022144014,0.9598890298696613,0.0007386296054627447,98.58759975317852,0.002747274745785339,0.38197241919344166,0.00690846695536455,95.9899912967798,0.00461127523678243,0.40684561224160876,0.26642924805412643,0.30867276567695323,0.005092934178286443
ray_data_http,fourjob,native_independent_jobs,3,377.72840150197345,0.06266131564432878,4513.226797843408,0.062293635943336166,,,89.62948374222071,0.04366347400744526,0.16163622073523734,0.06229419820516193,25.762626208998654,0.01895268529443973,0.0,0.0,0.08892878372313812,0.015256100673284891
ray_data_http,single_full,single_full,12,158.18463365236917,0.07384706893338447,2627.908693576138,0.33425757651066046,,,88.51452442193398,0.012115071673238992,0.09677209808033416,0.32221758269527256,13.011151412649276,0.022026813232921296,0.0,0.0,0.044121426681608525,0.42813178229450616
