system,comparison,target_scenario,job_count,normalized_progress_basis,jain_normalized_progress,min_normalized_progress,max_normalized_progress,normalized_progress_disparity,max_min_ratio,worst_job,best_job,normalized_progress_by_job
daft_native,native_fourjob,fourjob,4,isolated_jct_over_concurrent_jct,0.9308731686030558,0.3334361204464401,0.6001751429218695,0.26673902247542935,1.7999703874861863,long2,short,"{""long1"":0.33978220386725466,""long2"":0.3334361204464401,""long3"":0.3594748111887656,""short"":0.6001751429218695}"
daft_ray,native_fourjob,fourjob,4,isolated_jct_over_concurrent_jct,0.9021545233363637,0.387433966503481,0.7969515925036034,0.40951762600012237,2.056999802304228,long3,short,"{""long1"":0.4172509979527621,""long2"":0.43163369563337184,""long3"":0.387433966503481,""short"":0.7969515925036034}"
project,matched_competition_static,staggered_fourjob_static_partition,4,isolated_jct_over_concurrent_jct,0.9975072970517496,0.6234293882969938,0.7113388662661935,0.08790947796919968,1.1410095186711358,short,long1,"{""long1"":0.7113388662661935,""long2"":0.6967495043841365,""long3"":0.6935110673594671,""short"":0.6234293882969938}"
project,shared_fourjob,staggered_fourjob_shared_work,4,isolated_jct_over_concurrent_jct,0.8761368649059896,0.3112647063279638,0.8006695327001219,0.48940482637215804,2.5723106938327183,long1,short,"{""long1"":0.3112647063279638,""long2"":0.3674880251280883,""long3"":0.6258179211610234,""short"":0.8006695327001219}"
project,static_fourjob,staggered_fourjob_static_partition,4,isolated_jct_over_concurrent_jct,0.9879862308638045,0.22235237474124575,0.2962600214333304,0.07390764669208466,1.332389733989088,short,long3,"{""long1"":0.2854929230355263,""long2"":0.29310547663225167,""long3"":0.2962600214333304,""short"":0.22235237474124575}"
ray_data_http,native_fourjob,fourjob,4,isolated_jct_over_concurrent_jct,0.9844827958783325,0.44883160783574616,0.5967720476277433,0.1479404397919971,1.3296123472795554,long2,short,"{""long1"":0.4571611933025546,""long2"":0.44883160783574616,""long3"":0.45860357662402446,""short"":0.5967720476277433}"
