system,scenario,policy,repeat,run_stem,job_count,group_jct_s,group_tokens_per_s,jain_fairness,gpu_util_pct_mean,mfu_fraction,running_mean,waiting_mean,kv_fraction_mean,normalized_service_disparity,exactly_once
project,single_long2_full_pool,single_full,1,010_formal_1_single_long2_full_pool,1,41.50981831550598,12299.090208479436,1.0,95.71052631578948,0.4594790211545045,98.79824561403508,4.219298245614035,0.4015472655137919,0.0,True
project,staggered_fourjob_shared_work,shared_work,1,011_formal_1_staggered_fourjob_shared_work,4,133.72270894050598,12717.144406314668,0.9296997000403296,98.7215909090909,0.4721490928666521,120.90625,0.4715909090909091,0.431492938541286,0.8585973863911249,True
project,single_short_quarter_pool,single_quarter,1,012_formal_1_single_short_quarter_pool,1,38.273093938827515,4239.375062265232,1.0,95.745,0.16525137137907142,53.6,0.0,0.05798868542504094,0.0,True
project,staggered_fourjob_static_partition,static_partition,1,013_formal_1_staggered_fourjob_static_partition,4,143.85462832450867,11820.836213653385,0.959570198897874,98.27513227513228,0.37942396475781415,95.9021164021164,0.31746031746031744,0.3076207175507458,0.8590022485055664,True
project,single_long1_quarter_pool,single_quarter,1,014_formal_1_single_long1_quarter_pool,1,98.71859669685364,5214.1340864137865,1.0,97.86415094339623,0.1951684485296346,25.316981132075473,0.0,0.11088676717200233,0.0,True
project,single_long3_full_pool,single_full,1,015_formal_1_single_long3_full_pool,1,41.62422204017639,12294.355904263079,1.0,95.73008849557522,0.45468268830808506,96.78761061946902,3.309734513274336,0.3940312586871773,0.0,True
project,single_long3_quarter_pool,single_quarter,1,016_formal_1_single_long3_quarter_pool,1,95.62033581733704,5354.624574610275,1.0,98.2421875,0.1980719697718938,25.4609375,0.0,0.11068289880154832,0.0,True
project,single_short_full_pool,single_full,1,017_formal_1_single_short_full_pool,1,14.47615098953247,11240.142501805662,1.0,92.0,0.43484221887732555,186.87179487179486,0.0,0.1924699289594332,0.0,True
project,single_long2_quarter_pool,single_quarter,1,018_formal_1_single_long2_quarter_pool,1,95.8205246925354,5330.1837120892715,1.0,97.67557251908397,0.197521177321837,25.206106870229007,0.007633587786259542,0.11161664547172663,0.0,True
project,single_long1_full_pool,single_full,1,019_formal_1_single_long1_full_pool,1,40.34249210357666,12764.432070232617,1.0,96.81818181818181,0.4777157819350752,105.75454545454545,3.0090909090909093,0.418510698769743,0.0,True
project,single_short_quarter_pool,single_quarter,2,020_formal_2_single_short_quarter_pool,1,37.93717956542969,4282.579829631039,1.0,96.09708737864078,0.1669580427794345,53.96116504854369,0.0,0.05869327355167514,0.0,True
project,staggered_fourjob_shared_work,shared_work,2,021_formal_2_staggered_fourjob_shared_work,4,132.01027631759644,12879.739725030502,0.9182449593024912,98.71428571428571,0.4690246223855731,120.59714285714286,0.3942857142857143,0.4344345902720177,0.8584808265879115,True
project,staggered_fourjob_static_partition,static_partition,2,022_formal_2_staggered_fourjob_static_partition,4,143.16475653648376,11876.365672208616,0.9593954181046961,98.73237597911228,0.3846932050108968,96.46997389033943,0.5274151436031331,0.3104798976603925,0.8589949935553071,True
project,single_long1_full_pool,single_full,2,023_formal_2_single_long1_full_pool,1,40.61488318443298,12680.548597451052,1.0,95.53571428571429,0.4746265003726297,104.25892857142857,2.6875,0.4150556158148833,0.0,True
project,single_long2_full_pool,single_full,2,024_formal_2_single_long2_full_pool,1,41.5522997379303,12289.861288564058,1.0,94.54545454545455,0.45914901767231625,98.48181818181818,4.663636363636364,0.40034512160461244,0.0,True
project,single_short_full_pool,single_full,2,025_formal_2_single_short_full_pool,1,14.852712154388428,10964.529461501948,1.0,89.1,0.4264398055613399,180.825,0.0,0.18352687211552776,0.0,True
project,single_long3_quarter_pool,single_quarter,2,026_formal_2_single_long3_quarter_pool,1,95.00497388839722,5388.970482760451,1.0,98.26254826254826,0.19833963498907492,25.652509652509654,0.0,0.11129198489627252,0.0,True
project,single_long2_quarter_pool,single_quarter,2,027_formal_2_single_long2_quarter_pool,1,95.95321226119995,5324.532529554429,1.0,97.45542635658914,0.19897777734278657,25.189922480620154,0.0,0.11194897131309774,0.0,True
project,single_long3_full_pool,single_full,2,028_formal_2_single_long3_full_pool,1,41.736968994140625,12255.537772084259,1.0,96.49122807017544,0.4532160796491646,96.2719298245614,3.517543859649123,0.39222162149455814,0.0,True
project,single_long1_quarter_pool,single_quarter,2,029_formal_2_single_long1_quarter_pool,1,98.173180103302,5244.589198987172,1.0,98.67424242424242,0.1963313294348485,25.522727272727273,0.0,0.11170097581441932,0.0,True
project,single_long3_quarter_pool,single_quarter,3,030_formal_3_single_long3_quarter_pool,1,95.33880949020386,5370.100620488724,1.0,98.1313725490196,0.1986460584079817,25.333333333333332,0.0,0.11036848266178588,0.0,True
project,single_long2_quarter_pool,single_quarter,3,031_formal_3_single_long2_quarter_pool,1,96.51548647880554,5293.419933309782,1.0,97.22868217054264,0.19782358660530433,25.147286821705425,0.0,0.11190165413915634,0.0,True
project,single_long1_quarter_pool,single_quarter,3,032_formal_3_single_long1_quarter_pool,1,98.9676206111908,5203.924241276181,1.0,98.1367041198502,0.19479879359419766,25.40449438202247,0.0,0.11146071876434047,0.0,True
project,single_short_full_pool,single_full,3,033_formal_3_single_short_full_pool,1,14.458428144454956,11243.476702710977,1.0,91.85897435897436,0.4369091388678724,184.2051282051282,0.0,0.18938552390986513,0.0,True
project,single_long1_full_pool,single_full,3,034_formal_3_single_long1_full_pool,1,40.399112701416016,12747.482941177304,1.0,96.37053571428571,0.4734658605234928,104.98214285714286,2.982142857142857,0.41564447351070843,0.0,True
project,single_long3_full_pool,single_full,3,035_formal_3_single_long3_full_pool,1,41.642648696899414,12289.32395066657,1.0,96.5,0.4544923093566587,96.12727272727273,3.5545454545454547,0.38731441254889226,0.0,True
project,staggered_fourjob_shared_work,shared_work,3,036_formal_3_staggered_fourjob_shared_work,4,129.9824616909027,13080.256966074947,0.920804084733068,98.34029850746269,0.4614895896525784,120.78507462686566,0.3044776119402985,0.42090396610071573,0.8580215161761372,True
project,single_short_quarter_pool,single_quarter,3,037_formal_3_single_short_quarter_pool,1,38.808616638183594,4194.841612566676,1.0,95.00990099009901,0.16294569591937513,53.039603960396036,0.0,0.057690181702404274,0.0,True
project,staggered_fourjob_static_partition,static_partition,3,038_formal_3_staggered_fourjob_static_partition,4,142.97437596321106,11891.956083357849,0.9607014726064139,98.755291005291,0.38180008781161406,95.5978835978836,0.37566137566137564,0.3079176818197214,0.8592311438014252,True
project,single_long2_full_pool,single_full,3,039_formal_3_single_long2_full_pool,1,41.82913541793823,12216.317523523589,1.0,95.08715596330275,0.4564557520058615,97.6697247706422,4.587155963302752,0.39855330784685716,0.0,True
daft_native,fourjob,native_independent_jobs,1,016_formal_01_daft_native_fourjob,4,115.2458803653717,10160.562757537344,,93.26333333333334,0.6058076485883552,266.0316742081448,622.7556561085972,0.814316952259311,unavailable:native_adapter_boundary,True
daft_ray,fourjob,native_independent_jobs,1,017_formal_01_daft_ray_fourjob,4,126.01557493209839,9292.208527643952,,86.40548780487805,0.5649531284816239,243.71900826446281,570.3760330578513,0.7566920371033409,unavailable:native_adapter_boundary,True
