system,scenario,policy,repeat,run_stem,job_count,group_jct_s,group_tokens_per_s,jain_fairness,gpu_util_pct_mean,mfu_fraction,running_mean,waiting_mean,kv_fraction_mean,normalized_service_disparity,exactly_once
ray_data_http,single_full,single_full,1,018_formal_01_ray_data_http_single_long3,1,163.16669845581055,3136.111748553784,,88.21549636803874,0.11073787158665162,13.140127388535031,0.0,0.05479442312451817,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,1,019_formal_01_daft_ray_single_long2,1,47.13329601287842,8007.9907820762155,,63.934108527131784,0.434006099244777,137.22340425531914,101.88297872340425,0.49722362123415026,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,1,020_formal_01_daft_ray_single_long3,1,46.68075919151306,8085.579723575314,,63.671875,0.4399642184243364,138.13978494623655,106.0752688172043,0.4975499494942219,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,1,021_formal_01_daft_ray_single_short,1,24.32289981842041,1588.6674816107286,,36.371428571428574,0.25620313563708674,145.44,5.82,0.13082626172398393,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,1,022_formal_01_daft_ray_single_long1,1,47.4339439868927,7957.128762143339,,65.01162790697674,0.4443100232871711,141.7340425531915,104.59574468085107,0.5097711744414775,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,1,023_formal_01_daft_native_single_long3,1,37.29523015022278,10120.355833163974,,80.14356435643565,0.5482259546564973,170.94666666666666,128.70666666666668,0.6181966155525781,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,1,024_formal_01_ray_data_http_single_long2,1,164.71886491775513,3101.703015347387,,88.5702380952381,0.11368958086693329,12.990536277602523,0.0,0.05384614300829996,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,1,025_formal_01_ray_data_http_single_short,1,137.20206022262573,1186.891798386754,,87.8314447592068,0.04575762406822799,12.8,0.0,0.013007828629694861,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,1,026_formal_01_daft_native_single_short,1,12.825397729873657,3012.8500350515565,,52.5,0.3781417449289263,229.35714285714286,0.0,0.22534507326825326,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,1,027_formal_01_ray_data_http_single_long1,1,165.4893615245819,3110.9310910207805,,89.29691211401425,0.11581571434411714,13.304075235109718,0.0,0.055174653933336225,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,1,028_formal_01_daft_native_single_long2,1,36.153289556503296,10440.07349345352,,83.15656565656565,0.5678518453720222,176.013698630137,131.17808219178082,0.6389706347215509,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,1,029_formal_01_daft_native_single_long1,1,37.916343688964844,9954.49358451325,,81.6875,0.5567484986475718,175.6315789473684,135.8815789473684,0.6348013289140673,unavailable:native_adapter_boundary,True
ray_data_http,fourjob,native_independent_jobs,1,030_formal_01_ray_data_http_fourjob,4,402.6387572288513,4222.144464433057,,85.12807881773398,0.15138277100468325,25.24967490247074,0.0,0.08783315357864765,unavailable:native_adapter_boundary,True
daft_ray,fourjob,native_independent_jobs,2,031_formal_02_daft_ray_fourjob,4,124.92883658409119,9373.040140430749,,84.03538461538461,0.5489763559086572,240.04583333333332,557.5583333333333,0.7388035953550692,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,2,032_formal_02_ray_data_http_single_long3,1,163.41241431236267,3131.6653765471247,,89.47494033412889,0.11361925671949848,13.114285714285714,0.0,0.05458100862299165,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,2,033_formal_02_daft_ray_single_long2,1,46.56209063529968,8106.229657004547,,64.96062992125984,0.44348952833288263,139.4731182795699,106.66666666666667,0.5075966773441164,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,2,034_formal_02_daft_ray_single_long3,1,46.374064207077026,8139.053724396226,,65.46850393700788,0.4486730557643111,141.1195652173913,108.6413043478261,0.510600132046527,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,2,035_formal_02_daft_ray_single_short,1,24.67857313156128,1565.7712378266415,,35.528169014084504,0.25280909295219184,143.58823529411765,5.117647058823529,0.12935425770725142,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,2,036_formal_02_daft_ray_single_long1,1,46.60043740272522,8099.451872911545,,65.12992125984252,0.4464165189749472,141.06451612903226,103.81720430107526,0.5102052087385401,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,2,037_formal_02_daft_native_single_long3,1,37.67800498008728,10017.542069955045,,80.71634615384616,0.5583523996785573,172.72368421052633,131.6315789473684,0.61700477186714,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,2,038_formal_02_ray_data_http_single_long2,1,165.9420189857483,3077.9244649534226,,88.88235294117646,0.11270281221566134,12.918495297805643,0.0,0.05356525318484937,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,2,039_formal_02_ray_data_http_single_short,1,141.04296731948853,1154.158928259496,,86.1344537815126,0.044502482358846726,12.408088235294118,0.0,0.01257591580625104,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,2,040_formal_02_daft_native_single_short,1,13.190943241119385,2929.3583706392265,,52.8375,0.36866490557154663,222.93103448275863,0.0,0.21157844481064514,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,2,041_formal_02_ray_data_http_single_long1,1,165.28894209861755,3116.052371444803,,89.2566265060241,0.11605510286468274,13.330188679245284,0.0,0.05523533173595954,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,2,042_formal_02_daft_native_single_long2,1,36.15217924118042,10440.394131761224,,82.5,0.5674891396247027,175.7123287671233,135.16438356164383,0.6441027774548732,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,2,043_formal_02_daft_native_single_long1,1,38.51828408241272,9798.930793293997,,80.25,0.5526745164746845,174.19480519480518,131.46753246753246,0.6286201516214915,unavailable:native_adapter_boundary,True
ray_data_http,fourjob,native_independent_jobs,2,044_formal_02_ray_data_http_fourjob,4,375.01104855537415,4534.2850738674115,,92.22481442205726,0.1620158609446421,26.221757322175733,0.0,0.09044631442649835,unavailable:native_adapter_boundary,True
daft_native,fourjob,native_independent_jobs,2,045_formal_02_daft_native_fourjob,4,115.6057870388031,10128.930652986828,,93.34313725490196,0.6028547232770983,263.8116591928251,601.0627802690583,0.8232371380828111,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,3,046_formal_03_ray_data_http_single_long3,1,164.1376006603241,3116.7081640158167,,88.71807228915662,0.11186776765981897,13.073015873015873,0.0,0.054318467002701036,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,3,047_formal_03_daft_ray_single_long2,1,46.68519854545593,8084.853695813148,,63.25390625,0.43602235995547983,137.78494623655914,99.54838709677419,0.49817026610381937,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,3,048_formal_03_daft_ray_single_long3,1,46.946624755859375,8039.789909558766,,64.46456692913387,0.43992769130276393,138.61290322580646,106.35483870967742,0.4964285771457752,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,3,049_formal_03_daft_ray_single_short,1,25.34009575843811,1524.8955792573422,,34.72222222222222,0.2462833609846321,141.26923076923077,2.326923076923077,0.12746074827361115,unavailable:native_adapter_boundary,True
daft_ray,single_full,single_full,3,050_formal_03_daft_ray_single_long1,1,46.67666840553284,8086.224079250272,,64.671875,0.4474646830674209,139.9784946236559,106.56989247311827,0.5056829005524419,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,3,051_formal_03_daft_native_single_long3,1,37.45285725593567,10077.762490074952,,80.03846153846155,0.5512798375550432,170.02631578947367,131.71052631578948,0.6168059440696426,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,3,052_formal_03_ray_data_http_single_long2,1,163.76557517051697,3119.5933545133425,,89.41448931116389,0.11533526018028473,13.098101265822784,0.0,0.054357637809223903,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,3,053_formal_03_ray_data_http_single_short,1,138.50442910194397,1173.4353988086211,,86.9361111111111,0.04515650423967,12.619402985074627,0.0,0.012840276064963256,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,3,054_formal_03_daft_native_single_short,1,12.719279050827026,3037.986653613634,,55.205128205128204,0.38145405459186377,228.60714285714286,0.0,0.2241700163763585,unavailable:native_adapter_boundary,True
ray_data_http,single_full,single_full,3,055_formal_03_ray_data_http_single_long1,1,165.54467105865479,3109.728611062325,,89.4431554524362,0.11602519985961689,13.3375,0.0,0.05516018125651332,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,3,056_formal_03_daft_native_single_long2,1,36.708550453186035,10282.154847856182,,81.98039215686273,0.5629136448699622,172.1216216216216,134.3108108108108,0.6275163059441755,unavailable:native_adapter_boundary,True
daft_native,single_full,single_full,3,057_formal_03_daft_native_single_long1,1,36.75069189071655,10270.228411545719,,82.18137254901961,0.5639644134130187,181.47297297297297,133.94594594594594,0.6552555235002756,unavailable:native_adapter_boundary,True
ray_data_http,fourjob,native_independent_jobs,3,058_formal_03_ray_data_http_fourjob,4,355.53539872169495,4783.250855229757,,91.5355579868709,0.17151003025638667,25.816446402349484,0.0,0.08850688316426836,unavailable:native_adapter_boundary,True
daft_native,fourjob,native_independent_jobs,3,059_formal_03_daft_native_fourjob,4,116.84105443954468,10021.845537228302,,93.37898089171975,0.6084418610186838,262.79555555555555,617.3644444444444,0.8222824342877938,unavailable:native_adapter_boundary,True
daft_ray,fourjob,native_independent_jobs,3,060_formal_03_daft_ray_fourjob,4,124.72772717475891,9388.153111772306,,85.5015479876161,0.5638794297056622,239.51260504201682,560.2521008403361,0.7526162765240084,unavailable:native_adapter_boundary,True
