system,scenario,repeat,long_jct_min_s,long_jct_max_s,long_jct_range_s,long_jct_cv,long_slowdown_min,long_slowdown_max,long_slowdown_range,long_slowdown_cv,slowest_long_job,completion_order
daft_native,fourjob,1,91.72084164619446,110.11619234085083,18.395350694656372,0.09760825436302717,2.7818360810679583,2.9990752011542496,0.21723912008629132,0.03878484233592124,long1,"[""long3"", ""long2"", ""long1""]"
daft_native,fourjob,2,107.96972846984863,110.4510989189148,2.481370449066162,0.01277742313663105,2.7818360810679583,2.9990752011542496,0.21723912008629132,0.03878484233592124,long1,"[""long2"", ""long3"", ""long1""]"
daft_native,fourjob,3,109.95361065864563,111.72474694252014,1.7711362838745117,0.008740446456718929,2.7818360810679583,2.9990752011542496,0.21723912008629132,0.03878484233592124,long3,"[""long2"", ""long1"", ""long3""]"
daft_ray,fourjob,1,97.10343170166016,120.87580370903015,23.772372007369995,0.11922224887345914,2.316779273992076,2.5810850014644116,0.2643057274723355,0.055750645216656416,long3,"[""long2"", ""long1"", ""long3""]"
daft_ray,fourjob,2,111.97090077400208,119.79733061790466,7.826429843902588,0.03472839390982494,2.316779273992076,2.5810850014644116,0.2643057274723355,0.055750645216656416,long3,"[""long2"", ""long1"", ""long3""]"
daft_ray,fourjob,3,102.25602006912231,119.59403491020203,17.338014841079712,0.08040910463011303,2.316779273992076,2.5810850014644116,0.2643057274723355,0.055750645216656416,long3,"[""long1"", ""long2"", ""long3""]"
project,staggered_fourjob_shared_work,1,66.315678358078,127.04231023788452,60.72663187980652,0.3090262070031286,1.5979088584500591,3.212699607986878,1.6147907495368188,0.3296968688699171,long1,"[""long3"", ""long2"", ""long1""]"
project,staggered_fourjob_shared_work,2,56.68111324310303,125.41870856285095,68.73759531974792,0.3728627877491947,1.5979088584500591,3.212699607986878,1.6147907495368188,0.3296968688699171,long1,"[""long3"", ""long2"", ""long1""]"
project,staggered_fourjob_shared_work,3,69.12115550041199,122.84178590774536,53.720630407333374,0.29553186358907785,1.5979088584500591,3.212699607986878,1.6147907495368188,0.3296968688699171,long2,"[""long3"", ""long1"", ""long2""]"
project,staggered_fourjob_static_partition,1,135.30998158454895,136.52800273895264,1.2180211544036865,0.004535319092118383,3.375413243953462,3.502713795380355,0.127300551426893,0.01911857701783194,long1,"[""long3"", ""long2"", ""long1""]"
project,staggered_fourjob_static_partition,2,135.22487139701843,136.36596250534058,1.1410911083221436,0.004360297995190043,3.375413243953462,3.502713795380355,0.127300551426893,0.01911857701783194,long1,"[""long3"", ""long2"", ""long1""]"
project,staggered_fourjob_static_partition,3,135.2939648628235,136.26485919952393,0.9708943367004395,0.004069753777647469,3.375413243953462,3.502713795380355,0.127300551426893,0.01911857701783194,long1,"[""long3"", ""long2"", ""long1""]"
ray_data_http,fourjob,1,369.48656845092773,397.48885440826416,28.002285957336426,0.03654038808834139,2.180532492488228,2.22800708003158,0.04747458754335199,0.011668569054291901,long1,"[""long3"", ""long2"", ""long1""]"
ray_data_http,fourjob,2,354.6410768032074,369.8863444328308,15.245267629623413,0.021492364016060472,2.180532492488228,2.22800708003158,0.04747458754335199,0.011668569054291901,long3,"[""long1"", ""long2"", ""long3""]"
ray_data_http,fourjob,3,329.5822250843048,350.4180841445923,20.835859060287476,0.03333424573964169,2.180532492488228,2.22800708003158,0.04747458754335199,0.011668569054291901,long2,"[""long3"", ""long1"", ""long2""]"
