system,scenario,policy,repeat,run_stem,phase,start_epoch_s,end_epoch_s,duration_s,resource_samples,gpu_util_pct_mean,running_total_mean,waiting_total_mean,kv_per_endpoint_mean,gpu_power_total_w_mean,energy_j_estimate,mfu_status,short_completed_rows,short_completed_work,short_completed_work_per_s,long1_completed_rows,long1_completed_work,long1_completed_work_per_s,long2_completed_rows,long2_completed_work,long2_completed_work_per_s,long3_completed_rows,long3_completed_work,long3_completed_work_per_s,total_completed_rows,total_completed_work,total_completed_work_per_s,credit_trace_status,credit_samples,active_requests_total_mean,active_work_total_mean,waiting_requests_total_mean,waiting_work_total_mean
project,staggered_fourjob_shared_work,shared_work,1,011_formal_1_staggered_fourjob_shared_work,short_only,1786261937.354611,1786261942.354611,5.0,13,100.0,238.3846153846154,0.0,0.17674442573951282,1582.5784615384616,7912.892307692308,unavailable:no_interval_flops_counter,67,10726.0,2145.2,0,0,0.0,0,0,0.0,0,0,0.0,67,10726.0,2145.2,observed,14,229.78571428571428,76369.14285714286,0.0,0.0
project,staggered_fourjob_shared_work,shared_work,1,011_formal_1_staggered_fourjob_shared_work,four_job_overlap,1786261942.354611,1786261953.9304545,11.575843572616577,31,100.0,205.0,2.3225806451612905,0.30327239022797237,1789.9890322580645,20720.633034118684,unavailable:no_interval_flops_counter,444,136819.0,11819.354601823956,1,1257.0,108.58819852865985,2,1419.0,122.58285895956112,8,5430.0,469.08028481354256,455,144925.0,12519.605944125718,observed,30,220.23333333333332,99272.43333333333,0.8,800.7333333333333
project,staggered_fourjob_shared_work,shared_work,1,011_formal_1_staggered_fourjob_shared_work,long_only_drain,1786261953.9304545,1786262069.3969212,115.46646666526794,304,99.83552631578948,108.89802631578948,0.3092105263157895,0.4086557673773536,1744.6767763157895,201451.66283413424,unavailable:no_interval_flops_counter,1,264.0,2.286378094216081,510,497440.0,4308.090602980483,510,494746.0,4284.759153791778,504,491688.0,4258.275274200441,1525,1484138.0,12853.411409066919,observed,305,113.07213114754099,113109.36393442623,1.1049180327868853,1208.2524590163935
project,staggered_fourjob_shared_work,shared_work,2,021_formal_2_staggered_fourjob_shared_work,short_only,1786262982.6067462,1786262987.6067462,5.0,13,100.0,237.69230769230768,0.0,0.20431511320300957,1534.0553846153846,7670.276923076923,unavailable:no_interval_flops_counter,74,12507.0,2501.4,0,0,0.0,0,0,0.0,0,0,0.0,74,12507.0,2501.4,observed,13,241.30769230769232,80105.61538461539,0.0,0.0
project,staggered_fourjob_shared_work,shared_work,2,021_formal_2_staggered_fourjob_shared_work,four_job_overlap,1786262987.6067462,1786262998.6371078,11.030361652374268,29,100.0,192.9655172413793,1.9310344827586208,0.2999440431637687,1789.750344827586,19741.593570909827,unavailable:no_interval_flops_counter,437,134872.0,12227.341609508245,1,1257.0,113.9581855622506,2,1419.0,128.64492069437836,8,5202.0,471.6073836872137,448,142750.0,12941.552099452088,observed,29,204.24137931034483,97638.68965517242,0.5862068965517241,540.1379310344828
project,staggered_fourjob_shared_work,shared_work,2,021_formal_2_staggered_fourjob_shared_work,long_only_drain,1786262998.6371078,1786263113.0254548,114.38834691047668,304,99.83552631578948,110.27302631578948,0.26973684210526316,0.41388870932355454,1747.1973684210527,199859.0187000193,unavailable:no_interval_flops_counter,1,403.0,3.5230861436908283,510,497298.0,4347.453332717522,510,494562.0,4323.534812397081,504,491956.0,4300.752771477829,1525,1484219.0,12975.264002736123,observed,304,113.88157894736842,113874.28947368421,0.8322368421052632,881.6447368421053
project,staggered_fourjob_shared_work,shared_work,3,036_formal_3_staggered_fourjob_shared_work,short_only,1786264528.2708516,1786264533.2708516,5.0,12,99.5,223.16666666666666,0.0,0.1629757828395613,1520.2216666666666,7601.108333333333,unavailable:no_interval_flops_counter,64,9508.0,1901.6,0,0,0.0,0,0,0.0,0,0,0.0,64,9508.0,1901.6,observed,12,234.0,77897.41666666667,0.0,0.0
project,staggered_fourjob_shared_work,shared_work,3,036_formal_3_staggered_fourjob_shared_work,four_job_overlap,1786264533.2708516,1786264544.6398761,11.369024515151978,30,100.0,206.2,1.8,0.29421368666567416,1789.7593333333334,20347.817736888726,unavailable:no_interval_flops_counter,447,138010.0,12139.124145265785,1,1257.0,110.5635754698869,2,1419.0,124.81281908653104,8,5430.0,477.6135360393682,458,146116.0,12852.114075861571,observed,30,215.7,95371.46666666666,0.8,721.0
project,staggered_fourjob_shared_work,shared_work,3,036_formal_3_staggered_fourjob_shared_work,long_only_drain,1786264544.6398761,1786264656.1126375,111.47276139259338,288,99.82638888888889,109.71875,0.16666666666666666,0.40025929234281177,1747.6614583333333,194816.64873982343,unavailable:no_interval_flops_counter,1,406.0,3.6421453539678437,511,498630.0,4473.110684357108,509,493406.0,4426.247218029206,504,491538.0,4409.489761080408,1525,1483980.0,13312.489808820692,observed,288,113.49652777777777,113584.27430555556,1.3958333333333333,1517.4618055555557
project,staggered_fourjob_static_partition,static_partition,1,013_formal_1_staggered_fourjob_static_partition,short_only,1786262169.6150317,1786262174.6150317,5.0,14,99.89285714285714,61.0,0.0,0.05725345073268253,1313.4414285714286,6567.207142857143,unavailable:no_interval_flops_counter,65,17582.0,3516.4,0,0,0.0,0,0,0.0,0,0,0.0,65,17582.0,3516.4,not_applicable:static,0,,,,
