system,job,comparison,baseline_scenario,target_scenario,baseline_jct_s,target_jct_s,jct_slowdown,jct_change_pct,request_p99_change_pct,arrival_to_first_submit_ms_delta,first_submit_to_completion_change_pct
project,short,single_quarter,single_short_full_pool,single_short_quarter_pool,13.070991436640421,36.64831646283468,2.803790105783608,180.37901057836078,178.87374378126248,1.4673074086507185,180.90464462898984
project,short,static_fourjob,single_short_full_pool,staggered_fourjob_static_partition,13.070991436640421,58.78503187497457,4.4973659542143976,349.73659542143974,343.594311464826,-0.023047129313148673,350.77775358286436
project,short,shared_fourjob,single_short_full_pool,staggered_fourjob_shared_work,13.070991436640421,16.325076580047607,1.2489547299591506,24.895472995915057,24.749738609723117,12.359619140625,24.874734609756356
project,short,matched_competition_static,single_short_quarter_pool,staggered_fourjob_static_partition,36.64831646283468,58.78503187497457,1.6040308955143654,60.40308955143654,59.066359367543726,-1.4903545379638672,60.473584969816955
project,short,shared_vs_static,staggered_fourjob_static_partition,staggered_fourjob_shared_work,58.78503187497457,16.325076580047607,0.2777080501507284,-72.22919498492716,-71.87751614808187,12.382666269938149,-72.29793759402965
project,long1,single_quarter,single_long1_full_pool,single_long1_quarter_pool,38.937316258748375,97.01685810089111,2.4916164600608166,149.16164600608167,147.38346425634904,0.5808671315511091,149.3041257989026
project,long1,static_fourjob,single_long1_full_pool,staggered_fourjob_static_partition,38.937316258748375,136.3862748146057,3.502713795380355,250.2713795380355,248.29301167812363,2.1288394927978516,250.50747255854338
project,long1,shared_fourjob,single_long1_full_pool,staggered_fourjob_shared_work,38.937316258748375,125.09390068054199,3.212699607986878,221.2699607986878,221.01072797164014,243.31283569335938,220.85804727473302
project,long1,matched_competition_static,single_long1_quarter_pool,staggered_fourjob_static_partition,97.01685810089111,136.3862748146057,1.4057997494906813,40.57997494906813,40.79074069284107,1.5479723612467424,40.59433289975914
project,long1,shared_vs_static,staggered_fourjob_static_partition,staggered_fourjob_shared_work,136.3862748146057,125.09390068054199,0.9172030019192634,-8.279699808073659,-7.83314128958078,241.18399620056152,-8.458999480776612
project,long2,single_quarter,single_long2_full_pool,single_long2_quarter_pool,39.72601914405823,94.43386888504028,2.377128917513615,137.71289175136152,140.41572715946083,-1.5532970428466797,137.8570614873439
project,long2,static_fourjob,single_long2_full_pool,staggered_fourjob_static_partition,39.72601914405823,135.53489208221436,3.411741095696626,241.1741095696626,244.10953711180778,-1.480182011922203,241.42346667593935
project,long2,shared_fourjob,single_long2_full_pool,staggered_fourjob_shared_work,39.72601914405823,108.10153373082478,2.7211771040742048,172.11771040742047,173.51197677711002,754.4905344645182,170.3918367403174
project,long2,matched_competition_static,single_long2_quarter_pool,staggered_fourjob_static_partition,94.43386888504028,135.53489208221436,1.4352360406541078,43.52360406541078,43.13104270569198,0.0731150309244768,43.54144650614299
project,long2,shared_vs_static,staggered_fourjob_static_partition,staggered_fourjob_shared_work,135.53489208221436,108.10153373082478,0.79759191209044,-20.240808790956,-20.516013862109034,755.9707164764404,-20.804554129561723
project,long3,single_quarter,single_long3_full_pool,single_long3_quarter_pool,40.0769514242808,93.81559220949809,2.3408864415934465,134.08864415934465,134.07176794060683,0.396728515625,134.21852032484512
project,long3,static_fourjob,single_long3_full_pool,staggered_fourjob_static_partition,40.0769514242808,135.27627261479697,3.375413243953462,237.54132439534618,236.98906292514036,-0.14456113179524976,237.77351964496282
project,long3,shared_fourjob,single_long3_full_pool,staggered_fourjob_shared_work,40.0769514242808,64.039315700531,1.5979088584500591,59.79088584500592,59.038102603487495,9.928464889526367,59.82444252150323
project,long3,matched_competition_static,single_long3_quarter_pool,staggered_fourjob_static_partition,93.81559220949809,135.27627261479697,1.441938055592227,44.193805559222696,43.96826490012569,-0.5412896474202498,44.212985026330955
project,long3,shared_vs_static,staggered_fourjob_static_partition,staggered_fourjob_shared_work,135.27627261479697,64.039315700531,0.4733965126529231,-52.66034873470768,-52.80615304751993,10.073026021321617,-52.6829567073534
daft_native,short,native_fourjob,single_full,fourjob,12.8165442943573,21.354673624038696,1.6661803005230085,66.61803005230085,,,
daft_native,long1,native_fourjob,single_full,fourjob,37.61336803436279,110.69846391677856,2.943061727831625,194.30617278316248,,,
daft_native,long2,native_fourjob,single_full,fourjob,36.23332722981771,108.6664731502533,2.9990752011542496,199.90752011542497,,,
daft_native,long3,native_fourjob,single_full,fourjob,37.333547035853066,103.85580817858379,2.7818360810679583,178.18360810679584,,,
daft_ray,short,native_fourjob,single_full,fourjob,24.682276328404743,30.97086016337077,1.254781356115401,25.47813561154011,,,
daft_ray,long1,native_fourjob,single_full,fourjob,46.79316020011902,112.146311044693,2.3966389652906526,139.66389652906525,,,
daft_ray,long2,native_fourjob,single_full,fourjob,46.67788124084473,108.14234781265259,2.316779273992076,131.67792739920762,,,
daft_ray,long3,native_fourjob,single_full,fourjob,46.52657945950826,120.08905641237895,2.5810850014644116,158.10850014644114,,,
ray_data_http,short,native_fourjob,single_full,fourjob,138.80802265803018,232.59806354840597,1.675681701204249,67.56817012042491,,,
ray_data_http,long1,native_fourjob,single_full,fourjob,165.30449287096658,361.58907469113666,2.187412262130019,118.74122621300191,,,
ray_data_http,long2,native_fourjob,single_full,fourjob,164.67870473861694,366.90532008806866,2.22800708003158,122.800708003158,,,
ray_data_http,long3,native_fourjob,single_full,fourjob,163.40888317426047,356.3183793226878,2.180532492488228,118.0532492488228,,,
