repeat_index,e2e_s,source_fetch_s,actor_ready_s,model_request_wall_s,operator_wall_s,bounded_wait_s,fanin_s,rows_per_s,tokens_per_s,model_request_tokens_per_s,operator_tokens_per_s,request_e2e_s_p50,request_e2e_s_p95,request_e2e_s_p99,gpu_utilization_pct_mean,gpu_utilization_pct_p95,gpu_utilization_pct_max,gpu_utilization_below_10pct_ratio,mfu_estimate,vllm_running_mean,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_max,vllm_kv_cache_usage_mean,vllm_kv_cache_usage_max,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_time_to_first_token_mean_s,vllm_inter_token_latency_mean_s,vllm_request_success_delta,request_jct_s,arrival_span_s,submit_to_completion_window_s,service_to_completion_window_s,request_rows,unique_doc_ids,submission_rows,endpoint_0_rows,endpoint_1_rows,resource_rows
1,14.895286,2.848949,4.170062,11.316604,11.328266,5.373106,0.080782,34.373,10924.261,14378.872,14364.069,9.538915,14.685102,14.718894,75.8452380952381,100.0,100.0,0.23809523809523808,0.42964114720129115,154.71428571428572,256.0,256.0,0.0,0.0,0.1600487746088461,0.3642995384844424,4.642182,4.3e-05,4.621683,0.04988,4.571804,0.071644,0.02153,512.0,14.719941139221191,0.0,11.3233003616333,11.318803071975708,512,512,512,256,256,42
2,15.050929,2.986004,4.360147,11.371286,11.384069,5.437588,0.080895,34.018,10840.66,14348.597,14332.485,9.664109,14.82109,14.868775,75.83333333333333,100.0,100.0,0.23809523809523808,0.42920584457859495,154.33333333333334,249.0,256.0,0.0,0.0,0.16198061776444983,0.362661902635105,4.656968,4.7e-05,4.63663,0.050181,4.586449,0.071745,0.021512,512.0,14.869893074035645,0.0,11.379033088684082,11.373469829559326,512,512,512,256,256,42
3,14.925133,2.912591,4.370532,11.34993,11.363513,5.443884,0.087391,34.305,10917.29,14356.212,14339.052,9.53837,14.691432,14.737904,75.60975609756098,100.0,100.0,0.24390243902439024,0.4291475504298402,157.02439024390245,255.0,256.0,0.0,0.0,0.16297926266444443,0.37680512133392885,4.655623,4.8e-05,4.636097,0.050168,4.58593,0.070684,0.021553,512.0,14.738649129867554,0.0,11.35913610458374,11.35358214378357,512,512,512,256,256,41
