output_directory,launcher_pid,total_rows,warmup_rows,formal_rows,unique_scenarios,manifest_status,manifest_incident_count,trace_start_filesystem_mtime,trace_end_filesystem_mtime,runs_sha256,manifest_sha256,explicit_empty_ray_address,local_ray_start_log_pairs,formal_eligible,exclusion_reason
dual_gpu_cost_profile_formal_20260804_184835,550681,320,80,240,80,completed,0,2026-08-04 18:48:56.624507,2026-08-04 22:05:01.831326,56e7c6b1188009e3f91ca7a63900ec7f377840638cc56579817a6845719b396f,7456723a2a8a8ec5d99fd9d990a46dae5445d4a1521ad0c11d163be50e31ae2c,true,320,false,overlapping runner and per-run local Ray
dual_gpu_cost_profile_formal_20260804_184931,557118,320,80,240,80,completed,0,2026-08-04 18:49:54.807946,2026-08-04 22:04:55.987479,d076a6554aa9292fc1cf348a3fc7153dc47d034f022dce46263b31b86e934ba9,19db18c8e8ed606d7f8e2a7030ba5bdd7d24cd80f8ab5c53133e1935e29f1134,true,320,false,overlapping runner and per-run local Ray
