schema_version,experiment_id,scenario_id,phase,repeat_index,order_index,policy,experiment_identity,ready_observation_contract,job_count,static_partition_count,rows_per_job,rows_per_jobs,request_limit_per_endpoint,work_limit_per_endpoint,request_envelope_owner,work_envelope_applied,http_keepalive_expiry_s,credit_quantum,runtime_state_mode,runtime_state_calibration_signature,adaptive_capacity_increases,adaptive_capacity_decreases,adaptive_capacity_fallbacks,weights,arrival_offsets_s,source_row_offsets,request_manifests,request_manifest_sha256,ray_address,scheduler_owner,coordinator_name,run_instance_id,execution_mode,start_epoch_s,end_epoch_s,metrics_status,prompt_tokens_delta,generation_tokens_delta,request_success_delta,estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_prefix_cache_hit_rate,vllm_ttft_histogram_status,vllm_itl_histogram_status,vllm_time_to_first_token_p50_s,vllm_time_to_first_token_p95_s,vllm_time_to_first_token_p99_s,vllm_inter_token_latency_p50_s,vllm_inter_token_latency_p95_s,vllm_inter_token_latency_p99_s,tokens_per_s,duration_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p95,gpu_utilization_pct_max,vllm_running_mean,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p95,vllm_waiting_max,vllm_kv_usage_mean,vllm_kv_usage_p95,vllm_kv_usage_max,host_cpu_busy_cores_mean,host_cpu_busy_cores_p95,host_cpu_busy_cores_max,host_cpu_per_core_max_pct_mean,host_cpu_per_core_max_pct_p95,host_cpu_per_core_max_pct_max,host_memory_used_pct_mean,host_memory_used_pct_p95,host_memory_used_pct_max,host_memory_available_mib_mean,host_memory_available_mib_p95,host_memory_available_mib_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,jain_fairness,service_disparity_status,service_disparity_bound_status,normalized_cumulative_service_min,normalized_cumulative_service_max,normalized_cumulative_service_disparity,normalized_cumulative_service_disparity_ratio,overlap_service_disparity_samples,max_overlap_normalized_service_disparity,max_overlap_normalized_service_disparity_ratio,credit_trace_status,credit_endpoint_idle_sample_fraction,credit_idle_capacity_fraction_mean,credit_borrowed_work_mean,credit_borrowed_work_max,active_set_contract_status,active_set_contract_passed,active_set_lifecycle_status,active_set_lifecycle_passed,active_set_mechanism_applicable,active_set_mechanism_status,active_set_mechanism_passed,active_set_bulk_job_index,active_set_foreground_job_index,active_set_overlap_s,active_set_foreground_drained_first,active_set_first_drained_job_index,active_set_remaining_job_index,active_set_bulk_only_pre_samples,active_set_overlap_samples,active_set_overlap_reclaim_observed,active_set_overlap_reclaim_competition_samples,active_set_overlap_bulk_fraction_min,active_set_overlap_foreground_fraction_max,active_set_overlap_bulk_dominant_share_min,active_set_overlap_foreground_dominant_share_max,active_set_bulk_only_post_samples,active_set_bulk_borrow_fraction_max,active_set_pre_bulk_dominant_share_max,active_set_bulk_reborrow_fraction_max,active_set_post_remaining_fraction_max,active_set_post_remaining_dominant_share_max,active_set_post_remaining_waiting_work_max,active_set_post_fit_violation_samples,active_set_post_drain_duration_s,active_set_post_drain_observation_interval_s,active_set_post_drain_observed_samples,active_set_post_drain_applicable,active_set_post_drain_status,active_set_post_work_conserving_passed,bounded_saor_event_status,bounded_saor_event_sequence_complete,bounded_saor_event_count,bounded_saor_slo_priority_grants,bounded_saor_debt_recovery_grants,bounded_saor_fallback_grants,bounded_saor_hold_count,bounded_saor_hold_completed_count,bounded_saor_hold_duration_total_s,bounded_saor_hold_duration_p95_s,bounded_saor_hold_duration_max_s,bounded_saor_reclaim_debt_max,bounded_saor_constraint_conflicts,bounded_saor_recovery_inflight_max,bounded_saor_avoidable_idle_events,bounded_saor_foreign_grant_over_debt_critical_events,bounded_ready_event_status,bounded_ready_lifecycle_complete,bounded_ready_intervals,bounded_ready_jobs_with_intervals,bounded_ready_max_ready_requests_seen,bounded_ready_max_ready_work_seen,bounded_ready_max_ready_payload_bytes_seen,bounded_ready_requests_transition_mean_max,bounded_ready_requests_transition_p95_max,bounded_ready_work_transition_mean_max,bounded_ready_work_transition_p95_max,bounded_ready_payload_bytes_transition_mean_max,bounded_ready_payload_bytes_transition_p95_max,bounded_ready_foreground_intervals,bounded_ready_foreign_fallback_events,bounded_ready_foreground_max_ready_requests_seen,bounded_ready_foreground_max_ready_work_seen,job_jct_s,job_priorities,job_p99_s,job_completion_lag_s,job_slo_violation_ratio,job_slo_goodput_per_s,job_slo_token_goodput_per_s,job_predicted_work,job_actual_work,job_actual_prompt_work,job_actual_output_work,job_arrived_rows,job_completed_rows,job_failed_rows,job_normalized_service_rate,replay_configured_start_epoch_s,replay_observed_start_epoch_s,replay_actual_submit_start_epoch_s,endpoint_counts,actor_worker_failures,shared_credit_final,release_event_trace_schema_version,release_event_trace_path,release_event_trace_count,incidents
2,saor_matched_ready_selector_ablation,active_set_project_frozen_static,warmup,1,0,static_partition,project_frozen_static_reference,single_head,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,unavailable,,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,,saor_matched_ready_selector_rehearsal_2d3a493_r3-f2b4222e20db,rehearsal,1786612668.7076428,1786612760.7926488,ok,636378,234025,1024,5415027023314944.0,6.674176164902747,5.830286318087019e-05,6.5959021238904825,0.25499329560079786,6.340908828289685,0.13056391012888566,ok,ok,0.24626334519572954,0.9096153846153845,1.8321739130434778,0.018363640932129166,0.04856975993314591,0.21833491204330113,9452.168575773616,92.08500599861145,ok,98.3739837398374,100.0,100.0,73.1260162601626,168.0,174.0,0.008130081300813009,0.0,1.0,0.26946735076997935,0.39586124758076524,0.42280780110168226,11.936573170731707,18.322,28.701999999999998,99.93577235772358,100.0,100.0,16.29268292682927,16.9,16.9,863646.9469480437,870478.7734375,914362.3125,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.35639184946508023,0.9141706832355588,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147692.0,693015.0,545323.0,1.2972962042661713,717,128712.0,2.0,unavailable:not_a_shared_policy,0.0,0.0,0.0,0.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,False,not_applicable:no_credit_trace,False,0,1,36.317462682724,True,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.15650677680969,0.25,0,True,active_set_post_drain_not_observed,False,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,not_applicable,False,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"[90.47396945953369, 36.317462682724]","[0, 0]","[83.58954191207886, 29.100563526153564]","[83.80526947975159, 29.629962682724]","[0.677734375, 0.0]","[1.8237289795690856, 14.097901179741704]","[2434.799769656701, 4066.693791090648]","[650822, 114505]","[693015, 147692]","[568041, 38641]","[124974, 109051]","[512, 512]","[512, 512]","[0, 0]","[7659.827507733757, 4066.693791090648]","[1786612668.7076428, 1786612673.7076428]","[1786612668.7077565, 1786612673.7077513]","[1786612668.7924018, 1786612673.796457]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,[],2,traces/000_warmup_1_active_set_project_frozen_static.release_events.csv,0,0
2,saor_matched_ready_selector_ablation,active_set_project_bounded_ready_fifo,warmup,1,1,shared_fifo,project_internal_selector_ablation,bounded_concrete_pre_registration,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,observe_only,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_matched_ready_selector_ablation-saor_matched_ready_selector_rehearsal_2d3a493_r3-f2b4222e20db-001_warmup_1_active_set_project_bounded_ready_fifo,saor_matched_ready_selector_rehearsal_2d3a493_r3-f2b4222e20db,rehearsal,1786612781.823321,1786612849.1010675,ok,636378,234106,1024,5397570900291584.0,8.53394467686303,0.025036828443262493,8.389095047610681,0.41291124060990114,7.97618380700078,0.13483809936861424,ok,ok,0.3712871287128713,2.065100671140939,2.47744966442953,0.01830434761954529,0.11607121528814568,0.3328912037037029,12938.661683466402,67.2777464389801,ok,97.51412429378531,100.0,100.0,126.09604519774011,244.0,255.0,0.6779661016949152,7.0,17.0,0.4284819107265569,0.540568706267679,0.5514366532678279,9.064847457627119,16.992,28.944000000000003,92.33107344632768,100.0,100.0,10.22994350282486,10.3,10.3,926272.0267699505,927488.0546875,928859.140625,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.4862313713276332,0.7776567959871908,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147916.0,692872.0,544956.0,1.2962982345133376,841,303824.0,2.0,ok:sampled_endpoint_credit,0.21363636363636362,0.2907616355202415,14407.404545454545,32764.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,46.325008392333984,True,1,0,13,99,True,99,0.34812164306640625,0.5629501342773438,0.34812164306640625,0.87109375,39,0.995513916015625,0.995513916015625,0.9975814819335938,0.9975814819335938,0.9975814819335938,120711.0,0,14.463691234588623,0.25,39,True,ok:observed_work_conserving_drain,True,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ok:actor_event_join,True,1024,2,256,131069,490980,187.41463414634146,255.0,91753.53756097562,130378.0,334057.5180487805,482050.0,512,0,99,131069,"[65.78869962692261, 46.325008392333984]","[0, 0]","[58.69201683998108, 39.582436323165894]","[59.1199996471405, 39.637508392333984]","[0.541015625, 0.392578125]","[3.5720420274704945, 6.7134364524252375]","[4784.833896780349, 1791.8615210383089]","[650988, 114602]","[692872, 147916]","[568041, 38641]","[124831, 109275]","[512, 512]","[512, 512]","[0, 0]","[10531.778313436325, 3193.0053578679467]","[1786612781.823321, 1786612786.823321]","[1786612781.8234458, 1786612786.8234403]","[1786612781.9310243, 1786612795.5450268]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3599\"", 256], [\""3600\"", 256]]"", ""granted_work_by_job"": ""[[\""3599\"", 84857], [\""3600\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65533, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3599\"", 256], [\""3600\"", 256]]"", ""granted_work_by_job"": ""[[\""3599\"", 84856], [\""3600\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65536, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/001_warmup_1_active_set_project_bounded_ready_fifo.release_events.csv,2048,0
2,saor_matched_ready_selector_ablation,active_set_project_bounded_ready_drr,warmup,1,2,shared_drr,project_internal_selector_ablation,bounded_concrete_pre_registration,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,observe_only,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_matched_ready_selector_ablation-saor_matched_ready_selector_rehearsal_2d3a493_r3-f2b4222e20db-002_warmup_1_active_set_project_bounded_ready_drr,saor_matched_ready_selector_rehearsal_2d3a493_r3-f2b4222e20db,rehearsal,1786612868.6859193,1786612936.0559042,ok,636378,233996,1024,5412124471713792.0,8.533206697786227,0.03194188325869618,8.36902696645302,0.43524036688904744,7.933786599563973,0.13111704050108583,ok,ok,0.296875,2.2518072289156623,2.49855421686747,0.018596541290497162,0.11136418836864118,0.2906520547945205,12919.314168493147,67.3699848651886,ok,96.79888268156425,100.0,100.0,124.85474860335195,250.0,256.0,1.5083798882681565,7.0,46.0,0.4361176469609754,0.5377400625279143,0.5480125055828495,10.272793296089384,17.215999999999998,22.531999999999996,100.0,100.0,100.0,10.211173184357541,10.3,10.3,926380.9217877095,927244.7578125,928756.125,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.48687489598905614,0.848321498112058,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147704.0,692974.0,545270.0,1.2972148670477877,730,144207.0,2.0,ok:sampled_endpoint_credit,0.21846846846846846,0.29024601841832065,14741.013513513513,32764.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,34.57990765571594,True,1,0,13,91,True,91,0.44802093505859375,0.5327529907226562,0.44802093505859375,0.828125,70,0.995513916015625,0.995513916015625,0.9993209838867188,0.9993209838867188,0.9993209838867188,130837.0,0,26.228712797164917,0.25,70,True,ok:observed_work_conserving_drain,True,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ok:actor_event_join,True,1024,2,256,131052,492729,175.85951219512197,255.0,92092.07121951219,130546.0,335561.7648780488,481456.0,512,0,99,131052,"[65.80862045288086, 34.57990765571594]","[0, 0]","[58.53856039047241, 27.453789472579956]","[59.139920473098755, 27.892407655715942]","[0.62109375, 0.0]","[2.9479420578175546, 14.806285924692691]","[3923.5741187566064, 4271.382141056268]","[650925, 114524]","[692974, 147704]","[568041, 38641]","[124933, 109063]","[512, 512]","[512, 512]","[0, 0]","[10530.14020399001, 4271.382141056268]","[1786612868.6859193, 1786612873.6859193]","[1786612868.6860821, 1786612873.6860073]","[1786612868.7882538, 1786612873.7961109]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3601\"", 256], [\""3602\"", 256]]"", ""granted_work_by_job"": ""[[\""3601\"", 84857], [\""3602\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65532, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3601\"", 256], [\""3602\"", 256]]"", ""granted_work_by_job"": ""[[\""3601\"", 84856], [\""3602\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65533, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/002_warmup_1_active_set_project_bounded_ready_drr.release_events.csv,2048,0
2,saor_matched_ready_selector_ablation,active_set_project_bounded_ready_vtc_style,warmup,1,3,external_vtc,project_internal_selector_ablation,bounded_concrete_pre_registration,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,observe_only,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_matched_ready_selector_ablation-saor_matched_ready_selector_rehearsal_2d3a493_r3-f2b4222e20db-003_warmup_1_active_set_project_bounded_ready_vtc_style,saor_matched_ready_selector_rehearsal_2d3a493_r3-f2b4222e20db,rehearsal,1786612955.1579168,1786613022.6683366,ok,636378,233897,1024,5411115604213760.0,8.523424682673067,0.025164621882140636,8.360039481478452,0.45577724156282784,7.904262239915624,0.13119246737002221,ok,ok,0.312015503875969,2.2832191780821915,2.4936301369863014,0.01860321608188719,0.11384868421052617,0.28017695053544056,12890.973008175783,67.51041984558105,ok,96.61731843575419,100.0,100.0,124.75418994413408,254.0,256.0,0.8547486033519553,6.0,23.0,0.43421303238759656,0.5350602947744529,0.5557540568706267,12.5928156424581,17.551,26.083000000000002,99.75754189944134,100.0,100.0,10.214525139664804,10.3,10.3,926249.0197712989,927114.67578125,928623.375,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.4857715312769535,0.8578186497501753,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147875.0,692704.0,544829.0,1.2963183710275894,712,138708.0,2.0,ok:sampled_endpoint_credit,0.22072072072072071,0.29181585225973045,14622.8490990991,32764.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,33.281221866607666,True,1,0,13,88,True,88,0.4516143798828125,0.5303268432617188,0.4516143798828125,0.82421875,73,0.995513916015625,0.995513916015625,0.998321533203125,0.998321533203125,0.998321533203125,130974.0,0,27.406886339187622,0.25,73,True,ok:observed_work_conserving_drain,True,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ok:actor_event_join,True,1024,2,256,131052,491865,173.3990243902439,255.0,91835.08097560976,130528.0,334526.14829268295,481919.0,512,0,99,131052,"[65.68810820579529, 33.281221866607666]","[0, 0]","[58.64090943336487, 26.314377307891846]","[59.019408226013184, 26.593721866607666]","[0.623046875, 0.0]","[2.938126934563975, 15.38405056317086]","[3906.5213934317653, 4443.196244197053]","[650975, 114866]","[692704, 147875]","[568041, 38641]","[124663, 109234]","[512, 512]","[512, 512]","[0, 0]","[10545.348601451833, 4443.196244197053]","[1786612955.1579168, 1786612960.1579168]","[1786612955.158036, 1786612960.1580188]","[1786612955.2576942, 1786612960.2660363]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[[\""3603\"", 145037], [\""3604\"", 353797]]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3603\"", 256], [\""3604\"", 256]]"", ""granted_work_by_job"": ""[[\""3603\"", 84857], [\""3604\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65534, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[[\""3603\"", 148170], [\""3604\"", 353755]]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[]"", ""granted_requests_by_job"": ""[[\""3603\"", 256], [\""3604\"", 256]]"", ""granted_work_by_job"": ""[[\""3603\"", 84856], [\""3604\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65536, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/003_warmup_1_active_set_project_bounded_ready_vtc_style.release_events.csv,2048,0
