schema_version,experiment_id,scenario_id,phase,repeat_index,order_index,policy,job_count,static_partition_count,rows_per_job,rows_per_jobs,request_limit_per_endpoint,work_limit_per_endpoint,request_envelope_owner,work_envelope_applied,http_keepalive_expiry_s,credit_quantum,runtime_state_mode,runtime_state_calibration_signature,adaptive_capacity_increases,adaptive_capacity_decreases,adaptive_capacity_fallbacks,weights,arrival_offsets_s,source_row_offsets,request_manifests,request_manifest_sha256,ray_address,scheduler_owner,coordinator_name,run_instance_id,execution_mode,start_epoch_s,end_epoch_s,metrics_status,prompt_tokens_delta,generation_tokens_delta,request_success_delta,estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_prefix_cache_hit_rate,vllm_ttft_histogram_status,vllm_itl_histogram_status,vllm_time_to_first_token_p50_s,vllm_time_to_first_token_p95_s,vllm_time_to_first_token_p99_s,vllm_inter_token_latency_p50_s,vllm_inter_token_latency_p95_s,vllm_inter_token_latency_p99_s,tokens_per_s,duration_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p95,gpu_utilization_pct_max,vllm_running_mean,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p95,vllm_waiting_max,vllm_kv_usage_mean,vllm_kv_usage_p95,vllm_kv_usage_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,jain_fairness,service_disparity_status,service_disparity_bound_status,normalized_cumulative_service_min,normalized_cumulative_service_max,normalized_cumulative_service_disparity,normalized_cumulative_service_disparity_ratio,overlap_service_disparity_samples,max_overlap_normalized_service_disparity,max_overlap_normalized_service_disparity_ratio,credit_trace_status,credit_endpoint_idle_sample_fraction,credit_idle_capacity_fraction_mean,credit_borrowed_work_mean,credit_borrowed_work_max,active_set_contract_status,active_set_contract_passed,active_set_lifecycle_status,active_set_lifecycle_passed,active_set_mechanism_applicable,active_set_mechanism_status,active_set_mechanism_passed,active_set_bulk_job_index,active_set_foreground_job_index,active_set_overlap_s,active_set_foreground_drained_first,active_set_first_drained_job_index,active_set_remaining_job_index,active_set_bulk_only_pre_samples,active_set_overlap_samples,active_set_overlap_reclaim_observed,active_set_overlap_reclaim_competition_samples,active_set_overlap_bulk_fraction_min,active_set_overlap_foreground_fraction_max,active_set_overlap_bulk_dominant_share_min,active_set_overlap_foreground_dominant_share_max,active_set_bulk_only_post_samples,active_set_bulk_borrow_fraction_max,active_set_pre_bulk_dominant_share_max,active_set_bulk_reborrow_fraction_max,active_set_post_remaining_fraction_max,active_set_post_remaining_dominant_share_max,active_set_post_remaining_waiting_work_max,active_set_post_fit_violation_samples,active_set_post_drain_duration_s,active_set_post_drain_observation_interval_s,active_set_post_drain_observed_samples,active_set_post_drain_applicable,active_set_post_drain_status,active_set_post_work_conserving_passed,bounded_saor_event_status,bounded_saor_event_sequence_complete,bounded_saor_event_count,bounded_saor_slo_priority_grants,bounded_saor_debt_recovery_grants,bounded_saor_fallback_grants,bounded_saor_hold_count,bounded_saor_hold_completed_count,bounded_saor_hold_duration_total_s,bounded_saor_hold_duration_p95_s,bounded_saor_hold_duration_max_s,bounded_saor_reclaim_debt_max,bounded_saor_constraint_conflicts,bounded_saor_recovery_inflight_max,bounded_saor_avoidable_idle_events,bounded_saor_foreign_grant_over_debt_critical_events,bounded_ready_event_status,bounded_ready_lifecycle_complete,bounded_ready_foreground_intervals,bounded_ready_foreign_fallback_events,bounded_ready_foreground_max_ready_requests_seen,bounded_ready_foreground_max_ready_work_seen,job_jct_s,job_priorities,job_p99_s,job_completion_lag_s,job_slo_violation_ratio,job_slo_goodput_per_s,job_slo_token_goodput_per_s,job_predicted_work,job_actual_work,job_actual_prompt_work,job_actual_output_work,job_arrived_rows,job_completed_rows,job_failed_rows,job_normalized_service_rate,replay_configured_start_epoch_s,replay_observed_start_epoch_s,replay_actual_submit_start_epoch_s,endpoint_counts,actor_worker_failures,shared_credit_final,release_event_trace_schema_version,release_event_trace_path,release_event_trace_count,incidents
2,saor_bounded_ready_development_gate,active_set_static_partition,warmup,1,0,static_partition,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,unavailable,,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,,saor_bounded_ready_rehearsal_r1_6728c56_20260813-e73704dc18b0,rehearsal,1786601806.8206904,1786601898.2400951,ok,636378,234265,1024,5417245448208384.0,6.683596207294613,3.3427830203436315e-05,6.613739401720522,0.2230511423331336,6.390688259387389,0.13046334097030382,ok,ok,0.24153605015673982,0.7629629629629627,0.9525925925925925,0.018405888854184187,0.057243086109364905,0.23858452041785358,9523.612655623283,91.41940474510193,ok,98.1491935483871,100.0,100.0,73.77016129032258,167.0,172.0,0.0,0.0,0.0,0.2710281327589602,0.3972011314574959,0.42638082477296413,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.3591337165970925,0.9140246843749187,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,148034.0,692913.0,544879.0,1.2958700132112964,717,126724.0,2.0,unavailable:not_a_shared_policy,0.0,0.0,0.0,0.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,False,not_applicable:no_credit_trace,False,0,1,36.08865427970886,True,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.538001537323,0.25,0,True,active_set_post_drain_not_observed,False,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,not_applicable,False,0,0,0,0,"[89.62665581703186, 36.08865427970886]","[0, 0]","[82.74069428443909, 29.3530695438385]","[82.95795583724976, 29.401154279708862]","[0.669921875, 0.0]","[1.8855997522099304, 14.187284347919732]","[2515.390069448047, 4101.954006171776]","[650950, 115012]","[692913, 148034]","[568041, 38641]","[124872, 109393]","[512, 512]","[512, 512]","[0, 0]","[7731.1040301955, 4101.954006171776]","[1786601806.8206904, 1786601811.8206904]","[1786601806.8208346, 1786601811.82079]","[1786601806.9102206, 1786601811.9096332]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,[],2,traces/000_warmup_1_active_set_static_partition.release_events.csv,0,0
2,saor_bounded_ready_development_gate,active_set_saor_release,warmup,1,1,saor_release,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,actuated_saor_release,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_bounded_ready_development_gate-saor_bounded_ready_rehearsal_r1_6728c56_20260813-e73704dc18b0-001_warmup_1_active_set_saor_release,saor_bounded_ready_rehearsal_r1_6728c56_20260813-e73704dc18b0,rehearsal,1786601919.2285702,1786601989.7566466,ok,636378,233856,1024,5430651316543488.0,7.963580701034516,0.031165318489001947,7.810361431240381,0.4343569246775587,7.376004506562822,0.12644057462702984,ok,ok,0.25,2.2313043478260868,2.4984347826086957,0.018396555288958557,0.051639256346085044,0.31935524256650905,12338.830779070975,70.52807641029358,ok,97.10526315789474,100.0,100.0,111.46315789473684,202.0,209.0,1.3157894736842106,11.0,20.0,0.4147794676508153,0.5369956825963972,0.5499478934047939,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.46666575862089,0.7216388425040068,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147787.0,692751.0,544964.0,1.296702826047127,999,535380.0,2.0,ok:sampled_endpoint_credit,0.20386266094420602,0.3462783420546372,12244.478540772532,32720.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,62.961772203445435,True,1,0,13,169,True,112,0.27758026123046875,0.399749755859375,0.27758026123046875,0.625,3,0.9501800537109375,0.9501800537109375,0.24900054931640625,0.24900054931640625,0.24900054931640625,0.0,0,1.0252468585968018,0.25,3,True,ok:observed_work_conserving_drain,True,unavailable:no_event_ledger,False,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,not_applicable,False,0,0,0,0,"[68.98701906204224, 62.961772203445435]","[0, 0]","[62.38308024406433, 56.24220085144043]","[62.31831908226013, 56.274272203445435]","[0.4609375, 0.916015625]","[4.000752659740006, 0.6829540925413615]","[5350.702277308583, 159.79537500136368]","[651076, 114650]","[692751, 147787]","[568041, 38641]","[124710, 109146]","[512, 512]","[512, 512]","[0, 0]","[10041.758716621554, 2347.2496854514]","[1786601919.2285702, 1786601924.2285702]","[1786601919.228683, 1786601924.228657]","[1786601919.3232806, 1786601924.3387148]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[[\""3575\"", 128785.0], [\""3576\"", 7864.0]]"", ""granted_requests_by_job"": ""[[\""3575\"", 256], [\""3576\"", 256]]"", ""granted_work_by_job"": ""[[\""3575\"", 84857], [\""3576\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 104, ""max_active_work_seen"": 65524, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[[\""3575\"", 85822.0], [\""3576\"", 7076.0]]"", ""granted_requests_by_job"": ""[[\""3575\"", 256], [\""3576\"", 256]]"", ""granted_work_by_job"": ""[[\""3575\"", 84856], [\""3576\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 114, ""max_active_work_seen"": 65536, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/001_warmup_1_active_set_saor_release.release_events.csv,0,0
2,saor_bounded_ready_development_gate,active_set_saor_bounded_ready_0125k,warmup,1,2,saor_bounded_ready,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,actuated_saor_release,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_bounded_ready_development_gate-saor_bounded_ready_rehearsal_r1_6728c56_20260813-e73704dc18b0-002_warmup_1_active_set_saor_bounded_ready_0125k,saor_bounded_ready_rehearsal_r1_6728c56_20260813-e73704dc18b0,rehearsal,1786602009.3369546,1786602079.7954934,ok,636378,234137,1024,5421633344196608.0,7.632670233491808,0.0906537240371108,7.450482852702407,0.4697076375432516,6.980775215159156,0.12903023046051246,ok,ok,0.23943661971830985,2.9682539682539666,4.593650793650793,0.018274086150759095,0.05595416900617614,0.27063766730401484,12354.996501322592,70.45853877067566,ok,97.58288770053476,100.0,100.0,105.89304812834224,250.0,255.0,2.0588235294117645,17.0,33.0,0.39298881678620534,0.5441417299389608,0.5757034390352835,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.4663506294271503,0.9399805677321867,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,148030.0,692789.0,544759.0,1.295781850790717,611,125141.0,2.0,ok:sampled_endpoint_credit,0.20995670995670995,0.3157283898555871,17970.25974025974,32753.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,24.753395080566406,True,1,0,13,59,True,59,0.00867462158203125,0.6535491943359375,0.00867462158203125,0.99609375,106,0.995513916015625,0.995513916015625,0.9990997314453125,0.9990997314453125,0.9990997314453125,130971.0,0,39.35710549354553,0.25,106,True,ok:observed_work_conserving_drain,True,ok:lossless_ledger,True,2048,512,13,499,0,0,0,0.0,0.0,0,2,1,0,0,ok:actor_event_join,True,512,0,256,84837,"[69.11050057411194, 24.753395080566406]","[0, 1]","[61.58550524711609, 18.154167652130127]","[62.441800594329834, 18.065895080566406]","[0.658203125, 0.0]","[2.5321767104310795, 20.684031355438798]","[3380.3980301006814, 5980.18976864376]","[650868, 114810]","[692789, 148030]","[568041, 38641]","[124748, 109389]","[512, 512]","[512, 512]","[0, 0]","[10024.366691673355, 5980.18976864376]","[1786602009.3369546, 1786602014.3369546]","[1786602009.337122, 1786602014.337075]","[1786602009.444167, 1786602014.4389093]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[[\""3577\"", 0.0], [\""3578\"", 37940.5]]"", ""granted_requests_by_job"": ""[[\""3577\"", 256], [\""3578\"", 256]]"", ""granted_work_by_job"": ""[[\""3577\"", 84857], [\""3578\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65536, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[[\""3577\"", 0.0], [\""3578\"", 38905.5]]"", ""granted_requests_by_job"": ""[[\""3577\"", 256], [\""3578\"", 256]]"", ""granted_work_by_job"": ""[[\""3577\"", 84856], [\""3578\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65533, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/002_warmup_1_active_set_saor_bounded_ready_0125k.release_events.csv,2048,0
2,saor_bounded_ready_development_gate,active_set_saor_bounded_ready_025k,warmup,1,3,saor_bounded_ready,2,2,,"[512, 512]",128,65536,project_admission,True,4,2048,actuated_saor_release,text-stage-work-v1:d8d5e995fe9a471d174f8128bc1ce47356cf34c745152d36b9e42208519d9733,0,0,0,"[1, 1]","[0.0, 5.0]","[0, 0]","[""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/long_512.jsonl"", ""/root/autodl-tmp/experiment-artifacts/opening_multijob_manifests_20260808_work_balanced/short_512.jsonl""]","[""8e532819f045f85ff4e92b61c688e2d50f180d438dc577eed79c57e19cfce9c1"", ""85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971""]",127.0.0.1:6380,project_daft_ray_submission_then_vllm_fcfs,credit-saor_bounded_ready_development_gate-saor_bounded_ready_rehearsal_r1_6728c56_20260813-e73704dc18b0-003_warmup_1_active_set_saor_bounded_ready_025k,saor_bounded_ready_rehearsal_r1_6728c56_20260813-e73704dc18b0,rehearsal,1786602099.138727,1786602170.834744,ok,636378,234102,1024,5421268794884096.0,7.64804221293889,0.061982930166777805,7.495492858284706,0.4438219134681276,7.051670944816578,0.12903023046051246,ok,ok,0.23508064516129032,2.4202312138728317,4.39047619047619,0.01828755173541808,0.05190514705882336,0.3041681759379044,12141.260227515637,71.69601702690125,ok,94.7434554973822,100.0,100.0,104.46073298429319,252.0,256.0,1.5654450261780104,12.0,21.0,0.41451985156050875,0.5484591335417597,0.5850826261723984,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.4582705689511457,0.9435970559212767,ok:simultaneously_backlogged_jobs_descriptive,unavailable:not_proven_for_current_credit_implementation,147954.0,692830.0,544876.0,1.2961141030276504,612,124780.0,2.0,ok:sampled_endpoint_credit,0.23191489361702128,0.3314764469227892,17433.712765957447,32743.0,ok:observed_staggered_two_job_overlap,True,ok:observed_staggered_two_job_overlap,True,True,ok:observed_borrow_reclaim_work_conserving_drain,True,0,1,24.642098426818848,True,1,0,14,51,True,51,0.00867462158203125,0.6527481079101562,0.00867462158203125,0.99609375,108,0.995513916015625,0.995513916015625,0.9972152709960938,0.9972152709960938,0.9972152709960938,131007.0,0,40.41115164756775,0.25,108,True,ok:observed_work_conserving_drain,True,ok:lossless_ledger,True,2048,512,10,502,0,0,0,0.0,0.0,0,2,1,0,0,ok:actor_event_join,True,512,0,256,84837,"[70.0532500743866, 24.642098426818848]","[0, 1]","[62.69056153297424, 17.9622745513916]","[63.38455009460449, 17.954598426818848]","[0.751953125, 0.0]","[1.8129066084035224, 20.77745130028264]","[2424.3272056565906, 6004.11529234769]","[650817, 114604]","[692830, 147954]","[568041, 38641]","[124789, 109313]","[512, 512]","[512, 512]","[0, 0]","[9890.047917324506, 6004.11529234769]","[1786602099.138727, 1786602104.138727]","[1786602099.1388447, 1786602104.1388485]","[1786602099.2453356, 1786602104.242915]","[{""endpoint-0"": 256, ""endpoint-1"": 256}, {""endpoint-0"": 256, ""endpoint-1"": 256}]",0,"[{""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-0"", ""fairness_debt_by_job"": ""[[\""3579\"", 0.0], [\""3580\"", 38694.0]]"", ""granted_requests_by_job"": ""[[\""3579\"", 256], [\""3580\"", 256]]"", ""granted_work_by_job"": ""[[\""3579\"", 84857], [\""3580\"", 349557]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65536, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}, {""active_by_job"": ""[]"", ""active_requests"": 0, ""active_work"": 0, ""active_work_by_job"": ""[]"", ""attained_service_by_job"": ""[]"", ""endpoint_id"": ""endpoint-1"", ""fairness_debt_by_job"": ""[[\""3579\"", 498.5], [\""3580\"", 36916.5]]"", ""granted_requests_by_job"": ""[[\""3579\"", 256], [\""3580\"", 256]]"", ""granted_work_by_job"": ""[[\""3579\"", 84856], [\""3580\"", 349556]]"", ""guard_hold_age_s"": 0.0, ""guard_hold_target_job_id"": """", ""guard_hold_target_request_id"": """", ""guard_reclaim_debt"": 0, ""max_active_requests_seen"": 128, ""max_active_work_seen"": 65532, ""oldest_waiting_age_s"": 0.0, ""recovery_inflight_by_job"": ""[]"", ""request_limit"": 128, ""waiting_by_job"": ""[]"", ""waiting_head_work_by_job"": ""[]"", ""waiting_requests"": 0, ""waiting_work"": 0, ""waiting_work_by_job"": ""[]"", ""work_limit"": 65536}]",2,traces/003_warmup_1_active_set_saor_bounded_ready_025k.release_events.csv,2048,0
