round,scenario_id,policy,experiment_identity,ready_observation_contract,correctness_passed,observation_passed,mechanism_passed,cell_evidence_passed,evaluation_scope,fairness_mode,tokens_per_s,group_jct_s,mfu_fraction,bulk_jct_s,foreground_jct_s,bulk_p99_s,foreground_p99_s,bulk_slo_violation,foreground_slo_violation,jain_fairness,max_overlap_service_disparity_work,completion_service_lag_status,completion_service_lag_samples,completion_service_lag_p95_work,completion_service_lag_max_work,completion_service_lag_job_max_work,completion_longest_no_service_s,completion_longest_no_service_by_job_s,ready_requests_p95,ready_work_p95,ready_payload_bytes_p95,host_cpu_busy_cores_p95,host_memory_used_pct_p95
1,active_set_project_frozen_static,static_partition,project_frozen_static_reference,single_head,True,True,True,True,single_tenant_multi_job,differentiated_service,9452.168575773616,92.08500599861145,0.35639184946508023,90.47396945953369,36.317462682724,83.58954191207886,29.100563526153564,0.677734375,0.0,0.9141706832355588,128712.0,unavailable:requires_complete_registered_ready_ledger,0,0.0,0.0,[],0.0,[],0.0,0.0,0.0,18.322,16.9
1,active_set_project_bounded_ready_fifo,shared_fifo,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12938.661683466402,67.2777464389801,0.4862313713276332,65.78869962692261,46.325008392333984,58.69201683998108,39.582436323165894,0.541015625,0.392578125,0.7776567959871908,303824.0,ok:registered_backlog_completion_accounted_empirical,1682,146591.0,151912.0,"[0.0, 151912.0]",12.016813278198242,"[7.0951457023620605, 12.016813278198242]",255.0,130378.0,482050.0,16.992,10.3
1,active_set_project_bounded_ready_drr,shared_drr,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12919.314168493147,67.3699848651886,0.48687489598905614,65.80862045288086,34.57990765571594,58.53856039047241,27.453789472579956,0.62109375,0.0,0.848321498112058,144207.0,ok:registered_backlog_completion_accounted_empirical,1460,67173.0,72103.5,"[0.0, 72103.5]",7.073286294937134,"[7.073286294937134, 4.238328218460083]",255.0,130546.0,481456.0,17.215999999999998,10.3
1,active_set_project_bounded_ready_vtc_style,external_vtc,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12890.973008175783,67.51041984558105,0.4857715312769535,65.68810820579529,33.281221866607666,58.64090943336487,26.314377307891846,0.623046875,0.0,0.8578186497501753,138708.0,ok:registered_backlog_completion_accounted_empirical,1424,64740.0,69354.0,"[0.0, 69354.0]",7.067339658737183,"[7.067339658737183, 4.624911069869995]",255.0,130528.0,481919.0,17.551,10.3
1,active_set_project_bounded_ready_strict_priority,foreground_strict_priority,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12068.395608921466,72.15308713912964,0.4555049857356279,70.69504690170288,20.121315717697144,63.371267795562744,13.549523115158081,0.794921875,0.0,0.9803649371972594,125182.0,ok:registered_backlog_completion_accounted_empirical,1214,56755.0,62591.0,"[9789.5, 62591.0]",17.300034523010254,"[17.300034523010254, 3.4577348232269287]",253.0,130068.0,470713.0,16.213,10.3
1,active_set_project_bounded_ready_guarded_debt_0125we,saor_bounded_ready,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12272.856700469161,70.89034128189087,0.46321591344428886,68.9905002117157,24.330333948135376,61.40262007713318,17.743479013442993,0.65625,0.0,0.9425019018918928,124769.0,ok:registered_backlog_completion_accounted_empirical,1222,57714.0,62384.5,"[7049.5, 62384.5]",8.665201663970947,"[8.665201663970947, 3.6157946586608887]",252.0,129904.0,471421.0,16.605999999999998,10.3
2,active_set_project_frozen_static,static_partition,project_frozen_static_reference,single_head,True,True,True,True,single_tenant_multi_job,differentiated_service,9529.748051856239,91.3333694934845,0.35927294583991976,89.64947462081909,35.71344518661499,82.82853674888611,29.025249004364014,0.66796875,0.0,0.9161841654142534,126990.0,unavailable:requires_complete_registered_ready_ledger,0,0.0,0.0,[],0.0,[],0.0,0.0,0.0,16.699,10.2
2,active_set_project_bounded_ready_fifo,shared_fifo,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12899.106691500627,67.50909352302551,0.48479320952676824,65.73787188529968,46.0773401260376,58.68994951248169,38.8085355758667,0.537109375,0.390625,0.7787840277297037,299933.0,ok:registered_backlog_completion_accounted_empirical,1680,146189.0,149966.5,"[0.0, 149966.5]",11.54841423034668,"[7.064787864685059, 11.54841423034668]",255.0,130412.0,481874.0,15.394,10.3
2,active_set_project_bounded_ready_drr,shared_drr,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12879.312960799618,67.59910273551941,0.48531667769206677,65.79349184036255,33.855387449264526,58.68395447731018,27.01283049583435,0.62109375,0.0,0.8539734504528578,142824.0,ok:registered_backlog_completion_accounted_empirical,1440,65541.5,71412.0,"[0.0, 71412.0]",7.061793327331543,"[7.061793327331543, 3.887308359146118]",255.0,130430.0,481394.0,19.051,10.4
2,active_set_project_bounded_ready_vtc_style,external_vtc,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12910.715297640287,67.4333667755127,0.48649377446748016,65.66568613052368,33.21269130706787,58.493955850601196,26.012121200561523,0.623046875,0.0,0.8587432835852329,139976.0,ok:registered_backlog_completion_accounted_empirical,1424,65894.5,69988.0,"[0.0, 69988.0]",7.067521333694458,"[7.067521333694458, 4.986003160476685]",255.0,130503.0,481302.0,18.191,10.9
2,active_set_project_bounded_ready_strict_priority,foreground_strict_priority,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12004.457309026204,72.55013513565063,0.4532452682338315,70.85683631896973,20.146604299545288,63.489113569259644,13.510138750076294,0.798828125,0.0,0.9801994838208818,124748.0,ok:registered_backlog_completion_accounted_empirical,1214,57044.5,62374.0,"[9659.5, 62374.0]",17.276259660720825,"[17.276259660720825, 3.4800424575805664]",253.0,129945.0,472060.0,14.007,11.4
2,active_set_project_bounded_ready_guarded_debt_0125we,saor_bounded_ready,project_internal_selector_ablation,bounded_concrete_pre_registration,True,True,True,True,single_tenant_multi_job,differentiated_service,12286.965568661162,70.8137412071228,0.46374560233246054,69.13109016418457,24.63689947128296,61.631229400634766,17.952195644378662,0.65625,0.0,0.9403359516048955,125652.0,ok:registered_backlog_completion_accounted_empirical,1224,57673.5,62826.0,"[6434.0, 62826.0]",8.675273895263672,"[8.675273895263672, 3.561004161834717]",252.0,129907.0,471305.0,16.828,11.9
