system,scenario,formal_repeats,request_p99_status,throughput_scope,short_manifest_sha256,short_jct_s_mean,short_jct_s_sd,short_jct_s_cv,short_p99_s_mean,short_p99_s_sd,short_p99_s_cv,short_work_per_s_mean,short_work_per_s_sd,short_work_per_s_cv,group_service_tokens_per_s_mean,group_service_tokens_per_s_sd,group_service_tokens_per_s_cv,group_gpu_util_pct_mean,group_gpu_util_pct_sd,group_gpu_util_pct_cv,group_mfu_fraction_mean,group_mfu_fraction_sd,group_mfu_fraction_cv,group_running_mean_mean,group_running_mean_sd,group_running_mean_cv,group_waiting_mean_mean,group_waiting_mean_sd,group_waiting_mean_cv,group_kv_mean_mean,group_kv_mean_sd,group_kv_mean_cv,group_gpu_energy_j_mean,group_gpu_energy_j_sd,group_gpu_energy_j_cv,short_long_overlap_s_mean,short_long_overlap_s_sd,short_long_overlap_s_cv
daft_native,single_short_native,3,unavailable:native_adapter_boundary,short_job_group,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,11.059022267659506,0.4486594727558472,0.040569542396879536,,,,,,,14726.935074833653,604.6277093361176,0.041055909207432094,60.46142093200917,3.183027075998543,0.05264558832611559,0.44044840295473503,0.018225739294904904,0.04137996453758959,250.09239316239317,12.49172933572702,0.04994845775903201,0.0,0.0,0.0,0.24457164434163095,0.012886134535777043,0.05268858771614992,6513.332195897854,135.27386403270745,0.020768764737334286,0.0,0.0,0.0
daft_native,staggered_short_long_native,3,unavailable:native_adapter_boundary,group_all_active_jobs,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,20.17384608586629,0.30586711955895945,0.015161567023813502,,,,,,,14404.143026640624,85.39288618881787,0.005928355892529168,89.62463794572228,0.7522048194819899,0.008392835237309788,0.587244955478467,0.0020332821961747127,0.003462408961040907,218.71942110177403,0.5470121601028736,0.0025009766272577096,167.17852474323064,0.7966477823611906,0.0047652518981415905,0.7242525723504627,0.003408091138418422,0.004705666598266856,48108.79327517372,93.84923705943882,0.001950770964522804,15.173843701680502,0.30587188957324973,0.020157838421610633
daft_ray,single_short_native,3,unavailable:native_adapter_boundary,short_job_group,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,14.735908508300781,3.0198917115115824,0.2049342061136216,,,,,,,11327.928982445253,2109.2847539177856,0.18620215197204334,38.75280703679321,5.926219069891753,0.15292360794058618,0.33881860023082316,0.0632452557371726,0.18666406063328936,162.30238095238096,23.09972550906405,0.1423252411549122,0.0,0.0,0.0,0.16100319571363192,0.021911336844388105,0.13609255858101518,6429.35503888381,606.3679623641095,0.09431240905143419,0.0,0.0,0.0
daft_ray,staggered_short_long_native,3,unavailable:native_adapter_boundary,group_all_active_jobs,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,30.18538188934326,1.0470301852599324,0.034686663534628966,,,,,,,12341.624963963974,145.8738675403601,0.011819664587628764,77.19144495809014,0.661413954807797,0.008568487805441406,0.5085091690304704,0.00627213203702975,0.012334353870134282,190.16774342234513,0.6406589204798637,0.003368914774663014,147.15997944718987,1.257458005655206,0.008544836784966118,0.6240008844574357,0.0029555535943998797,0.004736457380136107,50181.721161218455,443.9754417956777,0.008847353807760418,25.185386419296265,1.0470331637496362,0.041573043443456234
project,single_short_full_pool,3,observed,group_all_active_jobs,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,71.24158318837483,0.013155092104592998,0.0001846546850286679,4.922478199005127,0.0182560978356177,0.0037087209120209826,2073.9948406634253,1.6513135743947944,0.0007961994610683678,2218.311459602975,4.541213586837273,0.0020471487748839573,75.23044217687075,0.6698084505329719,0.00890342301801466,0.06633243949322451,0.0001531505918106593,0.002308834003101948,26.098639455782312,0.3471387978822608,0.013301030441468093,0.0,0.0,0.0,0.029788109973779595,0.0004532757595782211,0.015216667320525146,,,,0.0,0.0,0.0
project,single_short_half_pool,3,observed,group_all_active_jobs,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,71.23968958854675,0.013665065394343411,0.00019181814902995243,4.921821117401123,0.01278390888810324,0.002597394050528506,2073.918969960043,2.310347794041673,0.0011140009940148168,2228.846163677577,13.949865920370856,0.0062587836467608415,75.46679148611005,0.39623988616260236,0.0052505198426983845,0.06664633999542378,0.0004413771694184787,0.006622676795886849,26.28324109869277,0.308392557124134,0.011733429525153665,0.0,0.0,0.0,0.0300259860040093,0.0005105991819680325,0.017005242788691546,,,,0.0,0.0,0.0
project,staggered_shared_work,3,observed,group_all_active_jobs,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,77.61613702774048,0.16597920871815675,0.0021384626325687242,13.454699595769247,0.12235915846220341,0.00909415759090441,1902.2224224642991,4.718486536446215,0.0024805125208930564,8506.808433708527,19.362319672681423,0.0022760968256858296,94.60182847644279,0.08638707797341594,0.0009131649923122528,0.32010379257781013,0.0007336021468197271,0.002291763371224053,77.68444236663031,0.3664077480993853,0.0047166168274740345,0.04784278367728578,0.014637818834156166,0.3059566711856219,0.29040137547902173,0.0012936407084072885,0.004454664535501622,,,,72.61613702774048,0.16597920871815675,0.002285706944928097
project,staggered_static_partition,3,observed,group_all_active_jobs,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,73.93623812993367,0.023295191268625,0.0003150713622687514,9.390597740809122,0.04064161393108234,0.004327904895176623,1999.8269786353396,1.4729380683112456,0.0007365327521065661,7028.589347663404,4.568125160314973,0.0006499348495631785,95.41070901802912,0.2545555146727918,0.0026679973065150387,0.2650375363923353,0.00022910891192629351,0.00086443948674177,51.62170377182784,0.16888332309840326,0.0032715565500294488,0.0029325513196480943,0.0050793278814336585,1.7320508075688772,0.19244032719119633,0.0005311202196164723,0.0027599216202162523,,,,68.93623812993367,0.023295191268625,0.0003379237379434214
ray_data_http,single_short_native,3,unavailable:native_adapter_boundary,short_job_group,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,128.91225250562033,2.0314781657555536,0.015758611972643832,,,,,,,1262.0684337044097,21.730821153348497,0.017218417458999765,88.3571996169068,1.6538369371928692,0.018717625098616346,0.03883359613831438,0.0005679364156027927,0.0146248731016299,12.860853590705235,0.17515370973521177,0.01361913565844482,0.0,0.0,0.0,0.013019856185690305,0.0001951475820214858,0.014988459107249287,79227.85835049975,1916.0446111448473,0.024183975826638778,0.0,0.0,0.0
ray_data_http,staggered_short_long_native,3,unavailable:native_adapter_boundary,group_all_active_jobs,85b3f90cdc4045ae9fdb48f1d30772649c25d86375b72bab0fbd903f2a01c971,171.14128772417703,4.288024100312723,0.025055462403809854,,,,,,,4798.538237040465,28.83533176845722,0.006009190787701554,89.83726468675752,0.15024407303358375,0.001672402577676995,0.17669660227157885,0.0026976609230635693,0.015267191832683477,25.020006294626853,0.23252894347461037,0.009293720422626228,0.0,0.0,0.0,0.08935829078117195,0.0008587409769170058,0.009610087317135044,122614.51238365291,463.21521204329446,0.0037778171852441405,166.14128557840982,4.288025805146829,0.025809513813609623
