scenario,long_launch_offset_s,pre_long_duration_s,overlap_duration_s,long_drain_duration_s,group_end_s_from_short_start,pre_running_mean,overlap_running_mean,running_ratio,pre_waiting_mean,overlap_waiting_mean,pre_kv_pct_mean,overlap_kv_pct_mean,pre_gpu_util_pct_mean,overlap_gpu_util_pct_mean,short_completed_pre_mean,short_completed_overlap_mean,short_completed_after_short_end_mean,pre_short_work_per_s_mean,overlap_short_work_per_s_mean,interpretation_boundary
staggered_static_partition,5,5,68.93623813,49.91476814,123.851006269,6.238095238,67.613105848,10.838742159,0,0,0.571754681,16.497009205,87.80952381,94.803464147,6,505,1,287.466666667,2117.759191432,phase_state_not_causal_pre_vs_overlap_due_to_arrival_mix
staggered_shared_work,5,5,72.616137028,24.676480611,102.292617639,6.30952381,86.733773634,13.746484878,0,0.033773634,0.576185514,23.981225354,89.630952381,95.190727791,6,505,1,287.6,2008.448494129,phase_state_not_causal_pre_vs_overlap_due_to_arrival_mix
