scenario_id,stage,requests,mean_s,p99_s
single_short_full_pool_all_at_t0,arrival_to_flush_s,1536,2.809379992696146,7.237921714782715
single_short_full_pool_all_at_t0,flush_to_submit_s,1536,0.15426968317478895,1.4000678181648258
single_short_full_pool_all_at_t0,submit_to_service_s,1536,0.0021432174059251943,0.006003093719482423
single_short_full_pool_all_at_t0,service_s,1536,5.127415758557618,6.935814762115479
single_short_full_pool_all_at_t0,request_e2e_s,1536,8.109411683709672,12.781432342529296
single_short_half_pool_all_at_t0,arrival_to_flush_s,1536,6.150375567221393,15.035848140716553
single_short_half_pool_all_at_t0,flush_to_submit_s,1536,0.3480895278044045,1.9183393478393556
single_short_half_pool_all_at_t0,submit_to_service_s,1536,0.0021482453060646853,0.004328310489654543
single_short_half_pool_all_at_t0,service_s,1536,4.0968670605992275,4.999042344093323
single_short_half_pool_all_at_t0,request_e2e_s,1536,10.601663758046925,19.67453216314316
staggered_shared_work_all_at_t0,arrival_to_flush_s,1536,2.980204672397425,7.711019039154053
staggered_shared_work_all_at_t0,flush_to_submit_s,1536,0.15978870494291186,1.718727779388428
staggered_shared_work_all_at_t0,submit_to_service_s,1536,0.002242555065701405,0.004737901687622071
staggered_shared_work_all_at_t0,service_s,1536,5.877711868689706,8.926658654212952
staggered_shared_work_all_at_t0,request_e2e_s,1536,9.059605344974747,16.308969533443452
staggered_static_partition_all_at_t0,arrival_to_flush_s,1536,8.957634733989835,23.279403686523438
staggered_static_partition_all_at_t0,flush_to_submit_s,1536,0.5828744430715839,3.8486966371536253
staggered_static_partition_all_at_t0,submit_to_service_s,1536,0.002326768512527148,0.004358303546905522
staggered_static_partition_all_at_t0,service_s,1536,6.1591950847456856,8.929151558876038
staggered_static_partition_all_at_t0,request_e2e_s,1536,15.70704652927816,30.985273325443266
