doc_id,cosine_postnorm,max_abs_postnorm,overlap_at1,overlap_at5,overlap_at10
212,0.999997,0.000425,1.0000,1.0000,1.0000
213,0.999955,0.002451,1.0000,1.0000,1.0000
214,0.999996,0.000443,1.0000,1.0000,1.0000
215,0.999973,0.001139,1.0000,1.0000,1.0000
216,0.999985,0.000923,1.0000,1.0000,1.0000
217,0.999989,0.001336,1.0000,1.0000,1.0000
218,0.999978,0.001208,1.0000,1.0000,1.0000
219,0.999990,0.000777,1.0000,1.0000,1.0000
22,0.999992,0.000812,1.0000,1.0000,1.0000
220,0.999994,0.001011,1.0000,1.0000,1.0000
221,0.999986,0.001028,1.0000,1.0000,1.0000
222,0.999993,0.000680,1.0000,1.0000,1.0000
223,0.999984,0.000980,1.0000,1.0000,1.0000
224,0.999966,0.002060,1.0000,1.0000,1.0000
225,0.999994,0.000828,1.0000,1.0000,1.0000
226,0.999982,0.001131,1.0000,1.0000,1.0000
227,0.999986,0.001334,1.0000,1.0000,1.0000
228,0.999974,0.001970,1.0000,1.0000,1.0000
229,0.999974,0.001277,1.0000,1.0000,1.0000
23,0.999982,0.001475,1.0000,1.0000,1.0000
230,0.999997,0.000536,1.0000,1.0000,1.0000
231,0.999978,0.001733,1.0000,1.0000,1.0000
232,0.999963,0.002269,1.0000,1.0000,1.0000
233,0.999997,0.000421,1.0000,1.0000,1.0000
234,0.999988,0.000973,1.0000,1.0000,1.0000
235,0.999994,0.000836,1.0000,1.0000,1.0000
236,0.999983,0.000912,1.0000,1.0000,1.0000
237,0.999989,0.000781,1.0000,1.0000,1.0000
238,0.999948,0.002811,1.0000,1.0000,1.0000
239,0.999985,0.001132,1.0000,1.0000,1.0000
24,0.999996,0.000599,1.0000,1.0000,1.0000
240,0.999994,0.000607,1.0000,1.0000,1.0000
241,0.999989,0.000668,1.0000,1.0000,1.0000
242,0.999916,0.001977,1.0000,1.0000,1.0000
243,0.999996,0.000465,1.0000,1.0000,1.0000
244,0.999986,0.000964,1.0000,1.0000,1.0000
245,0.999968,0.002340,1.0000,1.0000,1.0000
246,0.999983,0.001125,1.0000,1.0000,1.0000
247,0.999985,0.001152,1.0000,1.0000,1.0000
248,0.999976,0.002292,1.0000,1.0000,1.0000
249,0.999977,0.001550,1.0000,1.0000,1.0000
25,0.999992,0.001064,1.0000,1.0000,1.0000
250,0.999996,0.000459,1.0000,1.0000,1.0000
251,0.999993,0.000746,1.0000,1.0000,1.0000
252,0.999944,0.002477,1.0000,1.0000,1.0000
253,0.999993,0.000878,1.0000,0.8000,1.0000
254,0.999971,0.002153,1.0000,1.0000,1.0000
255,0.999992,0.000725,1.0000,1.0000,1.0000
26,0.999989,0.001272,1.0000,1.0000,1.0000
27,0.999998,0.000336,1.0000,1.0000,0.9000
28,0.999991,0.000704,1.0000,1.0000,1.0000
29,0.999980,0.001099,1.0000,1.0000,1.0000
3,0.999966,0.002523,1.0000,1.0000,1.0000
30,0.999987,0.001097,1.0000,1.0000,1.0000
31,0.999965,0.002064,1.0000,1.0000,1.0000
32,0.999969,0.001481,1.0000,1.0000,1.0000
33,0.999987,0.001460,1.0000,1.0000,1.0000
34,0.999743,0.006567,1.0000,1.0000,1.0000
35,0.999991,0.000664,1.0000,1.0000,1.0000
36,0.999991,0.000663,1.0000,1.0000,1.0000
37,0.999996,0.000606,1.0000,1.0000,1.0000
38,0.999992,0.000966,1.0000,1.0000,1.0000
39,0.999979,0.001583,1.0000,1.0000,1.0000
4,0.999986,0.001387,1.0000,1.0000,1.0000
40,0.999996,0.000425,1.0000,1.0000,1.0000
41,0.999974,0.001582,1.0000,1.0000,1.0000
42,0.999981,0.001581,1.0000,1.0000,1.0000
43,0.999976,0.001675,1.0000,1.0000,1.0000
44,0.999727,0.004901,1.0000,1.0000,0.9000
45,0.999971,0.001905,1.0000,1.0000,1.0000
46,0.999995,0.000610,1.0000,1.0000,1.0000
47,0.999986,0.001230,1.0000,1.0000,1.0000
48,0.999990,0.000784,1.0000,1.0000,1.0000
49,0.999971,0.001477,1.0000,0.8000,1.0000
5,0.999987,0.001258,1.0000,1.0000,1.0000
50,0.999980,0.001703,1.0000,1.0000,1.0000
51,0.999992,0.000790,1.0000,1.0000,1.0000
52,0.999934,0.001502,1.0000,1.0000,0.9000
53,0.999958,0.001804,1.0000,1.0000,1.0000
54,0.999979,0.001747,1.0000,1.0000,1.0000
55,0.999986,0.000725,1.0000,1.0000,1.0000
56,0.999993,0.001042,1.0000,1.0000,1.0000
57,0.999993,0.001103,1.0000,1.0000,1.0000
58,0.999986,0.001185,1.0000,1.0000,1.0000
59,0.999994,0.000544,1.0000,1.0000,1.0000
6,0.999986,0.000995,1.0000,1.0000,1.0000
60,0.999997,0.000551,1.0000,1.0000,1.0000
61,0.999990,0.000834,1.0000,1.0000,1.0000
62,0.999809,0.005912,1.0000,1.0000,1.0000
63,0.999993,0.000659,1.0000,1.0000,1.0000
64,0.999990,0.001002,1.0000,1.0000,1.0000
65,0.999981,0.001288,1.0000,1.0000,1.0000
66,0.999979,0.001323,0.0000,1.0000,1.0000
67,0.999987,0.001693,1.0000,1.0000,1.0000
68,0.999985,0.000846,1.0000,1.0000,1.0000
69,0.999979,0.001480,1.0000,1.0000,1.0000
7,0.999990,0.001222,1.0000,1.0000,1.0000
70,0.999994,0.000653,1.0000,1.0000,1.0000
71,0.999989,0.000981,1.0000,1.0000,1.0000
72,0.999977,0.001475,1.0000,1.0000,1.0000
73,0.999994,0.000573,1.0000,1.0000,1.0000
74,0.999987,0.001078,1.0000,1.0000,1.0000
75,0.999982,0.001477,1.0000,1.0000,1.0000
76,0.999991,0.000689,1.0000,1.0000,1.0000
77,0.999990,0.000837,1.0000,1.0000,1.0000
78,0.999987,0.001030,1.0000,1.0000,1.0000
79,0.999983,0.001315,1.0000,1.0000,1.0000
8,0.999978,0.001473,1.0000,1.0000,1.0000
80,0.999823,0.004661,1.0000,1.0000,1.0000
81,0.999974,0.001745,1.0000,1.0000,0.9000
82,0.999993,0.000545,1.0000,1.0000,1.0000
83,0.999975,0.002491,1.0000,0.8000,1.0000
84,0.999987,0.000869,1.0000,1.0000,1.0000
85,0.999932,0.002534,1.0000,1.0000,1.0000
86,0.999985,0.001966,1.0000,1.0000,1.0000
87,0.999992,0.000875,1.0000,1.0000,1.0000
88,0.999985,0.001148,1.0000,1.0000,1.0000
89,0.999987,0.000973,1.0000,1.0000,1.0000
9,0.999995,0.000437,1.0000,1.0000,1.0000
90,0.999993,0.000692,1.0000,1.0000,1.0000
91,0.999993,0.000748,1.0000,1.0000,1.0000
92,0.999964,0.002943,1.0000,1.0000,1.0000
93,0.999940,0.002169,1.0000,1.0000,1.0000
94,0.999892,0.003202,1.0000,1.0000,1.0000
95,0.999987,0.000922,1.0000,1.0000,1.0000
96,0.999958,0.002985,1.0000,1.0000,1.0000
97,0.999989,0.001139,1.0000,1.0000,1.0000
98,0.999983,0.001262,1.0000,1.0000,1.0000
99,0.999987,0.001088,1.0000,1.0000,1.0000
