doc_id,cosine_postnorm,max_abs_postnorm,overlap_at1,overlap_at5,overlap_at10
0,0.999986,0.002266,1.0000,1.0000,1.0000
1,0.999997,0.000759,1.0000,1.0000,1.0000
10,0.999958,0.001671,1.0000,1.0000,1.0000
100,0.999994,0.000562,1.0000,1.0000,1.0000
101,0.999989,0.001468,1.0000,1.0000,1.0000
102,0.999972,0.001444,1.0000,1.0000,1.0000
103,0.999970,0.001777,1.0000,1.0000,0.9000
104,0.999983,0.001917,1.0000,1.0000,0.9000
105,0.999931,0.003150,1.0000,1.0000,1.0000
106,0.999989,0.000935,1.0000,1.0000,1.0000
107,0.999978,0.001197,1.0000,1.0000,1.0000
108,0.999990,0.001024,1.0000,1.0000,1.0000
109,0.999982,0.001418,1.0000,1.0000,0.9000
11,0.999968,0.002976,1.0000,1.0000,1.0000
110,0.999950,0.001532,1.0000,1.0000,1.0000
111,0.999982,0.001324,1.0000,1.0000,1.0000
112,0.999986,0.000763,1.0000,1.0000,1.0000
113,0.999994,0.000484,1.0000,1.0000,1.0000
114,0.999982,0.002267,1.0000,1.0000,1.0000
115,0.999828,0.005350,1.0000,1.0000,1.0000
116,0.999984,0.000976,1.0000,1.0000,1.0000
117,0.999975,0.001980,1.0000,1.0000,1.0000
118,0.999993,0.000867,1.0000,1.0000,1.0000
119,0.999992,0.001455,1.0000,1.0000,1.0000
12,0.999789,0.004731,1.0000,1.0000,1.0000
120,0.999967,0.002072,1.0000,1.0000,1.0000
121,0.999972,0.001372,1.0000,1.0000,1.0000
122,0.999893,0.003941,1.0000,1.0000,1.0000
123,0.999971,0.002384,1.0000,1.0000,1.0000
124,0.999957,0.003047,1.0000,1.0000,1.0000
125,0.999906,0.003303,1.0000,1.0000,1.0000
126,0.999969,0.003709,1.0000,1.0000,1.0000
127,0.999979,0.001281,1.0000,1.0000,1.0000
128,0.999987,0.000953,1.0000,1.0000,0.9000
129,0.999974,0.001235,1.0000,1.0000,1.0000
13,0.999995,0.000635,1.0000,1.0000,1.0000
130,0.999989,0.000766,1.0000,1.0000,1.0000
131,0.999990,0.000839,1.0000,1.0000,0.9000
132,0.999976,0.001296,1.0000,1.0000,1.0000
133,0.999988,0.000978,0.0000,1.0000,1.0000
134,0.999989,0.000767,1.0000,1.0000,1.0000
135,0.999990,0.001032,1.0000,1.0000,1.0000
136,0.999978,0.001269,1.0000,1.0000,1.0000
137,0.999982,0.001373,1.0000,1.0000,1.0000
138,0.999991,0.001146,1.0000,1.0000,1.0000
139,0.999984,0.001285,1.0000,1.0000,1.0000
14,0.999974,0.002674,1.0000,1.0000,1.0000
140,0.999993,0.001160,1.0000,1.0000,1.0000
141,0.999986,0.001402,1.0000,1.0000,1.0000
142,0.999984,0.001181,1.0000,1.0000,1.0000
143,0.999989,0.000818,1.0000,1.0000,1.0000
144,0.999971,0.001512,1.0000,1.0000,1.0000
145,0.999975,0.001105,1.0000,1.0000,1.0000
146,0.999991,0.000794,1.0000,1.0000,1.0000
147,0.999974,0.001494,1.0000,1.0000,1.0000
148,0.999974,0.001356,1.0000,1.0000,1.0000
149,0.999985,0.001296,1.0000,1.0000,1.0000
15,0.999996,0.000553,1.0000,1.0000,1.0000
150,0.999985,0.001451,1.0000,1.0000,1.0000
151,0.999980,0.001302,1.0000,1.0000,1.0000
152,0.999991,0.000860,1.0000,1.0000,1.0000
153,0.999987,0.001020,1.0000,1.0000,1.0000
154,0.999970,0.002557,1.0000,1.0000,1.0000
155,0.999990,0.000663,1.0000,1.0000,0.9000
156,0.999983,0.000803,1.0000,1.0000,1.0000
157,0.999962,0.001824,1.0000,1.0000,1.0000
158,0.999965,0.002052,1.0000,1.0000,1.0000
159,0.999985,0.001221,0.0000,1.0000,1.0000
16,0.999985,0.000681,1.0000,1.0000,1.0000
160,0.999993,0.000557,1.0000,1.0000,1.0000
161,0.999984,0.000901,1.0000,1.0000,1.0000
162,0.999953,0.001550,1.0000,1.0000,1.0000
163,0.999991,0.000658,1.0000,1.0000,1.0000
164,0.999981,0.001483,1.0000,1.0000,1.0000
165,0.999931,0.004458,1.0000,1.0000,1.0000
166,0.999983,0.001611,1.0000,1.0000,1.0000
167,0.999992,0.001285,1.0000,1.0000,1.0000
168,0.999920,0.002623,1.0000,1.0000,1.0000
169,0.999940,0.001539,1.0000,1.0000,1.0000
17,0.999995,0.000703,1.0000,1.0000,1.0000
170,0.999972,0.002348,1.0000,1.0000,1.0000
171,0.999993,0.000963,1.0000,1.0000,1.0000
172,0.999991,0.000923,1.0000,1.0000,1.0000
173,0.999964,0.001831,1.0000,1.0000,1.0000
174,0.999958,0.001735,1.0000,1.0000,1.0000
175,0.999952,0.002756,1.0000,1.0000,1.0000
176,0.999984,0.001448,1.0000,1.0000,1.0000
177,0.999993,0.000709,1.0000,1.0000,1.0000
178,0.999983,0.000819,1.0000,1.0000,1.0000
179,0.999974,0.001766,1.0000,1.0000,1.0000
18,0.999980,0.001557,1.0000,1.0000,1.0000
180,0.999990,0.001083,1.0000,1.0000,1.0000
181,0.999990,0.001032,1.0000,1.0000,1.0000
182,0.999983,0.000903,1.0000,1.0000,0.9000
183,0.999980,0.002007,1.0000,1.0000,1.0000
184,0.999992,0.000566,1.0000,1.0000,1.0000
185,0.999946,0.001573,1.0000,1.0000,1.0000
186,0.999977,0.001745,1.0000,1.0000,1.0000
187,0.999975,0.001413,1.0000,1.0000,1.0000
188,0.999970,0.001332,1.0000,1.0000,1.0000
189,0.999975,0.001360,1.0000,1.0000,1.0000
19,0.999981,0.001769,1.0000,1.0000,1.0000
190,0.999986,0.001130,1.0000,1.0000,1.0000
191,0.999993,0.000710,1.0000,1.0000,1.0000
192,0.999993,0.000873,1.0000,1.0000,1.0000
193,0.999983,0.001795,1.0000,1.0000,1.0000
194,0.999977,0.001159,1.0000,1.0000,1.0000
195,0.999982,0.001488,1.0000,1.0000,1.0000
196,0.999981,0.001549,1.0000,1.0000,1.0000
197,0.999962,0.002319,1.0000,1.0000,1.0000
198,0.999985,0.001349,1.0000,1.0000,1.0000
199,0.999993,0.000575,1.0000,1.0000,1.0000
2,0.999958,0.002049,1.0000,1.0000,1.0000
20,0.999990,0.001119,1.0000,1.0000,1.0000
200,0.999992,0.000891,1.0000,1.0000,1.0000
201,0.999895,0.003135,1.0000,1.0000,0.9000
202,0.999993,0.000833,1.0000,1.0000,1.0000
203,0.999944,0.002644,1.0000,1.0000,1.0000
204,0.999974,0.001167,1.0000,1.0000,1.0000
205,0.999984,0.001671,1.0000,1.0000,0.9000
206,0.999988,0.001605,1.0000,1.0000,1.0000
207,0.999992,0.000968,1.0000,1.0000,1.0000
208,0.999989,0.001275,1.0000,1.0000,1.0000
209,0.999984,0.001041,1.0000,1.0000,1.0000
21,0.999993,0.000918,1.0000,0.8000,1.0000
210,0.999988,0.000786,1.0000,1.0000,1.0000
211,0.999992,0.000781,1.0000,1.0000,1.0000
