arm,phase,repeat_index,workload_name,rows,batch_size,cpu_workers,gpu_workers,model_workers,gpus_per_model_worker,source_shards,source_cpu_threads,max_active_batches,ray_cluster_num_cpus,host_cpu_slots_detected,declared_external_cpus,declared_source_cpus,declared_preprocess_cpus,declared_model_cpus,declared_total_cpus,resource_budget_semantics,torch_intraop_threads_per_worker,torch_interop_threads_per_worker,worker_setup_s,worker_setup_accounting,operator_e2e_s,first_output_s,first_output_semantics,images_per_s,batch_service_p50_s,batch_service_p95_s,batch_service_p99_s,batch_service_semantics,batch_completion_wall_p50_s,batch_completion_wall_p95_s,batch_completion_wall_p99_s,batch_actor_service_p50_s,batch_actor_service_p95_s,batch_actor_service_p99_s,batch_unattributed_wait_p50_s,batch_unattributed_wait_p95_s,batch_unattributed_wait_p99_s,batch_preprocess_p50_s,batch_preprocess_p95_s,batch_preprocess_p99_s,batch_host_copy_p50_s,batch_host_copy_p95_s,batch_host_copy_p99_s,batch_h2d_p50_s,batch_h2d_p95_s,batch_h2d_p99_s,batch_forward_p50_s,batch_forward_p95_s,batch_forward_p99_s,batch_d2h_p50_s,batch_d2h_p95_s,batch_d2h_p99_s,detailed_stage_timing,input_encoded_bytes,avg_encoded_bytes,telemetry_encoded_bytes,input_tensor_bytes,device_input_bytes,output_embedding_bytes,logical_h2d_effective_gbps,logical_d2h_effective_gbps,submitted_batches,pending_batches_peak,output_rows,exactly_once,embedding_checksum,embedding_sum_all,embedding_digest_xor_rounded5,max_norm_error,cpu_system_mean_pct,cpu_system_peak_pct,cpu_busy_cores_mean,cpu_busy_cores_peak,cpu_per_core_peak_pct,cpu_logical_count,cpu_samples,cpu_core_seconds_estimate,cpu_core_seconds_per_image,host_memory_mean_pct,host_memory_peak_pct,host_memory_available_min_mib,host_disk_read_bytes,host_disk_write_bytes,host_net_recv_bytes,host_net_sent_bytes,host_context_switches,host_interrupts,gpu_util_mean_pct,gpu_util_peak_pct,gpu_active_util_mean_pct,gpu_active_util_peak_pct,gpu_active_device_count,gpu_active_devices_json,gpu_active_power_mean_w,gpu_active_power_peak_w,gpu_energy_estimate_j,gpu_active_sm_clock_mean_mhz,gpu_active_memory_clock_mean_mhz,gpu_active_pcie_generation,gpu_active_pcie_width,gpu_active_pcie_generation_max,gpu_active_pcie_width_max,gpu_memory_peak_mib,gpu_samples,gpu_per_device_json,gpu_seconds,images_per_gpu_s,images_per_joule,engine_stats_text,engine_stats_semantics,model_revision,processor_revision,dtype,embedding_dimension,daft_version,ray_version,torch_version,transformers_version,gpu_name,model_flops_per_image,gpu_peak_flops_per_s,estimated_e2e_mfu,server_version,pgvector_version,git_commit
project_ray,gate,1,coco_val2017,5000,64,1,2,2,1.0,6,4,8,3,128,4,,1,2,7,host_budget_includes_daft_native_source_threads_plus_ray_actor_slots,1,1,7.0359393283724785,explicit_pre_query_plus_query_wall,34.87323469482362,8.486776417121291,cold_setup_to_first_complete_arrow_record_batch,143.37643306550427,2.7319041416049004,2.896915253251791,2.930575165897608,submission_to_result_includes_dependency_queue_actor_and_return,2.7319041416049004,2.896915253251791,2.930575165897608,0.03958173282444477,0.046264346688985825,0.3886884357780218,2.3640851713716984,2.5207179691642523,2.5556611362844706,0.334696963429451,0.3788479398936033,0.38679310493171215,0.025873316451907158,0.028160182759165764,0.02960473671555519,,,,,,,,,,False,814705164,162941.0328,814705164,3010560000,1505280000,10240000,,,79,8,5000,True,-36.44593177358388,-1004.9082257017658,60ba2cec6fe8e38a3e4d382e1dcd044b,1.7881393432617188e-07,4.243914175724638,12.240625,5.432210144927536,15.668,100.0,128,138,189.43873929565981,0.037887747859131966,5.213768115942029,5.3,977058.265625,294912,18898944,826861839,826848236,617435,371656,1.040983606557377,8.0,1.040983606557377,8.0,2,"[0, 1]",138.3522950819672,150.64,4846.779297646126,2237.090163934426,8985.295081967213,4.0,16.0,4.0,16.0,930.0,122,"{""0"": {""memory_clock_mean_mhz"": 8985.295081967213, ""memory_peak_mib"": 930.0, ""pcie_generation"": 4.0, ""pcie_generation_max"": 4.0, ""pcie_width"": 16.0, ""pcie_width_max"": 16.0, ""power_mean_w"": 71.48934426229509, ""samples"": 61, ""sm_clock_mean_mhz"": 2237.2131147540986, ""util_mean_pct"": 0.8032786885245902, ""util_peak_pct"": 8.0}, ""1"": {""memory_clock_mean_mhz"": 8985.295081967213, ""memory_peak_mib"": 930.0, ""pcie_generation"": 4.0, ""pcie_generation_max"": 4.0, ""pcie_width"": 16.0, ""pcie_width_max"": 16.0, ""power_mean_w"": 66.86295081967214, ""samples"": 61, ""sm_clock_mean_mhz"": 2236.967213114754, ""util_mean_pct"": 1.278688524590164, ""util_peak_pct"": 7.0}}",69.74646938964725,71.68821653275214,1.0316128903225048,,unavailable,/root/autodl-tmp/models/clip-vit-base-patch32,/root/autodl-tmp/models/clip-vit-base-patch32,float16,512,0.7.21,2.56.1,2.11.0+cu130,5.14.1,NVIDIA GeForce RTX 4090,,,,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,c1484f23407be7331a0a523f236b4aa724b76a58
project_ray,gate,2,coco_val2017,5000,64,2,2,2,1.0,6,4,8,4,128,4,,2,2,8,host_budget_includes_daft_native_source_threads_plus_ray_actor_slots,1,1,7.207796657457948,explicit_pre_query_plus_query_wall,23.75668280944228,8.7886448726058,cold_setup_to_first_complete_arrow_record_batch,210.46709425327305,1.5643130242824554,1.889126406982541,1.9386747796088457,submission_to_result_includes_dependency_queue_actor_and_return,1.5643130242824554,1.889126406982541,1.9386747796088457,0.04303629510104656,0.055785927921533585,0.40800431929528713,1.1421601958572865,1.4457589499652386,1.5180556513369083,0.3824982289224863,0.45829401165246964,0.4806711710989475,0.02752874605357647,0.03362349607050419,0.03662871941924095,,,,,,,,,,False,814705164,162941.0328,814705164,3010560000,1505280000,10240000,,,79,8,5000,True,-36.44593177358388,-1004.9082257017658,60ba2cec6fe8e38a3e4d382e1dcd044b,1.7881393432617188e-07,9.416057180851064,15.490625,12.052553191489363,19.828,100.0,128,94,286.32868321414406,0.057265736642828816,5.232978723404255,5.4,976366.890625,4608,8751104,826557337,826547846,553660,412815,1.0,7.0,1.0,7.0,2,"[0, 1]",134.04166666666666,155.43,3205.110720356305,2126.4285714285716,8531.059523809523,4.0,16.0,4.0,16.0,930.0,84,"{""0"": {""memory_clock_mean_mhz"": 8649.404761904761, ""memory_peak_mib"": 930.0, ""pcie_generation"": 4.0, ""pcie_generation_max"": 4.0, ""pcie_width"": 16.0, ""pcie_width_max"": 16.0, ""power_mean_w"": 69.18619047619048, ""samples"": 42, ""sm_clock_mean_mhz"": 2150.0, ""util_mean_pct"": 1.0238095238095237, ""util_peak_pct"": 7.0}, ""1"": {""memory_clock_mean_mhz"": 8412.714285714286, ""memory_peak_mib"": 930.0, ""pcie_generation"": 4.0, ""pcie_generation_max"": 4.0, ""pcie_width"": 16.0, ""pcie_width_max"": 16.0, ""power_mean_w"": 64.85547619047618, ""samples"": 42, ""sm_clock_mean_mhz"": 2102.8571428571427, ""util_mean_pct"": 0.9761904761904762, ""util_peak_pct"": 7.0}}",47.51336561888456,105.23354712663652,1.5600085102346046,,unavailable,/root/autodl-tmp/models/clip-vit-base-patch32,/root/autodl-tmp/models/clip-vit-base-patch32,float16,512,0.7.21,2.56.1,2.11.0+cu130,5.14.1,NVIDIA GeForce RTX 4090,,,,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,c1484f23407be7331a0a523f236b4aa724b76a58
project_ray,gate,4,coco_val2017,5000,64,4,2,2,1.0,6,4,8,6,128,4,,4,2,10,host_budget_includes_daft_native_source_threads_plus_ray_actor_slots,1,1,7.833389587700367,explicit_pre_query_plus_query_wall,16.911293467506766,9.357996607199311,cold_setup_to_first_complete_arrow_record_batch,295.6604123514835,0.7820684146136045,1.1726228166371584,1.1971308514475822,submission_to_result_includes_dependency_queue_actor_and_return,0.7820684146136045,1.1726228166371584,1.1971308514475822,0.0408435445278883,0.048834480345249176,0.40080798603594303,0.3442028071731329,0.7335393317043781,0.7977924402803183,0.38704665564000607,0.4603926409035921,0.4894509855657816,0.026565195992588997,0.03277723863720894,0.03490139730274677,,,,,,,,,,False,814705164,162941.0328,814705164,3010560000,1505280000,10240000,,,79,8,5000,True,-36.44593177358388,-1004.9082257017658,60ba2cec6fe8e38a3e4d382e1dcd044b,1.7881393432617188e-07,10.676923973880598,18.890625,13.666462686567165,24.18,100.0,128,67,231.11756115526828,0.04622351223105366,5.307462686567164,5.5,974899.70703125,0,3269632,822840711,822828325,429815,322412,1.5166666666666666,15.0,1.5166666666666666,15.0,2,"[0, 1]",126.04033333333334,169.32999999999998,2151.5107109467735,1855.0,7349.2,4.0,16.0,4.0,16.0,930.0,60,"{""0"": {""memory_clock_mean_mhz"": 7349.2, ""memory_peak_mib"": 930.0, ""pcie_generation"": 4.0, ""pcie_generation_max"": 4.0, ""pcie_width"": 16.0, ""pcie_width_max"": 16.0, ""power_mean_w"": 65.491, ""samples"": 30, ""sm_clock_mean_mhz"": 1855.0, ""util_mean_pct"": 1.2666666666666666, ""util_peak_pct"": 15.0}, ""1"": {""memory_clock_mean_mhz"": 7349.2, ""memory_peak_mib"": 930.0, ""pcie_generation"": 4.0, ""pcie_generation_max"": 4.0, ""pcie_width"": 16.0, ""pcie_width_max"": 16.0, ""power_mean_w"": 60.54933333333334, ""samples"": 30, ""sm_clock_mean_mhz"": 1855.0, ""util_mean_pct"": 1.7666666666666666, ""util_peak_pct"": 15.0}}",33.82258693501353,147.83020617574175,2.32394845842982,,unavailable,/root/autodl-tmp/models/clip-vit-base-patch32,/root/autodl-tmp/models/clip-vit-base-patch32,float16,512,0.7.21,2.56.1,2.11.0+cu130,5.14.1,NVIDIA GeForce RTX 4090,,,,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,c1484f23407be7331a0a523f236b4aa724b76a58
project_ray,gate,8,coco_val2017,5000,64,8,2,2,1.0,6,4,8,10,128,4,,8,2,14,host_budget_includes_daft_native_source_threads_plus_ray_actor_slots,1,1,7.792518872767687,explicit_pre_query_plus_query_wall,13.789675198495388,9.330298775807023,cold_setup_to_first_complete_arrow_record_batch,362.59012108896934,0.4702231641858816,0.9480753187090158,0.9829175751656294,submission_to_result_includes_dependency_queue_actor_and_return,0.4702231641858816,0.9480753187090158,0.9829175751656294,0.04084644466638565,0.05064263753592968,0.40384319983422756,0.02815304510295391,0.4493803046643734,0.5161204766482115,0.39490083791315556,0.45394266583025455,0.498865220695734,0.026201991364359856,0.0307586882263422,0.03168715909123421,,,,,,,,,,False,814705164,162941.0328,814705164,3010560000,1505280000,10240000,,,79,8,5000,True,-36.44593177358388,-1004.9082257017658,60ba2cec6fe8e38a3e4d382e1dcd044b,1.7881393432617188e-07,9.487659143518519,19.0390625,12.144203703703704,24.37,100.0,128,54,167.46462461843882,0.033492924923687765,5.4222222222222225,5.7,972436.12109375,65536,2564096,825883232,825880199,345643,207365,2.7083333333333335,15.0,2.7083333333333335,15.0,2,"[0, 1]",129.14791666666667,186.57,1799.0256436971367,1708.4375,6640.625,4.0,16.0,4.0,16.0,930.0,48,"{""0"": {""memory_clock_mean_mhz"": 6657.5, ""memory_peak_mib"": 930.0, ""pcie_generation"": 4.0, ""pcie_generation_max"": 4.0, ""pcie_width"": 16.0, ""pcie_width_max"": 16.0, ""power_mean_w"": 66.80791666666667, ""samples"": 24, ""sm_clock_mean_mhz"": 1711.25, ""util_mean_pct"": 2.7916666666666665, ""util_peak_pct"": 15.0}, ""1"": {""memory_clock_mean_mhz"": 6623.75, ""memory_peak_mib"": 930.0, ""pcie_generation"": 4.0, ""pcie_generation_max"": 4.0, ""pcie_width"": 16.0, ""pcie_width_max"": 16.0, ""power_mean_w"": 62.34, ""samples"": 24, ""sm_clock_mean_mhz"": 1705.625, ""util_mean_pct"": 2.625, ""util_peak_pct"": 15.0}}",27.579350396990776,181.29506054448467,2.7792822284203873,,unavailable,/root/autodl-tmp/models/clip-vit-base-patch32,/root/autodl-tmp/models/clip-vit-base-patch32,float16,512,0.7.21,2.56.1,2.11.0+cu130,5.14.1,NVIDIA GeForce RTX 4090,,,,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,c1484f23407be7331a0a523f236b4aa724b76a58
