schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,latency_granularity,slo_target_s,slo_met
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,830:row:1000000,830:batch:0,1000000,default,task-0,0,34,16,12,,submission_aggregate_unavailable,,5158c58cfb5aa9d5,completed,,1784993588.6694596,1784993588.6996171,1784993588.705756,1784993590.70313,1784993590.9783692,0.03015756607055664,1.9973740577697754,0.26996517181396484,backend,2.3089096546173096,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,830:row:1000001,830:batch:0,1000001,default,task-0,0,17,16,15,,submission_aggregate_unavailable,,c46b9b85f0bc8d8f,completed,,1784993588.6734595,1784993588.6996171,1784993588.705756,1784993590.70313,1784993590.9783692,0.026157617568969727,1.9973740577697754,0.26996517181396484,backend,2.3049097061157227,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,830:row:1000002,830:batch:0,1000002,default,task-0,0,62,16,11,,submission_aggregate_unavailable,,77745dfdc2774d38,completed,,1784993588.6807597,1784993588.6996171,1784993588.705756,1784993590.70313,1784993590.9783692,0.018857479095458984,1.9973740577697754,0.26996517181396484,backend,2.297609567642212,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,830:row:1000003,830:batch:0,1000003,default,task-0,0,90,16,6,,submission_aggregate_unavailable,,a659f76f1324db81,completed,,1784993588.6874595,1784993588.6996171,1784993588.705756,1784993590.70313,1784993590.9783692,0.012157678604125977,1.9973740577697754,0.26996517181396484,backend,2.290909767150879,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,830:row:1000004,830:batch:0,1000004,default,task-0,0,4,16,13,,submission_aggregate_unavailable,,5ebb4cd922644752,completed,,1784993588.6903596,1784993588.6996171,1784993588.705756,1784993590.70313,1784993590.9783692,0.00925755500793457,1.9973740577697754,0.26996517181396484,backend,2.2880096435546875,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,830:row:1000005,830:batch:0,1000005,default,task-0,0,5,16,16,,submission_aggregate_unavailable,,63b90a1229052208,completed,,1784993588.6922596,1784993588.6996171,1784993588.705756,1784993590.70313,1784993590.9783692,0.007357597351074219,1.9973740577697754,0.26996517181396484,backend,2.286109685897827,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,830:row:1000006,830:batch:1,1000006,default,task-0,0,266,16,15,,submission_aggregate_unavailable,,31c017e504f691cb,completed,,1784993588.6950595,1784993588.7318103,1784993588.7336578,1784993590.70313,1784993590.976519,0.03675079345703125,1.9694721698760986,0.26996517181396484,backend,2.2814595699310303,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,830:row:1000007,830:batch:1,1000007,default,task-0,0,16,16,12,,submission_aggregate_unavailable,,dc990017302d002a,completed,,1784993588.6956596,1784993588.7318103,1784993588.7336578,1784993590.70313,1784993590.976519,0.03615069389343262,1.9694721698760986,0.26996517181396484,backend,2.2808594703674316,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,830:row:1000008,830:batch:1,1000008,default,task-0,0,17,16,16,,submission_aggregate_unavailable,,ceec92194ed7ee15,completed,,1784993588.7099595,1784993588.7318103,1784993588.7336578,1784993590.70313,1784993590.976519,0.0218508243560791,1.9694721698760986,0.26996517181396484,backend,2.266559600830078,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,830:row:1000009,830:batch:2,1000009,default,task-0,0,5,16,11,,submission_aggregate_unavailable,,84c3b3ae00cf1180,completed,,1784993588.7224596,1784993588.7466283,1784993588.748807,1784993590.70313,1784993590.9749882,0.024168729782104492,1.9543230533599854,0.26996517181396484,backend,2.252528667449951,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,830:row:1000010,830:batch:2,1000010,default,task-0,0,50,16,16,,submission_aggregate_unavailable,,8515a295c6c1e478,completed,,1784993588.7249596,1784993588.7466283,1784993588.748807,1784993590.70313,1784993590.9749882,0.021668672561645508,1.9543230533599854,0.26996517181396484,backend,2.250028610229492,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,830:row:1000011,830:batch:2,1000011,default,task-0,0,10,16,14,,submission_aggregate_unavailable,,2a4d59517158701f,completed,,1784993588.7327595,1784993588.7466283,1784993588.748807,1784993590.70313,1784993590.9749882,0.01386880874633789,1.9543230533599854,0.26996517181396484,backend,2.2422287464141846,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,830:row:1000012,830:batch:2,1000012,default,task-0,0,24,16,2,,submission_aggregate_unavailable,,f3e572dddb0c04d0,completed,,1784993588.7375596,1784993588.7466283,1784993588.748807,1784993590.70313,1784993590.9749882,0.009068727493286133,1.9543230533599854,0.26996517181396484,backend,2.237428665161133,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,830:row:1000013,830:batch:2,1000013,default,task-0,0,33,16,3,,submission_aggregate_unavailable,,cb7bcd136f59c001,completed,,1784993588.7430596,1784993588.7466283,1784993588.748807,1784993590.70313,1784993590.9749882,0.0035686492919921875,1.9543230533599854,0.26996517181396484,backend,2.231928586959839,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,830:row:1000014,830:batch:2,1000014,default,task-0,0,62,16,9,,submission_aggregate_unavailable,,e832ea1ed53e38bb,completed,,1784993588.7460597,1784993588.7466283,1784993588.748807,1784993590.70313,1784993590.9749882,0.0005686283111572266,1.9543230533599854,0.26996517181396484,backend,2.228928565979004,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,830:row:1000015,830:batch:3,1000015,default,task-0,0,6,16,14,,submission_aggregate_unavailable,,268ad095d95190da,completed,,1784993588.7510595,1784993588.7773814,1784993588.7790852,1784993590.7410827,1784993591.0080984,0.026321887969970703,1.9619975090026855,0.26528263092041016,backend,2.2570388317108154,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,830:row:1000016,830:batch:3,1000016,default,task-0,0,8,16,11,,submission_aggregate_unavailable,,7beaf3607820d3fa,completed,,1784993588.7655597,1784993588.7773814,1784993588.7790852,1784993590.7410827,1784993591.0080984,0.011821746826171875,1.9619975090026855,0.26528263092041016,backend,2.2425386905670166,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,830:row:1000017,830:batch:3,1000017,default,task-0,0,8,16,15,,submission_aggregate_unavailable,,5b18db2768af12f2,completed,,1784993588.7663596,1784993588.7773814,1784993588.7790852,1784993590.7410827,1784993591.0080984,0.011021852493286133,1.9619975090026855,0.26528263092041016,backend,2.241738796234131,submission,1.0,False
1,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,830,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,830:row:1000018,830:batch:3,1000018,default,task-0,0,47,16,10,,submission_aggregate_unavailable,,47e14e8f2811effc,completed,,1784993588.7717595,1784993588.7773814,1784993588.7790852,1784993590.7410827,1784993591.0080984,0.005621910095214844,1.9619975090026855,0.26528263092041016,backend,2.2363388538360596,submission,1.0,False
