status,experiment_id,phase,repeat_index,scenario_id,random_seed,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,endpoint_routing,pool_routing,endpoint_pool_ids,endpoint_gpu_ids,long_request_token_threshold,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,controller_min_window,controller_max_window,adaptive_sample_interval_s,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,control_trace_path,control_trace_events,arrival_replay,arrival_time_scale,arrival_replay_preload,flush_policy,flush_timeout_ms,flush_max_wait_ms,flush_trace_output,flush_trace_path,flush_trace_events,submission_trace_path,submission_trace_events,resource_trace_path,resource_trace_events,request_trace_path,request_trace_events,request_e2e_s_p50,request_e2e_s_p95,request_e2e_s_p99,request_slo_target_ms,request_slo_violation_ratio,request_slo_goodput_per_s,latency_granularity,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s,tokens_per_s
ok,request_lifecycle_gate_20260725,formal,1,fixed_timeout,20260725,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,3,10815,12227,job_table,829,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0001,bounded_requested_workload,fixed_timeout,25.0,50.0,experiments\results\request_lifecycle_gate_20260725\000_formal_1_fixed_timeout.flush.csv,experiments\results\request_lifecycle_gate_20260725\000_formal_1_fixed_timeout.flush.csv,44,experiments\results\request_lifecycle_gate_20260725\000_formal_1_fixed_timeout.submissions.csv,22,experiments\results\request_lifecycle_gate_20260725\000_formal_1_fixed_timeout.resources.csv,11,experiments\results\request_lifecycle_gate_20260725\000_formal_1_fixed_timeout.requests.csv,64,2.312145,2.440645,2.473097,1000.0,1.0,0.0,submission,none,0,22,22,8,11226,1,9,2.909091,24,3330,510.272727,133.0,2255.0,0.329085,0.379194,0.386654,ok,10202,1024,64,0.308231,1.3e-05,0.290644,0.032453,0.258192,0,0,0.0,0.422739,0.0,0.422739,0.0,0.0,0.0,none,0.0,0.0,,7.052761,1.089005,3.095949,0.033628,2.495472,0.178248,0.004558,8e-06,3.776086,16.949,2972.92
ok,request_lifecycle_gate_20260725,formal,1,queue_adaptive,20260725,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,3,10820,12227,job_table,830,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0001,bounded_requested_workload,queue_adaptive,25.0,50.0,experiments\results\request_lifecycle_gate_20260725\001_formal_1_queue_adaptive.flush.csv,experiments\results\request_lifecycle_gate_20260725\001_formal_1_queue_adaptive.flush.csv,38,experiments\results\request_lifecycle_gate_20260725\001_formal_1_queue_adaptive.submissions.csv,19,experiments\results\request_lifecycle_gate_20260725\001_formal_1_queue_adaptive.resources.csv,11,experiments\results\request_lifecycle_gate_20260725\001_formal_1_queue_adaptive.requests.csv,64,2.224274,2.30891,2.351755,1000.0,1.0,0.0,submission,none,0,19,19,8,11226,1,8,3.368421,24,3330,590.842105,280.0,3330.0,0.297892,0.361418,0.361418,ok,10202,1024,64,0.292962,2.6e-05,0.275044,0.034305,0.240738,0,0,0.0,0.413802,0.0,0.413802,0.0,0.0,0.0,none,0.0,0.0,,5.796726,0.924128,2.959105,0.029923,2.328618,0.211693,0.003606,9e-06,3.652046,17.524,3073.893
