round,effect,before_scenario,after_scenario,tokens_per_s_delta_pct,group_jct_delta_pct,bulk_jct_delta_pct,foreground_p99_delta_pct,foreground_slo_violation_delta_pp,mfu_delta_pct
1,shared_capacity,active_set_project_frozen_static,active_set_project_single_head_shared_fifo,25.236919251554045,-20.121060178994522,-30.492176062401878,99.12248271839125,96.875,25.715168380507002
1,bounded_ready_observation,active_set_project_single_head_shared_fifo,active_set_project_bounded_ready_fifo,7.869851289067142,-7.311878438357422,5.82837073989293,-33.65473030179048,-56.8359375,6.967281041426698
2,shared_capacity,active_set_project_frozen_static,active_set_project_single_head_shared_fifo,26.68942470667808,-21.033073521843427,-30.151605735255384,99.21150964104453,94.921875,27.177580437002003
2,bounded_ready_observation,active_set_project_single_head_shared_fifo,active_set_project_bounded_ready_fifo,6.721016787568046,-6.355753177386248,5.357423411186968,-33.582406282203195,-55.46875,5.89410086216231
