status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,executor,strategy,model_backend,embedding_endpoint_url,embedding_model,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,ollama_cpu_writeback_json_1024_20260714,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,1331,12227,job_table,239,python,coalesced,http_openai,http://localhost:11434/v1/embeddings,all-minilm,1024,1024,256,256,384,1,2,json_text,0,4,4,1,41537,0.005863,0.001574,7.451464,7.45717,7.452668,0.0,0.0,0.0,0.0,0.421807,7.886252,129.846
ok,ollama_cpu_scale_coalesced_nowrite_2048_20260714,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,1323,12227,job_table,240,python,coalesced,http_openai,http://localhost:11434/v1/embeddings,all-minilm,2048,0,512,256,384,1,2,none,0,8,8,1,83125,0.009731,0.001846,14.71454,14.725282,14.717076,0.0,0.0,0.0,0.0,6e-06,14.731985,139.017
ok,ollama_cpu_scale_coalesced_json_2048_20260714,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,1329,12227,job_table,241,python,coalesced,http_openai,http://localhost:11434/v1/embeddings,all-minilm,2048,2048,512,256,384,1,2,json_text,0,8,8,1,83125,0.007704,0.001877,14.535473,14.543916,14.537909,0.0,0.0,0.0,0.0,0.821737,15.372859,133.222
