status,experiment_id,phase,repeat_index,server_version,pgvector_version,database_trigger,job_id,executor,strategy,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,model_service_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,pg18_4_pgvector_scaling,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,109,python,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.003045,0.001331,0.809979,0.0,0.0,0.0,0.10725,0.925653,1106.247
ok,pg18_4_pgvector_scaling,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,110,python,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.002975,0.000359,0.801949,0.0,0.0,0.0,0.105263,0.914032,1120.311
ok,pg18_4_pgvector_scaling,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,111,python,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.002887,0.000336,0.803794,0.0,0.0,0.0,0.103776,0.914249,1120.045
ok,pg18_4_pgvector_scaling,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,112,python,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.003439,0.00034,0.801974,0.0,0.0,0.0,0.104544,0.913864,1120.517
ok,pg18_4_pgvector_scaling,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,113,ray_task,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.003937,0.001527,0.81357,0.0,0.0,0.000428,0.094601,1.025652,998.389
ok,pg18_4_pgvector_scaling,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,114,ray_task,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.005387,0.001002,0.791724,0.0,0.0,0.000388,0.105877,0.91532,1118.735
ok,pg18_4_pgvector_scaling,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,115,ray_task,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.004153,0.000519,0.803547,0.0,0.0,0.000433,0.104217,0.925115,1106.89
ok,pg18_4_pgvector_scaling,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,116,ray_task,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.005398,0.000622,0.80869,0.0,0.0,0.000851,0.102699,0.930525,1100.454
ok,pg18_4_pgvector_scaling,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,117,ray_actor,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.004618,0.002112,0.808594,0.0,0.0,0.000553,0.096985,1.041613,983.09
ok,pg18_4_pgvector_scaling,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,118,ray_actor,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.006079,0.000419,0.807555,0.0,0.0,0.000408,0.098952,1.049628,975.584
ok,pg18_4_pgvector_scaling,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,119,ray_actor,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.004874,0.000775,0.814147,0.0,0.0,0.000755,0.105052,1.068034,958.771
ok,pg18_4_pgvector_scaling,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,120,ray_actor,coalesced,1024,1024,1024,1024,128,4,8,pgvector,256,1,1,1,38912,0.005271,0.000749,0.801783,0.0,0.0,0.000518,0.110924,1.09295,936.914
ok,pg18_4_pgvector_scaling,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,121,python,coalesced,4096,4096,4096,1024,128,4,8,pgvector,256,4,4,1,155648,0.007872,0.002412,3.186068,0.0,0.0,0.0,0.381312,3.585141,1142.493
ok,pg18_4_pgvector_scaling,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,122,python,coalesced,4096,4096,4096,1024,128,4,8,pgvector,256,4,4,1,155648,0.010883,0.008895,3.173589,0.0,0.0,0.0,0.395215,3.595864,1139.087
ok,pg18_4_pgvector_scaling,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,job_table,123,python,coalesced,4096,4096,4096,1024,128,4,8,pgvector,256,4,4,1,155648,0.006932,0.001064,3.194974,0.0,0.0,0.0,0.361942,3.571375,1146.897
