benchmark,scenario,strategy,upstream,downstream,total_rows,embedding_dim,text_tokens,repeat,input_objects,avg_input_object_kb,avg_output_object_kb,build_ms,put_ms,operator_ms,fanin_ms,end_to_end_ms,rows_per_s,reduced_rows,output_bytes
ai_operator_scenario_motivation,embed_rag,fine,8,8,65536,128,32,0,64,389.9046936035156,537.0,254.62770799640566,37.662040995201096,253.92579199979082,12.037000007694587,558.2525409990922,117394.89780505374,65536,35192832
ai_operator_scenario_motivation,embed_rag,fine,8,8,65536,128,32,1,64,389.9046936035156,537.0,78.40704201953486,37.779083009809256,61.63729098625481,9.033833019202575,186.8572490348015,350727.6294525462,65536,35192832
ai_operator_scenario_motivation,embed_rag,fine,8,8,65536,128,32,2,64,389.9046936035156,537.0,76.70333300484344,26.111457991646603,62.93091701809317,7.485000009182841,173.23070802376606,378316.2970794353,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,8,8,65536,128,32,0,8,3119.237548828125,4296.0,80.82925001508556,12.603000010130927,40.20095799933188,3.9035000081639737,137.53670803271234,476498.24499516614,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,8,8,65536,128,32,1,8,3119.237548828125,4296.0,79.40879100351594,13.594209012808278,43.04904100717977,4.224208008963615,140.2762490324676,467192.41818927863,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,8,8,65536,128,32,2,8,3119.237548828125,4296.0,81.8725420103874,4.344374989159405,38.758540991693735,4.21112499316223,129.18658298440278,507297.26327626785,65536,35192832
ai_operator_scenario_motivation,embed_rag,fine,8,32,65536,128,32,0,256,97.4761734008789,134.25,100.60087498277426,90.3662080236245,180.1636669842992,21.963916980894282,393.09466697159223,166718.11018167817,65536,35192832
ai_operator_scenario_motivation,embed_rag,fine,8,32,65536,128,32,1,256,97.4761734008789,134.25,103.25408400967717,93.56920802383684,203.11137498356402,21.645041997544467,421.5797090146225,155453.40204627087,65536,35192832
ai_operator_scenario_motivation,embed_rag,fine,8,32,65536,128,32,2,256,97.4761734008789,134.25,101.76637498079799,90.25962502346374,196.15058301133104,22.128499986138195,410.30508300173096,159725.05024931295,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,8,32,65536,128,32,0,32,779.8093872070312,1074.0,107.6964579988271,14.13529200362973,55.032000003848225,13.040791993262246,189.9045419995673,345099.6975109175,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,8,32,65536,128,32,1,32,779.8093872070312,1074.0,106.75087501294911,13.507708004908636,46.0048750101123,13.652875000843778,179.91633302881382,364258.2021138922,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,8,32,65536,128,32,2,32,779.8093872070312,1074.0,106.45599997951649,14.100042026257142,44.741291989339516,12.29520799824968,177.59254199336283,369024.50555862463,65536,35192832
ai_operator_scenario_motivation,embed_rag,fine,32,8,65536,128,32,0,256,97.4761734008789,134.25,98.84983298252337,89.83008400537074,190.19445902085863,14.191583992214873,393.0659600009676,166730.28618361833,65536,35192832
ai_operator_scenario_motivation,embed_rag,fine,32,8,65536,128,32,1,256,97.4761734008789,134.25,102.22304100170732,88.54829100891948,198.11020902125165,13.785834016744047,402.6673750486225,162754.68056503576,65536,35192832
ai_operator_scenario_motivation,embed_rag,fine,32,8,65536,128,32,2,256,97.4761734008789,134.25,102.8104169818107,86.808749998454,198.46654101274908,13.729208003496751,401.81491599651054,163099.96814694937,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,32,8,65536,128,32,0,8,3119.237548828125,4296.0,108.16341699683107,4.79524998809211,41.60266698454507,5.198667000513524,159.76000096998177,410215.32049385714,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,32,8,65536,128,32,1,8,3119.237548828125,4296.0,102.57495800033212,4.651750001357868,27.473166002891958,4.364708991488442,139.06458299607038,471263.05338183686,65536,35192832
ai_operator_scenario_motivation,embed_rag,coalesced,32,8,65536,128,32,2,8,3119.237548828125,4296.0,101.03062499547377,5.005832994356751,28.519749990664423,4.396584001369774,138.95279198186472,471642.19635509996,65536,35192832
