status,experiment_id,phase,repeat_index,scenario_id,random_seed,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,completion_return_token_ids,output_cost_mode,output_cost_source,packing_cost_unit,cost_model_id,cost_tokenizer_id,packing_algorithm,packing_scope,packing_budget_utilization_mean,packing_budget_utilization_p95,packing_oversized_rows,packing_input_rows,packing_batch_count,batch_estimated_cost_units_p50,batch_estimated_cost_units_p95,batch_estimated_cost_units_p99,batch_estimated_cost_units_max,model_workers,max_inflight_limit,endpoint_routing,pool_routing,endpoint_pool_ids,endpoint_gpu_ids,long_request_token_threshold,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,controller_min_window,controller_max_window,adaptive_sample_interval_s,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,control_trace_path,control_trace_events,arrival_replay,arrival_time_scale,arrival_replay_preload,flush_policy,flush_timeout_ms,flush_max_wait_ms,flush_trace_output,flush_trace_path,flush_trace_events,submission_trace_path,submission_trace_events,resource_trace_path,resource_trace_events,resource_sample_interval_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p50,gpu_utilization_pct_p95,gpu_utilization_pct_max,gpu_utilization_below_10pct_ratio,gpu_memory_used_mib_mean,gpu_memory_used_mib_max,gpu_memory_utilization_pct_mean,gpu_memory_utilization_pct_max,gpu_power_w_mean,gpu_power_w_max,gpu_energy_j,energy_j_per_1k_observed_tokens,vllm_running_mean,vllm_running_p50,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p50,vllm_waiting_p95,vllm_waiting_max,vllm_kv_cache_usage_mean,vllm_kv_cache_usage_p50,vllm_kv_cache_usage_p95,vllm_kv_cache_usage_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,request_trace_path,request_trace_events,request_e2e_s_p50,request_e2e_s_p95,request_e2e_s_p99,request_slo_target_ms,request_slo_violation_ratio,request_slo_goodput_per_s,latency_granularity,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s,tokens_per_s
ok,adaptive_flush_output_variability_gate_20260726,formal,1,max128,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.81,job_table,1025,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,64,token_budget,6144,128,128,128,True,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential_pending,arrival_order,0.046778,0.193197,0,64,64,152.0,1187.0,1321.0,1321,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\000_formal_1_max128.flush.csv,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\000_formal_1_max128.flush.csv,128,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\000_formal_1_max128.submissions.csv,64,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\000_formal_1_max128.resources.csv,46,0.25,ok,56.93478260869565,68.0,82.0,82.0,0.21739130434782608,11652.0,11652.0,95.29729287642104,95.29729287642104,97.23478260869565,123.48,1464.046062347889,79.59367523909367,6.326086956521739,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.007617247563137296,0.0051656997536358995,0.025590081856473046,0.031232615433521405,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.05879538974615957,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\000_formal_1_max128.requests.csv,64,7.411825,9.333242,9.351445,10000.0,0.0,4.131008,submission,none,0,64,64,8,18394,1,1,1.0,131,1321,287.40625,152.0,1187.0,1.535927,1.834582,1.866676,ok,10202,8192,64,53527187791872.0,1.555427,7e-06,1.544234,0.031773,1.512461,0,0,0.0,0.381056,0.0,0.381056,0.0,0.0,0.0,none,0.0,0.0,,100.523385,12.761805,14.75523,0.054124,12.982938,0.231838,0.013125,9e-06,15.492587,4.131,1187.278
ok,adaptive_flush_output_variability_gate_20260726,formal,1,max64,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,43.24,job_table,1026,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,64,token_budget,6144,128,128,64,True,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential_pending,arrival_order,0.036362,0.18278,0,64,64,88.0,1123.0,1257.0,1257,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\001_formal_1_max64.flush.csv,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\001_formal_1_max64.flush.csv,128,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\001_formal_1_max64.submissions.csv,64,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\001_formal_1_max64.resources.csv,30,0.25,ok,51.5,66.0,79.0,79.0,0.3,11652.0,11652.0,95.29729287642104,95.29729287642104,88.44166666666666,123.6,859.8761989843846,60.44823894442071,5.233333333333333,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.00575114572571459,0.003019947548279389,0.029086863228165005,0.035126758324723784,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.07202912243644505,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\001_formal_1_max64.requests.csv,64,3.376067,4.583543,4.702062,10000.0,0.0,6.467765,submission,none,0,64,64,8,14225,1,1,1.0,64,1257,222.265625,88.0,1123.0,0.831813,1.143667,1.18303,ok,10202,4023,64,40466137595904.0,0.850669,6e-06,0.83916,0.035063,0.804097,0,0,0.0,0.389275,0.0,0.389275,0.0,0.0,0.0,none,0.0,0.0,,55.27672,7.2164,9.105388,0.048297,8.140995,0.145375,0.011906,9e-06,9.895226,6.468,1437.562
ok,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,43.79,job_table,1027,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,64,token_budget,6144,128,128,16,True,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential_pending,arrival_order,0.028549,0.174967,0,64,64,40.0,1075.0,1209.0,1209,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\002_formal_1_max16.flush.csv,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\002_formal_1_max16.flush.csv,128,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\002_formal_1_max16.submissions.csv,64,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\002_formal_1_max16.resources.csv,20,0.25,ok,38.45,6.0,77.0,77.0,0.5,11652.0,11652.0,95.29729287642104,95.29729287642104,79.1955,132.89,504.7616577446461,45.00772695003532,2.65,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0028212667885241906,7.947230390203952e-05,0.012159262497019818,0.023444329651116536,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.08697398188379166,experiments\results\adaptive_flush_randomized_20260726\output_variability_gate\002_formal_1_max16.requests.csv,64,1.934411,2.276284,3.766593,10000.0,0.0,9.762658,submission,none,0,64,64,8,11215,1,1,1.0,19,1209,175.234375,40.0,1075.0,0.239541,0.468376,0.510741,ok,10202,1013,64,31112160239616.0,0.257129,7e-06,0.242456,0.033075,0.209381,0,0,0.0,0.39298,0.0,0.39298,0.0,0.0,0.0,none,0.0,0.0,,17.500396,3.844368,5.797699,0.050371,3.238936,0.057838,0.013024,1e-05,6.555592,9.763,1710.753
