mode,batch_size,repeat_index,wall_s,host_ownership_copy_s,h2d_cuda_s,forward_cuda_s,images_per_s,host_input_bytes,device_input_bytes,logical_h2d_gbps,output_sum,output_norm_error
r2_pageable_fp32,16,1,0.010875072330236435,0.006303226575255394,0.0011163840293884277,0.0033802239894866943,1471.2545824191445,9633792,4816896,8.62946060351431,-24.953208923339844,0.0
r0_gpu_resident,16,1,0.0033232122659683228,0.0,0.0,0.003292288064956665,4814.618724133138,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,1,0.0036034639924764633,0.0,0.0002136320024728775,0.0033391358852386476,4440.172021534223,4816896,4816896,22.547633052363246,-24.953208923339844,0.0
r0_gpu_resident,16,2,0.003359932452440262,0.0,0.0,0.003328927993774414,4762.000494497879,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,2,0.004907434806227684,0.0,0.00021321600675582885,0.004644832134246826,3260.3591553973397,4816896,4816896,22.59162467814259,-24.953208923339844,0.0
r2_pageable_fp32,16,2,0.009905587881803513,0.005361143499612808,0.0010926400423049926,0.0033821120262145996,1615.2499166043315,9633792,4816896,8.816986040230516,-24.953208923339844,0.0
r1_pinned_fp16,16,3,0.0036274250596761703,0.0,0.00021321600675582885,0.0033645119667053223,4410.842329414894,4816896,4816896,22.59162467814259,-24.953208923339844,0.0
r2_pageable_fp32,16,3,0.005054982379078865,0.0005087200552225113,0.001084671974182129,0.0033989760875701904,3165.194020501328,9633792,4816896,8.88175617081296,-24.953208923339844,0.0
r0_gpu_resident,16,3,0.003331156447529793,0.0,0.0,0.003299232006072998,4803.13676407025,0,4816896,,-24.953208923339844,0.0
r0_gpu_resident,16,4,0.005887828767299652,0.0,0.0,0.005849247932434082,2717.4703328436153,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,4,0.003715941682457924,0.0,0.00021353599429130553,0.0034461760520935057,4305.772632421061,4816896,4816896,22.55777072144941,-24.953208923339844,0.0
r2_pageable_fp32,16,4,0.0050827134400606155,0.0005096998065710068,0.0010913599729537964,0.00341811203956604,3147.924861136611,9633792,4816896,8.827327590112978,-24.953208923339844,0.0
r0_gpu_resident,16,5,0.003347691148519516,0.0,0.0,0.003313920021057129,4779.413419626791,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,5,0.0035712402313947678,0.0,0.00021305599808692932,0.0033056960105895994,4480.2362661979505,4816896,4816896,22.60859137152595,-24.953208923339844,0.0
r2_pageable_fp32,16,5,0.005088001489639282,0.0005198586732149124,0.0010822399854660033,0.003423232078552246,3144.6531673744325,9633792,4816896,8.90171508110724,-24.953208923339844,0.0
r0_gpu_resident,16,6,0.003362797200679779,0.0,0.0,0.003332832098007202,4757.943772751342,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,6,0.003531109541654587,0.0,0.00021347199380397796,0.00326857590675354,4531.153681656337,4816896,4816896,22.564533708450515,-24.953208923339844,0.0
r2_pageable_fp32,16,6,0.005050079897046089,0.0005107540637254715,0.0010829440355300903,0.0033935360908508303,3168.266705910688,9633792,4816896,8.895927844770256,-24.953208923339844,0.0
r1_pinned_fp16,16,7,0.0035758689045906067,0.0,0.00021273599565029144,0.0033134720325469972,4474.436962568628,4816896,4816896,22.64259974094046,-24.953208923339844,0.0
r0_gpu_resident,16,7,0.0033172443509101868,0.0,0.0,0.0032870080471038817,4823.280502568318,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,7,0.0055090393871068954,0.0005135443061590195,0.0010836160182952882,0.003848191976547241,2904.317590730186,9633792,4816896,8.890411213333287,-24.953208923339844,0.0
r0_gpu_resident,16,8,0.003458283841609955,0.0,0.0,0.003423680067062378,4626.572234322856,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,8,0.003543255850672722,0.0,0.0002135999947786331,0.0032805120944976807,4515.620851077475,4816896,4816896,22.551011787205557,-24.953208923339844,0.0
r2_pageable_fp32,16,8,0.005076691508293152,0.0005109570920467377,0.0011181759834289551,0.003387295961380005,3151.658904990152,9633792,4816896,8.61563129844498,-24.953208923339844,0.0
r1_pinned_fp16,16,9,0.003551291301846504,0.0,0.00021449600160121919,0.003283168077468872,4505.403426545367,4816896,4816896,22.45681021576964,-24.953208923339844,0.0
r2_pageable_fp32,16,9,0.005095820873975754,0.0005329884588718414,0.0010858240127563476,0.0034140160083770753,3139.8277913793345,9633792,4816896,8.872332796863432,-24.953208923339844,0.0
r0_gpu_resident,16,9,0.003314223140478134,0.0,0.0,0.00328387188911438,4827.6773535808825,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,10,0.0050027817487716675,0.00051829032599926,0.00108787202835083,0.003333120107650757,3198.2206707155433,9633792,4816896,8.855629843341443,-24.953208923339844,0.0
r1_pinned_fp16,16,10,0.0036260168999433517,0.0,0.00021328000724315642,0.0033642239570617675,4412.555275252568,4816896,4816896,22.58484544455379,-24.953208923339844,0.0
r0_gpu_resident,16,10,0.0033150240778923035,0.0,0.0,0.0032856318950653077,4826.510946542753,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,11,0.005005437880754471,0.0005180556327104568,0.0010872319936752319,0.0033373761177062987,3196.5235372351312,9633792,4816896,8.86084299950956,-24.953208923339844,0.0
r0_gpu_resident,16,11,0.003371691331267357,0.0,0.0,0.0033423359394073484,4745.392869039971,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,11,0.0036614760756492615,0.0,0.00021388800442218782,0.0033989439010620117,4369.8223529052675,4816896,4816896,22.52064585394914,-24.953208923339844,0.0
r1_pinned_fp16,16,12,0.0035532303154468536,0.0,0.0002141440063714981,0.0032887039184570314,4502.944807839692,4816896,4816896,22.49372318010911,-24.953208923339844,0.0
r0_gpu_resident,16,12,0.003392023965716362,0.0,0.0,0.0033602240085601805,4716.947805119931,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,12,0.005376165732741356,0.0005110204219818115,0.0010908160209655762,0.0037127680778503416,2976.0987282364626,9633792,4816896,8.83172947118277,-24.953208923339844,0.0
r2_pageable_fp32,16,13,0.005022414028644562,0.0005099251866340637,0.0010864319801330566,0.003361792087554932,3185.7190404348335,9633792,4816896,8.867367839098529,-24.953208923339844,0.0
r1_pinned_fp16,16,13,0.003603847697377205,0.0,0.00021276800334453584,0.0033409600257873536,4439.699272431635,4816896,4816896,22.63919350786963,-24.953208923339844,0.0
r0_gpu_resident,16,13,0.003323683515191078,0.0,0.0,0.0032944319248199463,4813.936082322857,0,4816896,,-24.953208923339844,0.0
r2_pageable_fp32,16,14,0.005441814661026001,0.000514080747961998,0.0010978560447692872,0.003768512010574341,2940.195687771431,9633792,4816896,8.775095829639968,-24.953208923339844,0.0
r1_pinned_fp16,16,14,0.0036002546548843384,0.0,0.0002136639952659607,0.0033359360694885255,4444.130077935839,4816896,4816896,22.544256902077088,-24.953208923339844,0.0
r0_gpu_resident,16,14,0.0033296439796686172,0.0,0.0,0.003299999952316284,4805.318555887287,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,15,0.0035506952553987503,0.0,0.00021379199624061584,0.003285343885421753,4506.159737497148,4816896,4816896,22.530759264620656,-24.953208923339844,0.0
r0_gpu_resident,16,15,0.003374475985765457,0.0,0.0,0.003345855951309204,4741.476918932823,0,4816896,,-24.953208923339844,0.0
