status,experiment_id,phase,repeat_index,scenario_id,random_seed,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,source_row_offset,source_max_prompt_tokens,request_manifest_path,request_manifest_sha256,request_manifest_rows,request_manifest_validated_rows,request_manifest_validation_status,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,token_budget_policy,token_budget_candidates,token_budget_target_service_ms,token_budget_arrival_ewma_alpha,embedding_dim,embedding_vector_dim,completion_max_tokens,completion_return_token_ids,completion_prompt_format,completion_protocol,completion_http_transport,completion_temperature,output_cost_mode,output_cost_source,packing_cost_unit,cost_model_id,cost_tokenizer_id,packing_algorithm,packing_scope,packing_budget_utilization_mean,packing_budget_utilization_p95,packing_oversized_rows,packing_input_rows,packing_batch_count,batch_estimated_cost_units_p50,batch_estimated_cost_units_p95,batch_estimated_cost_units_p99,batch_estimated_cost_units_max,organization_batch_count,organization_batch_rows_mean,organization_batch_rows_max,organization_batch_cost_units_mean,organization_batch_cost_units_p95,organization_row_cap_hit_ratio,service_quantum_tokens,service_quantum_count,service_quantum_rows_mean,service_quantum_work_mean,service_quantum_work_p95,service_quantum_oversized_rows,model_workers,ray_version,actor_workers_per_endpoint,ray_actor_max_concurrency,ray_worker_num_cpus,ray_worker_num_gpus,endpoint_count,actor_worker_count,actor_worker_submission_counts,actor_worker_routing,actor_ready_s,actor_pool_slots_per_endpoint,actor_worker_max_running,actor_worker_max_active_work,actor_worker_failures,actor_worker_slot_held_utilization,max_inflight_limit,admission_scope,per_endpoint_inflight_limit,max_active_work_per_endpoint,max_active_work_per_endpoint_seen,shared_credit_coordinator_name,shared_credit_request_limit,shared_credit_work_limit,shared_credit_quantum,shared_credit_job_weight,effective_global_inflight_limit,endpoint_routing,pool_routing,endpoint_pool_ids,endpoint_gpu_ids,long_request_token_threshold,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,controller_min_window,controller_max_window,controller_initial_window,controller_additive_increase,controller_multiplicative_decrease,controller_congestion_kv_usage,controller_low_load_kv_usage,controller_low_load_running,adaptive_sample_interval_s,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,control_trace_path,control_trace_events,arrival_replay,arrival_time_scale,arrival_replay_preload,arrival_replay_start_epoch_s,arrival_replay_observed_start_epoch_s,submission_granularity,flush_policy,flush_timeout_ms,flush_max_wait_ms,flush_ewma_alpha,flush_deadband_ratio,flush_service_capacity_tokens_s_per_endpoint,flush_trace_output,flush_trace_path,flush_trace_events,submission_trace_path,submission_trace_events,resource_trace_path,resource_trace_events,resource_sample_interval_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p50,gpu_utilization_pct_p95,gpu_utilization_pct_max,gpu_utilization_below_10pct_ratio,gpu_memory_used_mib_mean,gpu_memory_used_mib_max,gpu_memory_utilization_pct_mean,gpu_memory_utilization_pct_max,gpu_power_w_mean,gpu_power_w_max,gpu_energy_j,energy_j_per_1k_observed_tokens,vllm_running_mean,vllm_running_p50,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p50,vllm_waiting_p95,vllm_waiting_max,vllm_kv_cache_usage_mean,vllm_kv_cache_usage_p50,vllm_kv_cache_usage_p95,vllm_kv_cache_usage_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,request_trace_path,request_trace_events,request_e2e_s_p50,request_e2e_s_p95,request_e2e_s_p99,request_slo_target_ms,request_slo_violation_ratio,request_slo_goodput_per_s,request_actual_output_tokens_observed,request_actual_output_tokens_p50,request_actual_output_tokens_p95,request_actual_output_tokens_p99,request_finish_reason_observed,request_finish_reason_stop_ratio,request_finish_reason_length_ratio,latency_granularity,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,http_headers_wait_s_p50,http_headers_wait_s_p95,http_headers_wait_s_p99,http_body_read_s_p50,http_body_read_s_p95,http_body_read_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s,tokens_per_s,model_request_tokens_per_s,operator_tokens_per_s
ok,prefix_cache_routing_4ep_1.5b,warmup,1,route_least_queued_tb,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28508.0,49128.0,44.09,job_table,1061,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,sharegpt_multiturn,doc_id,0,1500,/root/autodl-tmp/gates/sharegpt_multiturn_2048.jsonl,6d7d1a2d294236db07ef05e2cfd87d27983cc4514a14acb78430819a46d84d1a,2048,2048,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions;http://127.0.0.1:8002/v1/completions;http://127.0.0.1:8003/v1/completions,qwen2.5-1.5b,300.0,2048,0,2048,256,token_budget,8192,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,True,raw,completions,httpx_async,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.935066,0.994629,0,2048,207,7780.0,8148.0,8186.0,8192,207,9.89372,20,7660.057971,8148,0.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,4,4,525;521;462;540,round_robin,4.045161,256,96;98;91;94,65535;65536;65536;65536,0;0;0;0,0.298151,256,per_endpoint,256,65536,65536,,0,0,0,1,1024,least_queued,none,default;default;default;default,0;0;1;1,0,static,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/000_warmup_1_route_least_queued_tb.flush.csv,,0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/000_warmup_1_route_least_queued_tb.submissions.csv,2048,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/000_warmup_1_route_least_queued_tb.resources.csv,105,0.25,ok,88.07619047619048,100.0,100.0,100.0,0.10476190476190476,30184.380952380954,30378.0,61.44028039484806,61.83439179286761,667.0079047619048,868.49,27406.743312928673,16.54886650822027,246.38095238095238,295.0,338.0,350.0,18.238095238095237,21.0,38.0,55.0,0.8246057767369243,0.9840749414519906,0.9990632318501171,1.0,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.1730143539540393,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/000_warmup_1_route_least_queued_tb.requests.csv,2048,23.762607,38.900934,40.693066,30000.0,0.307617,34.116139,2048,256.0,256.0,256.0,2048,0.208496,0.791504,request,none,0,2048,2048,369,1656110,1,1,1.0,52,1742,808.647461,779.0,1499.0,5.701737,7.732216,9.320816,5.697917,7.719892,9.317374,0.001915,0.013129,0.023629,ok,1170963,485147,2048,1058897131094016.0,5.488747,0.267766,5.132245,0.274535,4.857709,0,0,0.0,2.822081,0.0,2.822081,0.00127,2.8e-05,0.051214,none,1058.295,0.39502,,11279.07982,37.073564,37.092636,4.167149,26.404892,0.015219,0.364126,4.9e-05,41.563907,49.274,39844.907,44670.914,44647.946
ok,prefix_cache_routing_4ep_1.5b,warmup,1,route_affinity_tb,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30378.0,49128.0,148.78,job_table,1062,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,sharegpt_multiturn,doc_id,0,1500,/root/autodl-tmp/gates/sharegpt_multiturn_2048.jsonl,6d7d1a2d294236db07ef05e2cfd87d27983cc4514a14acb78430819a46d84d1a,2048,2048,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions;http://127.0.0.1:8002/v1/completions;http://127.0.0.1:8003/v1/completions,qwen2.5-1.5b,300.0,2048,0,2048,256,token_budget,8192,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,True,raw,completions,httpx_async,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.935066,0.994629,0,2048,207,7780.0,8148.0,8186.0,8192,207,9.89372,20,7660.057971,8148,0.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,4,4,533;506;481;528,round_robin,4.216879,256,93;90;99;104,65535;65534;65536;65535,0;0;0;0,0.300086,256,per_endpoint,256,65536,65536,,0,0,0,1,1024,prefix_affinity,none,default;default;default;default,0;0;1;1,0,static,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/001_warmup_1_route_affinity_tb.flush.csv,,0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/001_warmup_1_route_affinity_tb.submissions.csv,2048,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/001_warmup_1_route_affinity_tb.resources.csv,96,0.25,ok,89.046875,100.0,100.0,100.0,0.09375,30378.0,30378.0,61.83439179286761,61.83439179286761,685.4109375,829.5799999999999,27100.840617579208,16.35618478027518,257.2604166666667,296.0,359.0,368.0,14.5,12.0,36.0,42.0,0.8324209601873537,0.9793911007025761,0.9971896955503513,1.0,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.16670273725469614,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/001_warmup_1_route_affinity_tb.requests.csv,2048,21.485188,37.239095,38.449933,30000.0,0.278809,37.270733,2048,256.0,256.0,256.0,2048,0.204102,0.795898,request,none,0,2048,2048,368,1656917,1,1,1.0,49,1742,809.041504,780.0,1497.0,5.725762,7.776597,9.171388,5.723507,7.769309,9.158358,0.001686,0.009636,0.027987,ok,1170963,485954,2048,991990499457024.0,5.372137,0.195395,5.120716,0.181001,4.939715,0,0,0.0,1.929316,0.0,1.929316,0.001258,2.6e-05,0.057419,none,1058.295,0.39502,,11033.236684,36.04576,36.064577,4.916586,24.451498,0.014101,0.390695,7.2e-05,39.62895,51.679,41810.772,45967.043,45943.06
ok,prefix_cache_routing_4ep_1.5b,formal,1,route_least_queued_tb,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30378.0,49128.0,159.99,job_table,1063,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,sharegpt_multiturn,doc_id,0,1500,/root/autodl-tmp/gates/sharegpt_multiturn_2048.jsonl,6d7d1a2d294236db07ef05e2cfd87d27983cc4514a14acb78430819a46d84d1a,2048,2048,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions;http://127.0.0.1:8002/v1/completions;http://127.0.0.1:8003/v1/completions,qwen2.5-1.5b,300.0,2048,0,2048,256,token_budget,8192,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,True,raw,completions,httpx_async,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.935066,0.994629,0,2048,207,7780.0,8148.0,8186.0,8192,207,9.89372,20,7660.057971,8148,0.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,4,4,526;536;455;531,round_robin,3.917273,256,95;95;90;94,65536;65536;65533;65536,0;0;0;0,0.299428,256,per_endpoint,256,65536,65536,,0,0,0,1,1024,least_queued,none,default;default;default;default,0;0;1;1,0,static,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/002_formal_1_route_least_queued_tb.flush.csv,,0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/002_formal_1_route_least_queued_tb.submissions.csv,2048,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/002_formal_1_route_least_queued_tb.resources.csv,105,0.25,ok,88.0952380952381,100.0,100.0,100.0,0.10476190476190476,30378.0,30378.0,61.83439179286761,61.83439179286761,684.9418095238095,867.9000000000001,28503.05994285225,17.208231016439793,245.4,296.0,332.0,345.0,18.457142857142856,19.0,39.0,69.0,0.8146002007360321,0.9882903981264637,0.9995316159250586,1.0,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.17247382405924752,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/002_formal_1_route_least_queued_tb.requests.csv,2048,23.972527,39.314734,40.218001,30000.0,0.314453,33.615365,2048,256.0,256.0,256.0,2048,0.208008,0.791992,request,none,0,2048,2048,368,1656362,1,1,1.0,49,1742,808.770508,777.0,1500.0,5.733128,8.098788,9.469027,5.729512,8.092329,9.467175,0.001691,0.010348,0.01597,ok,1170963,485399,2048,1061585666144256.0,5.552268,0.267521,5.203578,0.280091,4.923487,0,0,0.0,2.799871,0.0,2.799871,0.001226,2.6e-05,0.051309,none,1058.295,0.39502,,11400.805732,37.284763,37.303356,4.17564,26.574079,0.015299,0.366529,5e-05,41.766615,49.034,39657.559,44424.635,44402.492
ok,prefix_cache_routing_4ep_1.5b,formal,1,route_affinity_tb,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30378.0,49128.0,163.83999999999997,job_table,1064,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,sharegpt_multiturn,doc_id,0,1500,/root/autodl-tmp/gates/sharegpt_multiturn_2048.jsonl,6d7d1a2d294236db07ef05e2cfd87d27983cc4514a14acb78430819a46d84d1a,2048,2048,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions;http://127.0.0.1:8002/v1/completions;http://127.0.0.1:8003/v1/completions,qwen2.5-1.5b,300.0,2048,0,2048,256,token_budget,8192,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,True,raw,completions,httpx_async,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.935066,0.994629,0,2048,207,7780.0,8148.0,8186.0,8192,207,9.89372,20,7660.057971,8148,0.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,4,4,524;516;472;536,round_robin,3.937747,256,96;100;91;104,65534;65536;65535;65536,0;0;0;0,0.304291,256,per_endpoint,256,65536,65536,,0,0,0,1,1024,prefix_affinity,none,default;default;default;default,0;0;1;1,0,static,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/003_formal_1_route_affinity_tb.flush.csv,,0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/003_formal_1_route_affinity_tb.submissions.csv,2048,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/003_formal_1_route_affinity_tb.resources.csv,96,0.25,ok,89.91145833333333,100.0,100.0,100.0,0.09375,30378.0,30378.0,61.83439179286761,61.83439179286761,699.4533333333334,837.52,26650.746659797438,16.110500221428502,262.78125,302.0,360.0,368.0,12.84375,10.0,34.0,42.0,0.8389246682279469,0.9798594847775176,0.9985948477751756,1.0,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.17126949705963856,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/003_formal_1_route_affinity_tb.requests.csv,2048,21.201823,36.889266,37.747113,30000.0,0.263672,39.224067,2048,256.0,256.0,256.0,2048,0.205078,0.794922,request,none,0,2048,2048,371,1654247,1,1,1.0,49,1742,807.737793,777.0,1500.0,5.632767,7.127202,8.993428,5.630365,7.124872,8.990081,0.001758,0.010968,0.022595,ok,1170963,483284,2048,982510720776192.0,5.25909,0.167429,5.029706,0.182602,4.847104,0,0,0.0,2.174569,0.0,2.174569,0.001115,2.3e-05,0.042888,none,1058.295,0.39502,,10800.668507,34.750184,34.767489,4.014154,24.534114,0.014173,0.357669,7.2e-05,38.445784,53.27,43028.047,47603.978,47580.283
ok,prefix_cache_routing_4ep_1.5b,formal,2,route_least_queued_tb,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30378.0,49128.0,163.14,job_table,1065,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,sharegpt_multiturn,doc_id,0,1500,/root/autodl-tmp/gates/sharegpt_multiturn_2048.jsonl,6d7d1a2d294236db07ef05e2cfd87d27983cc4514a14acb78430819a46d84d1a,2048,2048,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions;http://127.0.0.1:8002/v1/completions;http://127.0.0.1:8003/v1/completions,qwen2.5-1.5b,300.0,2048,0,2048,256,token_budget,8192,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,True,raw,completions,httpx_async,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.935066,0.994629,0,2048,207,7780.0,8148.0,8186.0,8192,207,9.89372,20,7660.057971,8148,0.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,4,4,533;528;461;526,round_robin,4.353352,256,95;91;91;94,65536;65536;65535;65536,0;0;0;0,0.29835,256,per_endpoint,256,65536,65536,,0,0,0,1,1024,least_queued,none,default;default;default;default,0;0;1;1,0,static,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/004_formal_2_route_least_queued_tb.flush.csv,,0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/004_formal_2_route_least_queued_tb.submissions.csv,2048,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/004_formal_2_route_least_queued_tb.resources.csv,101,0.25,ok,91.73267326732673,100.0,100.0,100.0,0.0594059405940594,30378.0,30378.0,61.83439179286761,61.83439179286761,714.8046534653465,865.64,28396.382124593263,17.146507267116395,258.8910891089109,301.0,338.0,344.0,18.04950495049505,17.0,39.0,51.0,0.856563173881791,0.9878220140515223,0.9995316159250586,1.0,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.1719971019265196,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/004_formal_2_route_least_queued_tb.requests.csv,2048,22.421501,37.491676,38.421608,30000.0,0.286621,36.378004,2048,256.0,256.0,256.0,2048,0.207031,0.792969,request,none,0,2048,2048,368,1656103,1,1,1.0,48,1742,808.644043,777.0,1498.0,5.770432,8.023281,9.488465,5.766628,8.021996,9.482263,0.001686,0.009747,0.019222,ok,1170963,485140,2048,1061074457309184.0,5.546662,0.240984,5.22007,0.249684,4.970386,0,0,0.0,1.325374,0.0,1.325374,0.001079,2.2e-05,0.040953,none,1058.295,0.39502,,11388.702817,37.369459,37.388736,4.181671,26.696915,0.01537,0.365137,7e-05,40.161632,50.994,41235.949,44317.018,44294.169
ok,prefix_cache_routing_4ep_1.5b,formal,2,route_affinity_tb,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30378.0,49128.0,161.67000000000002,job_table,1066,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,sharegpt_multiturn,doc_id,0,1500,/root/autodl-tmp/gates/sharegpt_multiturn_2048.jsonl,6d7d1a2d294236db07ef05e2cfd87d27983cc4514a14acb78430819a46d84d1a,2048,2048,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions;http://127.0.0.1:8002/v1/completions;http://127.0.0.1:8003/v1/completions,qwen2.5-1.5b,300.0,2048,0,2048,256,token_budget,8192,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,True,raw,completions,httpx_async,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.935066,0.994629,0,2048,207,7780.0,8148.0,8186.0,8192,207,9.89372,20,7660.057971,8148,0.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,4,4,523;520;469;536,round_robin,4.171581,256,93;98;94;104,65536;65536;65536;65531,0;0;0;0,0.30177,256,per_endpoint,256,65536,65536,,0,0,0,1,1024,prefix_affinity,none,default;default;default;default,0;0;1;1,0,static,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/005_formal_2_route_affinity_tb.flush.csv,,0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/005_formal_2_route_affinity_tb.submissions.csv,2048,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/005_formal_2_route_affinity_tb.resources.csv,96,0.25,ok,92.1875,100.0,100.0,100.0,0.07291666666666667,30378.0,30378.0,61.83439179286761,61.83439179286761,712.8619791666666,838.46,27005.25097640634,16.302783416414883,264.9583333333333,300.0,357.0,368.0,14.604166666666666,16.0,35.0,38.0,0.8436329039812647,0.9798594847775176,0.9981264637002342,1.0,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.16953228765816816,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/005_formal_2_route_affinity_tb.requests.csv,2048,20.129773,36.162329,37.531587,30000.0,0.246094,40.442647,2048,256.0,256.0,256.0,2048,0.199707,0.800293,request,none,0,2048,2048,368,1656481,1,1,1.0,49,1742,808.828613,779.0,1500.0,5.642691,7.535633,9.466246,5.638814,7.533763,9.46373,0.001715,0.010501,0.024174,ok,1170963,485518,2048,989591049314304.0,5.307506,0.191202,5.056083,0.189665,4.866419,0,0,0.0,1.188082,0.0,1.188082,0.001219,2.5e-05,0.057891,none,1058.295,0.39502,,10900.2981,35.349127,35.376869,4.100302,25.300788,0.014574,0.347435,0.000158,38.177521,53.644,43388.91,46860.591,46823.844
ok,prefix_cache_routing_4ep_1.5b,formal,3,route_least_queued_tb,20260729,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30378.0,49128.0,160.69,job_table,1067,ai_complete,synthetic,ray_actor,coalesced,daft_postgres,sharegpt_multiturn,doc_id,0,1500,/root/autodl-tmp/gates/sharegpt_multiturn_2048.jsonl,6d7d1a2d294236db07ef05e2cfd87d27983cc4514a14acb78430819a46d84d1a,2048,2048,ok,daft,none,0,native,true,compatible_http,http://127.0.0.1:8000/v1/completions;http://127.0.0.1:8001/v1/completions;http://127.0.0.1:8002/v1/completions;http://127.0.0.1:8003/v1/completions,qwen2.5-1.5b,300.0,2048,0,2048,256,token_budget,8192,static,"2048,4096,8192,16384",2000.0,0.3,128,128,256,True,raw,completions,httpx_async,0.0,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.935066,0.994629,0,2048,207,7780.0,8148.0,8186.0,8192,207,9.89372,20,7660.057971,8148,0.0,0,0,0.0,0.0,0.0,0,2,2.56.1,1,256,0.5,0,4,4,529;525;459;535,round_robin,3.77486,256,95;97;90;94,65536;65535;65536;65535,0;0;0;0,0.299601,256,per_endpoint,256,65536,65536,,0,0,0,1,1024,least_queued,none,default;default;default;default,0;0;1;1,0,static,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.0,,0,False,1.0,,0.0,0.0,request,immediate,25.0,50.0,0.3,0.1,0.0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/006_formal_3_route_least_queued_tb.flush.csv,,0,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/006_formal_3_route_least_queued_tb.submissions.csv,2048,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/006_formal_3_route_least_queued_tb.resources.csv,105,0.25,ok,88.06666666666666,100.0,100.0,100.0,0.10476190476190476,30378.0,30378.0,61.83439179286761,61.83439179286761,680.0256190476191,859.5699999999999,28627.728424459703,17.290407938913873,245.83809523809524,301.0,335.0,342.0,18.17142857142857,20.0,39.0,44.0,0.8216973346715736,0.9892271662763465,0.9995316159250586,1.0,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,165.0,bf16_dense_fp32_accumulate,ok,0.17241617269595325,experiments/results/prefix_cache_routing_4ep_1.5b_20260731/006_formal_3_route_least_queued_tb.requests.csv,2048,24.601004,39.72514,40.655188,30000.0,0.337402,32.111331,2048,256.0,256.0,256.0,2048,0.20166,0.79834,request,none,0,2048,2048,369,1655700,1,1,1.0,49,1742,808.447266,777.0,1499.0,5.841216,8.264177,9.862523,5.838837,8.258728,9.858872,0.001701,0.009828,0.015232,ok,1170963,484737,2048,1073908452747264.0,5.623485,0.289321,5.262631,0.255161,5.00747,0,0,0.0,2.846885,0.0,2.846885,0.001347,2.9e-05,0.051034,none,1058.295,0.39502,,11546.530796,37.730711,37.748988,4.723897,26.285826,0.015142,0.382899,5.9e-05,42.259226,48.463,39179.61,43882.025,43860.778
