scenario_id,repeat_index,phase,samples,running_sum_mean,waiting_sum_mean,kv_usage_pct_endpoint_mean,gpu_utilization_pct_endpoint_mean
staggered_static_partition_all_at_t0,1,pre_long,14,123.42857142857143,0.0,11.239605265956316,100.0
staggered_static_partition_all_at_t0,1,overlap,71,134.91549295774647,0.676056338028169,30.841652565384866,100.0
staggered_static_partition_all_at_t0,1,long_drain,162,37.51851851851852,0.0,20.36476454619475,99.69135802469135
staggered_static_partition_all_at_t0,2,pre_long,14,121.14285714285714,0.0,11.819158212637445,100.0
staggered_static_partition_all_at_t0,2,overlap,68,130.14705882352942,2.1470588235294117,29.375421450402403,100.0
staggered_static_partition_all_at_t0,2,long_drain,163,37.15950920245399,0.0,20.13424412556365,100.0
staggered_static_partition_all_at_t0,3,pre_long,14,117.35714285714286,0.0,10.406963142559391,95.92857142857143
staggered_static_partition_all_at_t0,3,overlap,72,134.77777777777777,1.0138888888888888,30.314045622218917,100.0
staggered_static_partition_all_at_t0,3,long_drain,156,37.52564102564103,0.0,20.3596500269122,100.0
staggered_shared_work_all_at_t0,1,pre_long,14,226.85714285714286,0.0,17.86033305684936,100.0
staggered_shared_work_all_at_t0,1,overlap,31,189.1290322580645,3.225806451612903,29.833066797293338,100.0
staggered_shared_work_all_at_t0,1,long_drain,142,75.62676056338029,0.9225352112676056,40.30911687184294,99.29577464788733
staggered_shared_work_all_at_t0,2,pre_long,13,235.92307692307693,0.0,17.908635952405493,100.0
staggered_shared_work_all_at_t0,2,overlap,30,189.16666666666666,2.4,29.116669147933106,100.0
staggered_shared_work_all_at_t0,2,long_drain,142,76.92957746478874,0.8943661971830986,41.037613203412825,99.16197183098592
staggered_shared_work_all_at_t0,3,pre_long,14,228.07142857142858,0.0,20.457155617941684,92.85714285714286
staggered_shared_work_all_at_t0,3,overlap,27,174.85185185185185,3.962962962962963,28.449925286310577,100.0
staggered_shared_work_all_at_t0,3,long_drain,144,75.85416666666667,0.8611111111111112,40.43228830661836,98.95833333333333
