scenario_id,repeat_index,job_count,short_jct_s,short_p99_s,short_actual_work,short_work_per_s,long_jct_s,group_tokens_per_s,gpu_utilization_pct_mean,mfu_pct,vllm_running_mean,vllm_waiting_mean,vllm_kv_usage_pct_mean,jain_fairness
single_short_full_pool_all_at_t0,1,1,12.877175331115723,12.777178287506104,147828.0,11479.846798606233,,11373.262457097064,90.54054054054055,44.20083532267168,190.27027027027026,0.0,18.906445525471877,1.0
single_short_full_pool_all_at_t0,2,1,12.801905632019043,12.781916379928589,147801.0,11545.234299363421,,11226.377069350985,89.74358974358974,43.63062616416951,184.89743589743588,0.0,18.22585632322122,1.0
single_short_full_pool_all_at_t0,3,1,11.457496881484985,11.456111669540405,147993.0,12916.695638743991,,12578.671088926472,88.25,37.63694380405688,183.44117647058823,0.0,18.942279904369073,1.0
staggered_static_partition_all_at_t0,1,2,31.77728772163391,31.61838698387146,147513.0,4642.08906978469,86.62260389328003,9278.213433957504,97.81746031746032,35.09727975127722,68.98809523809524,0.19047619047619047,25.830160856958535,0.8896475858029624
staggered_static_partition_all_at_t0,2,2,30.090619325637817,29.58316445350647,147864.0,4913.9566852988255,86.6957266330719,9317.176717041495,98.39357429718875,34.23607787087944,66.67871485943775,0.5863453815261044,25.347182985328242,0.9035730278316576
staggered_static_partition_all_at_t0,3,2,31.880013704299927,30.970622301101685,147652.0,4631.491108176184,86.7627182006836,9266.215424703454,97.74493927125506,35.05137644866673,69.63967611336032,0.29554655870445345,25.743671715792726,0.8896309639923342
staggered_shared_work_all_at_t0,1,2,16.351869106292725,16.313923835754395,147462.0,9018.051639323108,64.9460940361023,12169.25072938049,97.44502617801047,45.95252023976068,103.54973821989529,1.2094240837696335,41.05103328508505,0.9693355127801342
staggered_shared_work_all_at_t0,2,2,16.329671382904053,16.304821491241455,148188.0,9074.76926664561,64.47209405899048,12300.520375139133,97.77127659574468,46.46782909092889,104.6063829787234,1.0585106382978724,41.67308100437442,0.9691877516809834
staggered_shared_work_all_at_t0,3,2,15.188928127288818,15.144490480422974,147487.0,9710.165112640245,63.70583891868591,12265.324596897357,96.05263157894737,44.27472601257098,99.1421052631579,1.2157894736842105,41.137647602704845,0.9777188412900619
single_short_half_pool_all_at_t0,1,1,19.678025245666504,19.647338390350342,147761.0,7508.934364871797,,7761.8183848410645,94.59482758620689,23.209657562553552,100.29310344827586,0.0,10.514751556780787,1.0
single_short_half_pool_all_at_t0,2,1,19.668891429901123,19.668208360671997,147645.0,7506.5237167127025,,7452.277873807825,90.44827586206897,22.27670757044805,96.08620689655173,0.0,10.150775438542453,1.0
single_short_half_pool_all_at_t0,3,1,19.699123859405518,19.69839310646057,147743.0,7499.978225146233,,7728.858727242457,93.60714285714286,23.1102606122191,98.91071428571429,0.0,10.452157638401497,1.0
