status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,executor,strategy,model_backend,embedding_endpoint_url,embedding_model,total_rows,written_rows,db_fetch_rows,ray_batch_rows,embedding_dim,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,db_fetch_s,arrow_build_s,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,gpu_chain_clean_1024_actor_coalesced,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1833,12227,job_table,205,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,1024,1024,512,256,384,2,8,json_text,256,4,4,2,41537,0.005085,0.001945,0.671656,0.385843,0.506184,0.004311,0.0,0.0,0.001913,0.372292,0.888538,1152.455
ok,gpu_chain_clean_1024_actor_coalesced,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1851,12227,job_table,206,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,1024,1024,512,256,384,2,8,json_text,256,4,4,2,41537,0.004731,0.000393,0.703059,0.420804,0.534143,0.003104,0.0,0.0,0.002104,0.375205,0.917387,1116.213
ok,gpu_chain_clean_1024_actor_coalesced,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1869,12227,job_table,207,ray_actor,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,1024,1024,512,256,384,2,8,json_text,256,4,4,2,41537,0.006993,0.000878,0.62829,0.373804,0.475249,0.003983,0.0,0.0,0.00219,0.373041,0.859351,1191.596
ok,gpu_chain_clean_1024_actor_fine,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1851,12227,job_table,208,ray_actor,fine,http_openai,http://localhost:8000/v1/embeddings,local-embedding,1024,1024,512,256,384,2,8,json_text,256,1024,1024,8,41537,0.004888,0.001442,21.007799,11.242032,11.336051,0.808323,10.038457,0.019918,0.180939,0.37931,11.726023,87.327
ok,gpu_chain_clean_1024_actor_fine,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1846,12227,job_table,209,ray_actor,fine,http_openai,http://localhost:8000/v1/embeddings,local-embedding,1024,1024,512,256,384,2,8,json_text,256,1024,1024,8,41537,0.006218,0.000499,21.435664,11.865181,11.966004,1.115173,10.461432,0.020757,0.186252,0.39309,12.370668,82.776
ok,gpu_chain_clean_1024_actor_fine,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,12,1858,12227,job_table,210,ray_actor,fine,http_openai,http://localhost:8000/v1/embeddings,local-embedding,1024,1024,512,256,384,2,8,json_text,256,1024,1024,8,41537,0.005368,0.000756,20.380934,10.980086,11.090526,0.818588,9.786505,0.019418,0.182149,0.379129,11.480145,89.197
ok,gpu_chain_4096_python_coalesced,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1856,12227,job_table,211,python,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,2,8,json_text,256,16,16,1,167268,0.021495,0.002688,1.882965,1.908545,1.887875,0.0,0.0,0.0,0.0,1.516281,3.432131,1193.428
ok,gpu_chain_4096_python_coalesced,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,1856,12227,job_table,212,python,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,2,8,json_text,256,16,16,1,167268,0.019604,0.001919,1.801254,1.825467,1.806279,0.0,0.0,0.0,0.0,1.532397,3.363654,1217.723
ok,gpu_chain_4096_python_coalesced,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,7,1862,12227,job_table,213,python,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,2,8,json_text,256,16,16,1,167268,0.02266,0.002074,1.756084,1.783639,1.76148,0.0,0.0,0.0,0.0,1.552529,3.342284,1225.509
ok,gpu_chain_4096_ray_task_coalesced,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,7,1933,12227,job_table,214,ray_task,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,2,8,json_text,256,16,16,2,167268,0.020839,0.002874,2.634467,1.580675,1.669033,0.019802,0.0,0.0,0.006881,1.620133,3.316388,1235.079
ok,gpu_chain_4096_ray_task_coalesced,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,1,1892,12227,job_table,215,ray_task,coalesced,http_openai,http://localhost:8000/v1/embeddings,local-embedding,4096,4096,512,256,384,2,8,json_text,256,16,16,2,167268,0.020581,0.00198,2.584425,1.86372,1.857677,0.33214,0.0,0.0,0.008205,1.630189,3.514284,1165.529
